run,model_short,model_slug,stratum,layer,variant,view,side,count_share_prefix,count_share_prefix_fragment,count_share_prefix_wholeword,count_share_frequent,count_share_fragment,mass_share_prefix,mass_share_prefix_fragment,mass_share_prefix_wholeword,mass_share_frequent,mass_share_whole_word,mass_share_fragment,top5_share_prefix,top5_share_frequent,top5_share_fragment,top5_share_prefix_fragment,top5_share_prefix_wholeword,top5_share_distinctive_unit,top5_share_distinctive_word,top5_distinct_words,top5_mean_word_chars,word_count_share_prefix,word_mass_share_prefix,word_mass_share_distinctive,top5word_share_prefix,top5word_share_distinctive,top5word_mean_chars,n_sides,n_nonfinite,corpus_share_prefix,corpus_share_frequent,n_piece_types,lift_prefix,lift_frequent,lift_prefix_fragment
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,gallery,1.0,raw,ig,candidate,0.059044,0.026547,0.032497,0.33238,0.79604,0.066155,0.028147,0.038009,0.318266,0.22612,0.77388,0.09,0.15,0.76,0.02,0.07,0.04,0.59,5.0,6.55,0.06744,0.038545,0.679563,0.0,0.9,10.11,20,0,0.057162,0.351199,5837.0,1.120432,0.957537,1.060247
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,gallery,1.0,raw,ig,query,0.04937,0.022416,0.026953,0.29826,0.773359,0.053776,0.024284,0.029492,0.293012,0.23173,0.76827,0.07,0.21,0.77,0.03,0.04,0.02,0.54,4.95,7.14,0.051021,0.029492,0.679789,0.0,0.9,9.91,20,0,0.057162,0.351199,5837.0,1.089252,0.982404,1.08331
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,gallery,1.0,sif_abtt,ig,candidate,0.059044,0.026547,0.032497,0.33238,0.79604,0.030729,0.018211,0.012518,0.075757,0.216089,0.783911,0.04,0.0,0.81,0.03,0.01,0.15,0.86,4.8,8.33,0.06744,0.015821,0.800391,0.0,0.9,8.78,20,0,0.057162,0.351199,5837.0,0.520437,0.227921,0.685991
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,gallery,1.0,sif_abtt,ig,query,0.04937,0.022416,0.026953,0.29826,0.773359,0.029007,0.018485,0.010522,0.072819,0.237933,0.762067,0.01,0.0,0.75,0.01,0.0,0.2,0.85,4.75,7.6,0.051021,0.01206,0.779393,0.0,0.82,7.82,20,0,0.057162,0.351199,5837.0,0.58755,0.244145,0.824624
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,unlabelled_bulk,1.0,sif_abtt,ig,candidate,0.060167,0.027703,0.032464,0.325315,0.841141,0.045576,0.023431,0.022145,0.078365,0.15213,0.84787,0.033187,0.001583,0.861096,0.018411,0.014776,0.070185,0.844093,4.782468,7.691879,0.068847,0.023899,0.762569,0.006919,0.865904,8.270712,3411,0,0.057162,0.351199,5837.0,0.7575,0.240888,0.845797
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,unlabelled_bulk,1.0,sif_abtt,ig,query,0.063331,0.028471,0.03486,0.307015,0.842681,0.051974,0.026586,0.025387,0.070841,0.147482,0.852518,0.044914,0.001349,0.858341,0.023747,0.021167,0.066256,0.846321,4.75579,7.643272,0.074199,0.027385,0.779651,0.011727,0.87382,8.21589,3411,0,0.057162,0.351199,5837.0,0.820667,0.230741,0.933807
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,unlabelled_bulk,22.0,raw,ig,candidate,0.059088,0.026486,0.032602,0.330267,0.837796,0.061384,0.037458,0.023926,0.207848,0.111653,0.888347,0.032633,0.207868,0.913277,0.026196,0.006437,0.026375,0.601609,4.26911,8.077693,0.068994,0.027838,0.610839,0.003397,0.599732,8.281001,2237,0,0.057162,0.351199,5837.0,1.038862,0.629335,1.414272
deployed,KaLM-mini,KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5,unlabelled_bulk,22.0,raw,ig,query,0.063486,0.028525,0.034961,0.307539,0.842043,0.067995,0.042917,0.025078,0.1965,0.104441,0.895559,0.043272,0.212606,0.928297,0.036656,0.006616,0.017345,0.654359,4.245865,8.0903,0.074478,0.02948,0.647818,0.006437,0.652928,8.245373,2237,0,0.057162,0.351199,5837.0,1.071022,0.638945,1.504526
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,raw,ig,candidate,0.059939,0.018112,0.041828,0.350042,0.667075,0.052852,0.013331,0.039521,0.307987,0.436272,0.563728,0.03,0.38,0.57,0.0,0.03,0.18,0.51,4.65,7.34,0.069177,0.040024,0.593069,0.02,0.52,7.86,20,0,0.062895,0.350167,9368.0,0.881764,0.879859,0.736065
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,raw,ig,query,0.061424,0.020193,0.041231,0.348848,0.67155,0.051656,0.016414,0.035242,0.314653,0.448553,0.551447,0.02,0.36,0.44,0.01,0.01,0.2,0.44,4.75,7.41,0.067927,0.035714,0.590772,0.01,0.51,7.89,20,0,0.062895,0.350167,9368.0,0.840981,0.901978,0.812858
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,raw,marc,candidate,0.059939,0.018112,0.041828,0.350042,0.667075,0.036764,0.013458,0.023306,0.314424,0.388242,0.611758,0.0,0.2,0.44,0.0,0.0,0.23,0.59,4.8,7.01,0.069177,0.023306,0.660144,0.0,0.83,9.12,20,0,0.062895,0.350167,9368.0,0.613346,0.898248,0.743044
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,raw,marc,query,0.061424,0.020193,0.041231,0.348848,0.67155,0.03627,0.016705,0.019566,0.316621,0.363587,0.636413,0.0,0.3,0.49,0.0,0.0,0.2,0.57,4.6,7.17,0.067927,0.019566,0.670498,0.0,0.8,8.94,20,0,0.062895,0.350167,9368.0,0.590493,0.907617,0.827251
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,sif_abtt,ig,candidate,0.059939,0.018112,0.041828,0.350042,0.667075,0.019021,0.007655,0.011366,0.107446,0.393683,0.606317,0.0,0.03,0.57,0.0,0.0,0.3,0.8,4.75,6.88,0.069177,0.011982,0.778467,0.0,0.85,7.7,20,0,0.062895,0.350167,9368.0,0.317334,0.306951,0.422662
deployed,LaBSE,sentence-transformers_LaBSE,gallery,12.0,sif_abtt,ig,query,0.061424,0.020193,0.041231,0.348848,0.67155,0.017993,0.010163,0.007831,0.108873,0.379406,0.620594,0.0,0.05,0.53,0.0,0.0,0.34,0.78,4.7,7.23,0.067927,0.0081,0.755413,0.0,0.82,7.68,20,0,0.062895,0.350167,9368.0,0.292933,0.312093,0.503271
deployed,LaBSE,sentence-transformers_LaBSE,unlabelled_bulk,11.0,raw,ig,candidate,0.06642,0.027272,0.039148,0.32498,0.715868,0.064824,0.025259,0.039565,0.276435,0.353409,0.646591,0.041226,0.233182,0.548959,0.011252,0.029974,0.184678,0.554896,4.670338,6.990041,0.069406,0.039948,0.65181,0.014987,0.681207,8.256644,4177,0,0.062895,0.350167,9368.0,0.975976,0.850621,0.9262
deployed,LaBSE,sentence-transformers_LaBSE,unlabelled_bulk,11.0,raw,ig,query,0.06973,0.02784,0.04189,0.31268,0.717489,0.064166,0.025165,0.039001,0.267379,0.335865,0.664135,0.027436,0.215466,0.599282,0.011156,0.01628,0.183002,0.635193,4.54824,7.091262,0.075086,0.039375,0.680368,0.006225,0.727747,8.216615,4177,0,0.062895,0.350167,9368.0,0.920215,0.855119,0.903926
deployed,LaBSE,sentence-transformers_LaBSE,unlabelled_bulk,11.0,sif_abtt,ig,candidate,0.06642,0.027272,0.039148,0.32498,0.715868,0.03233,0.014512,0.017818,0.090458,0.330022,0.669978,0.0147,0.010773,0.598994,0.005123,0.009576,0.280584,0.819153,4.701221,7.127939,0.069406,0.018765,0.768274,0.006512,0.84429,7.668901,4177,0,0.062895,0.350167,9368.0,0.486745,0.278349,0.532105
deployed,LaBSE,sentence-transformers_LaBSE,unlabelled_bulk,11.0,sif_abtt,ig,query,0.06973,0.02784,0.04189,0.31268,0.717489,0.032541,0.014977,0.017564,0.082768,0.317069,0.682931,0.013311,0.006991,0.629638,0.006608,0.006703,0.285085,0.87096,4.6452,7.190711,0.075086,0.018736,0.797139,0.004884,0.883744,7.702562,4177,0,0.062895,0.350167,9368.0,0.46667,0.264706,0.537966
deployed,LaTa,bowphs_LaTa,gallery,1.0,raw,ig,candidate,0.059774,0.015181,0.044593,0.507712,0.325418,0.053059,0.012684,0.040375,0.459721,0.711838,0.288162,0.0,0.2,0.3,0.0,0.0,0.45,0.75,5.0,9.25,0.053902,0.040376,0.61795,0.0,0.9,9.75,4,0,0.075053,0.459991,12465.0,0.887668,0.905477,0.83551
deployed,LaTa,bowphs_LaTa,gallery,1.0,raw,ig,query,0.049062,0.012738,0.036323,0.497881,0.285264,0.047954,0.012272,0.035683,0.458858,0.733857,0.266143,0.0,0.2,0.4,0.0,0.0,0.5,0.8,5.0,8.95,0.043142,0.035687,0.582623,0.0,0.8,9.35,4,0,0.075053,0.459991,12465.0,0.977429,0.921622,0.963358
