run,model_short,model_slug,stratum,layer,variant,view,side,count_share_prefix,count_share_prefix_fragment,count_share_prefix_wholeword,count_share_frequent,count_share_fragment,mass_share_prefix,mass_share_prefix_fragment,mass_share_prefix_wholeword,mass_share_frequent,mass_share_whole_word,mass_share_fragment,top5_share_prefix,top5_share_frequent,top5_share_fragment,top5_share_prefix_fragment,top5_share_prefix_wholeword,top5_share_distinctive_unit,top5_share_distinctive_word,top5_distinct_words,top5_mean_word_chars,word_count_share_prefix,word_mass_share_prefix,word_mass_share_distinctive,top5word_share_prefix,top5word_share_distinctive,top5word_mean_chars,n_sides,n_nonfinite,corpus_share_prefix,corpus_share_frequent,n_piece_types,lift_prefix,lift_frequent,lift_prefix_fragment
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,abtt,ig,candidate,0.081474,0.024144,0.05733,0.478106,0.32632,0.061835,0.01714,0.044695,0.384114,0.69222,0.30778,0.006,0.128,0.359,0.001,0.005,0.484,0.838,4.99,8.348,0.070217,0.045077,0.66064,0.003,0.89,8.856,200,0,0.075053,0.459991,12465.0,0.758951,0.803407,0.70991
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,abtt,ig,query,0.076803,0.022878,0.053925,0.476304,0.329058,0.060327,0.015278,0.04505,0.384053,0.692593,0.307407,0.01,0.136,0.364,0.002,0.008,0.474,0.835,4.98,8.239,0.06601,0.045529,0.657365,0.004,0.886,8.799,200,0,0.075053,0.459991,12465.0,0.785477,0.806318,0.667793
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,abtt,marc,candidate,0.081474,0.024144,0.05733,0.478106,0.32632,0.080987,0.023587,0.0574,0.471581,0.697908,0.302092,0.06,0.407,0.282,0.024,0.036,0.379,0.651,4.88,6.576,0.070217,0.0574,0.615175,0.007,0.916,8.838,200,0,0.075053,0.459991,12465.0,0.99402,0.986353,0.97692
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,abtt,marc,query,0.076803,0.022878,0.053925,0.476304,0.329058,0.075814,0.020627,0.055186,0.469608,0.692887,0.307113,0.056,0.374,0.287,0.011,0.045,0.39,0.665,4.9,6.761,0.06601,0.055186,0.618139,0.007,0.92,8.837,200,0,0.075053,0.459991,12465.0,0.987115,0.985941,0.901637
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,raw,ig,candidate,0.081474,0.024144,0.05733,0.478106,0.32632,0.057612,0.021773,0.035839,0.395871,0.653237,0.346763,0.018,0.347,0.285,0.003,0.015,0.374,0.633,4.88,7.633,0.070217,0.038545,0.646708,0.014,0.681,7.935,200,0,0.075053,0.459991,12465.0,0.707122,0.827999,0.901772
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,raw,ig,query,0.076803,0.022878,0.053925,0.476304,0.329058,0.053742,0.020199,0.033543,0.399625,0.670579,0.329421,0.01,0.323,0.31,0.005,0.005,0.377,0.659,4.89,7.667,0.06601,0.035559,0.641387,0.004,0.69,7.907,200,0,0.075053,0.459991,12465.0,0.699743,0.839011,0.882915
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,raw,marc,candidate,0.081474,0.024144,0.05733,0.478106,0.32632,0.077497,0.024031,0.053466,0.483468,0.717926,0.282074,0.06,0.524,0.251,0.021,0.039,0.322,0.565,4.85,6.073,0.070217,0.053466,0.600721,0.012,0.754,7.5,200,0,0.075053,0.459991,12465.0,0.951191,1.011216,0.995318
pos200,LaTa,bowphs_LaTa,positive_pair,-1.0,raw,marc,query,0.076803,0.022878,0.053925,0.476304,0.329058,0.075804,0.02233,0.053474,0.48051,0.714254,0.285746,0.061,0.495,0.254,0.02,0.041,0.329,0.573,4.87,6.097,0.06601,0.053474,0.602178,0.026,0.731,7.333,200,0,0.075053,0.459991,12465.0,0.986993,1.008831,0.976075
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,abtt,ig,candidate,0.071982,0.021493,0.050489,0.483704,0.46967,0.037648,0.013245,0.024403,0.340779,0.509968,0.490032,0.006,0.13,0.588,0.006,0.0,0.34,0.918,4.9,8.717,0.067736,0.025185,0.736605,0.0,0.934,8.964,200,0,0.070973,0.462648,10481.0,0.523018,0.704519,0.616241
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,abtt,ig,query,0.072284,0.021054,0.05123,0.48035,0.457785,0.03568,0.011362,0.024318,0.34183,0.512735,0.487265,0.003,0.134,0.601,0.002,0.001,0.326,0.909,4.91,8.728,0.068354,0.024867,0.731965,0.002,0.931,9.009,200,0,0.070973,0.462648,10481.0,0.493611,0.711626,0.539675
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,abtt,marc,candidate,0.071982,0.021493,0.050489,0.483704,0.46967,0.068054,0.022393,0.045661,0.442835,0.549227,0.450773,0.008,0.106,0.503,0.004,0.004,0.387,0.877,4.87,8.404,0.067736,0.045661,0.661031,0.0,0.953,9.235,200,0,0.070973,0.462648,10481.0,0.945432,0.915508,1.041868
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,abtt,marc,query,0.072284,0.021054,0.05123,0.48035,0.457785,0.065286,0.019514,0.045772,0.435498,0.553195,0.446805,0.008,0.129,0.494,0.001,0.007,0.376,0.865,4.875,8.394,0.068354,0.045772,0.666744,0.001,0.944,9.093,200,0,0.070973,0.462648,10481.0,0.903191,0.906625,0.926886
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,raw,ig,candidate,0.071982,0.021493,0.050489,0.483704,0.46967,0.00857,0.00355,0.005021,0.354537,0.488141,0.511859,0.024,0.322,0.693,0.008,0.016,0.21,0.868,4.805,8.589,0.067736,0.005059,0.73182,0.007,0.907,8.817,200,0,0.070973,0.462648,10481.0,0.119061,0.732962,0.165149
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,raw,ig,query,0.072284,0.021054,0.05123,0.48035,0.457785,0.008357,0.003006,0.005351,0.352294,0.494298,0.505702,0.012,0.313,0.694,0.003,0.009,0.213,0.87,4.825,8.661,0.068354,0.005391,0.725232,0.006,0.895,8.945,200,0,0.070973,0.462648,10481.0,0.115611,0.73341,0.142791
pos200,PhilTa,bowphs_PhilTa,positive_pair,-1.0,raw,marc,candidate,0.071982,0.021493,0.050489,0.483704,0.46967,0.068392,0.02098,0.047412,0.461576,0.549991,0.450009,0.027,0.279,0.46,0.007,0.02,0.327,0.762,4.855,7.825,0.067736,0.047412,0.653338,0.001,0.929,9.107,200,0,0.070973,0.462648,10481.0,0.950128,0.954252,0.976143
