model,model_short,method,repr,pooling,layer,D,bucket,count,exclusive_pct,cumulative_pct,n_test
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,rank1,808,88.01742919389977,88.01742919389977,918
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,rank2,50,5.446623093681917,93.4640522875817,918
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,rank3,19,2.0697167755991286,95.53376906318083,918
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,rank4,5,0.5446623093681917,96.07843137254902,918
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,rank5,4,0.4357298474945534,96.51416122004358,918
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,abtt_optimal,hidden,mean,2,10,other,32,3.485838779956427,100.0,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,rank1,805,87.69063180827887,87.69063180827887,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,rank2,56,6.1002178649237475,93.79084967320262,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,rank3,20,2.178649237472767,95.96949891067538,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,rank4,11,1.1982570806100217,97.1677559912854,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,rank5,0,0.0,97.1677559912854,918
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,abtt_optimal,hidden,mean,23,10,other,26,2.832244008714597,100.0,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,rank1,791,86.16557734204792,86.16557734204792,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,rank2,63,6.862745098039216,93.02832244008714,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,rank3,20,2.178649237472767,95.2069716775599,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,rank4,10,1.0893246187363834,96.29629629629629,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,rank5,4,0.4357298474945534,96.73202614379085,918
bowphs/LaTa,LaTa,abtt_optimal,hidden,mean,1,10,other,30,3.2679738562091507,100.0,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,rank1,810,88.23529411764706,88.23529411764706,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,rank2,52,5.664488017429194,93.89978213507625,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,rank3,22,2.3965141612200433,96.29629629629629,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,rank4,4,0.4357298474945534,96.73202614379085,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,rank5,4,0.4357298474945534,97.1677559912854,918
bowphs/PhilTa,PhilTa,abtt_optimal,hidden,mean,1,10,other,26,2.832244008714597,100.0,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,rank1,811,88.34422657952071,88.34422657952071,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,rank2,57,6.209150326797386,94.55337690631809,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,rank3,13,1.4161220043572984,95.9694989106754,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,rank4,7,0.7625272331154684,96.73202614379086,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,rank5,3,0.32679738562091504,97.05882352941178,918
google/mt5-base,mt5-base,abtt_optimal,hidden,mean,1,10,other,27,2.941176470588235,100.0,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,rank1,808,88.01742919389977,88.01742919389977,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,rank2,55,5.991285403050109,94.00871459694989,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,rank3,13,1.4161220043572984,95.42483660130719,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,rank4,9,0.9803921568627451,96.40522875816994,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,rank5,6,0.6535947712418301,97.05882352941177,918
sentence-transformers/LaBSE,LaBSE,abtt_optimal,hidden,mean,11,10,other,27,2.941176470588235,100.0,918
