model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,mean,1,baseline,10,0.001,0.7638190954773869,0.6038161037840165,0.0704727081979793,0.6575062274932861,0.613503098487854,0.04400312900543213,0.5221238938053098,0.6371681415929203,0.9057591623036649,0.17142857142857143,0.7920353982300885,0.6152704235413855,0.5446009389671361,213,226,191,35
bowphs/LaTa,hidden,mean,1,abtt_fixed,10,0.001,0.18592964824120603,0.6398553942208931,0.09493698980708264,0.08857385069131851,0.00031645630951970816,0.0882573943817988,0.5398230088495575,0.6194690265486725,0.9895287958115183,0.02857142857142857,0.8407079646017699,0.6051261348905052,0.5211267605633803,213,226,191,35
bowphs/LaTa,hidden,mean,1,abtt_optimal,2,0.001,0.25125628140703515,0.7176798908880077,0.14776601001031936,0.14063584804534912,-0.0007060236530378461,0.14134187169838697,0.5575221238938053,0.6238938053097345,0.9790575916230366,0.0,0.827433628318584,0.6962411806081553,0.5821596244131455,213,226,191,35
bowphs/LaTa,hidden,mean,1,whitening,10,0.001,0.0,0.5124083831179358,0.008427385041816365,0.03441115841269493,0.0005731110577471554,0.033838047354947776,0.1415929203539823,0.22566371681415928,1.0,0.0,0.8451327433628318,0.5123109140487268,0.004694835680751174,213,226,191,35
bowphs/LaTa,hidden,mean,2,baseline,10,0.001,0.8241206030150754,0.5802994657843858,0.054509084953034366,0.47354286909103394,0.3348395824432373,0.13870328664779663,0.23893805309734514,0.4247787610619469,0.8743455497382199,0.08571428571428572,0.7522123893805309,0.5707284046246657,0.22065727699530516,213,226,191,35
bowphs/LaTa,hidden,mean,2,abtt_fixed,10,0.001,0.18592964824120603,0.6606414325847675,0.10904702055180755,0.09932764619588852,-9.212240547640249e-05,0.09941976860136492,0.5486725663716814,0.6283185840707964,0.9947643979057592,0.0,0.8407079646017699,0.6475829482330198,0.5164319248826291,213,226,191,35
bowphs/LaTa,hidden,mean,2,abtt_optimal,5,0.001,0.22613065326633167,0.6819554705374095,0.12351546930295579,0.12053212523460388,-0.0020432958845049143,0.1225754211191088,0.5442477876106194,0.6150442477876106,0.9947643979057592,0.0,0.8407079646017699,0.6576364964384129,0.5539906103286385,213,226,191,35
bowphs/LaTa,hidden,mean,2,whitening,10,0.001,0.0,0.5112068330676113,0.007607949160562939,0.008897156454622746,-0.0009793582139536738,0.00987651466857642,0.19911504424778761,0.23008849557522124,1.0,0.0,0.8451327433628318,0.5221059012999407,0.028169014084507043,213,226,191,35
bowphs/LaTa,hidden,mean,3,baseline,10,0.001,0.8793969849246231,0.5620017914077529,0.04208821169743765,0.4502338469028473,0.3014490306377411,0.1487848162651062,0.17699115044247787,0.37168141592920356,0.8167539267015707,0.22857142857142856,0.7256637168141593,0.5472055715422577,0.20187793427230047,213,226,191,35
bowphs/LaTa,hidden,mean,3,abtt_fixed,10,0.001,0.19597989949748745,0.6574198354296203,0.10686012788324523,0.0991082638502121,3.111600744887255e-05,0.09907714784276322,0.5663716814159292,0.6327433628318584,0.9947643979057592,0.0,0.8407079646017699,0.6420281535054144,0.5164319248826291,213,226,191,35
bowphs/LaTa,hidden,mean,3,abtt_optimal,3,0.001,0.23618090452261306,0.6924061682308652,0.1306096381473093,0.13209298253059387,-0.003449181793257594,0.13554216432385147,0.5663716814159292,0.6283185840707964,0.9947643979057592,0.0,0.8407079646017699,0.6823847200585749,0.539906103286385,213,226,191,35
bowphs/LaTa,hidden,mean,3,whitening,10,0.001,0.005025125628140704,0.502643563194942,0.0017945122956670495,-0.024573545902967453,-0.0015062277670949697,-0.023067318135872483,0.25663716814159293,0.34513274336283184,1.0,0.0,0.8451327433628318,0.5336548668416017,0.10328638497652583,213,226,191,35
bowphs/LaTa,hidden,mean,4,baseline,10,0.001,0.9045226130653267,0.5616047996900931,0.04181872478350604,0.4252926707267761,0.2676307260990143,0.15766194462776184,0.1592920353982301,0.37610619469026546,0.7539267015706806,0.22857142857142856,0.672566371681416,0.5463532771133808,0.18779342723004694,213,226,191,35
bowphs/LaTa,hidden,mean,4,abtt_fixed,10,0.001,0.21105527638190955,0.6444521308841146,0.09805735812872082,0.09444636851549149,-0.00010544868564466015,0.09455181720113615,0.5575221238938053,0.6460176991150443,0.9895287958115183,0.0,0.8362831858407079,0.6376731792498104,0.5305164319248826,213,226,191,35
bowphs/LaTa,hidden,mean,4,abtt_optimal,5,0.001,0.22613065326633167,0.6801761685241423,0.1223076390434799,0.12117689102888107,-0.002153656678274274,0.12333054770715535,0.5486725663716814,0.6194690265486725,1.0,0.0,0.8451327433628318,0.6738120657866258,0.5539906103286385,213,226,191,35
bowphs/LaTa,hidden,mean,4,whitening,10,0.001,0.0,0.5124892760469593,0.008478002764654453,0.04411320760846138,-0.00415599113330245,0.04826919874176383,0.2345132743362832,0.3230088495575221,1.0,0.0,0.8451327433628318,0.5421519944873207,0.04225352112676056,213,226,191,35
bowphs/LaTa,hidden,mean,5,baseline,10,0.001,0.914572864321608,0.5645495561040804,0.043817691725661384,0.41745758056640625,0.2542615830898285,0.16319599747657776,0.18584070796460178,0.3893805309734513,0.7172774869109948,0.2857142857142857,0.6504424778761062,0.5510660350276859,0.19718309859154928,213,226,191,35
bowphs/LaTa,hidden,mean,5,abtt_fixed,10,0.001,0.21608040201005024,0.651652568414953,0.10294517720977317,0.09960894286632538,5.6266766478074715e-05,0.0995526760998473,0.5530973451327433,0.6238938053097345,0.9895287958115183,0.0,0.8362831858407079,0.638455396410732,0.5117370892018779,213,226,191,35
bowphs/LaTa,hidden,mean,5,abtt_optimal,7,0.001,0.25125628140703515,0.6767433151340357,0.11997734088712839,0.11556163430213928,-0.0009830902563408017,0.11654472455848008,0.5619469026548672,0.6415929203539823,0.9738219895287958,0.0,0.8230088495575221,0.6593382743149749,0.5633802816901409,213,226,191,35
bowphs/LaTa,hidden,mean,5,whitening,10,0.001,0.0,0.5433287786746903,0.029412571735111928,0.09743809700012207,-0.007948360405862331,0.1053864574059844,0.24778761061946902,0.34513274336283184,1.0,0.0,0.8451327433628318,0.5004305979346587,0.107981220657277,213,226,191,35
bowphs/LaTa,hidden,mean,6,baseline,10,0.001,0.9195979899497487,0.5658828391613305,0.044722754277640345,0.41218331456184387,0.2467450499534607,0.16543826460838318,0.18141592920353983,0.3893805309734513,0.7382198952879581,0.2571428571428571,0.6637168141592921,0.5537634920316327,0.215962441314554,213,226,191,35
bowphs/LaTa,hidden,mean,6,abtt_fixed,10,0.001,0.21608040201005024,0.657628352262601,0.10700167380334182,0.1007670983672142,0.0002004976850003004,0.1005666006822139,0.5575221238938053,0.6327433628318584,1.0,0.0,0.8451327433628318,0.6200803575686433,0.5258215962441315,213,226,191,35
bowphs/LaTa,hidden,mean,6,abtt_optimal,5,0.001,0.21608040201005024,0.7081270724784531,0.14128134183545285,0.1331762820482254,-0.0017879335209727287,0.13496421556919813,0.5707964601769911,0.6106194690265486,1.0,0.0,0.8451327433628318,0.6959851347424107,0.5586854460093896,213,226,191,35
bowphs/LaTa,hidden,mean,6,whitening,10,0.001,0.0,0.5095722963633311,0.006497893816939509,0.0029424172826111317,-0.0027009386103600264,0.005643355892971158,0.24336283185840707,0.3053097345132743,1.0,0.0,0.8451327433628318,0.5079091394220534,0.12206572769953052,213,226,191,35
bowphs/LaTa,hidden,mean,7,baseline,10,0.001,0.9296482412060302,0.5659310002652386,0.04475544711921753,0.41546812653541565,0.24945206940174103,0.16601605713367462,0.18584070796460178,0.3893805309734513,0.7225130890052356,0.2571428571428571,0.6504424778761062,0.5508112713638886,0.20657276995305165,213,226,191,35
bowphs/LaTa,hidden,mean,7,abtt_fixed,10,0.001,0.20100502512562815,0.6675855346039646,0.11376083331744212,0.10486103594303131,7.175438076956198e-05,0.10478928156226175,0.5663716814159292,0.6460176991150443,1.0,0.0,0.8451327433628318,0.6256502921423164,0.5352112676056338,213,226,191,35
bowphs/LaTa,hidden,mean,7,abtt_optimal,5,0.001,0.20100502512562815,0.7157533258757143,0.1464582143121005,0.13512802124023438,-0.0016377130523324013,0.13676573429256678,0.5663716814159292,0.6194690265486725,1.0,0.0,0.8451327433628318,0.6994264168220555,0.5586854460093896,213,226,191,35
bowphs/LaTa,hidden,mean,7,whitening,10,0.001,0.010050251256281407,0.5082749679570538,0.005617239625280479,-0.004883472807705402,-0.0031291721388697624,-0.00175430066883564,0.18584070796460178,0.26991150442477874,1.0,0.0,0.8451327433628318,0.5208770833377512,0.028169014084507043,213,226,191,35
bowphs/LaTa,hidden,mean,8,baseline,10,0.001,0.9346733668341709,0.565423687189944,0.044411071584441145,0.4180917739868164,0.2521910071372986,0.16590076684951782,0.168141592920354,0.4026548672566372,0.7015706806282722,0.22857142857142856,0.6283185840707964,0.549193132506645,0.2112676056338028,213,226,191,35
bowphs/LaTa,hidden,mean,8,abtt_fixed,10,0.001,0.15577889447236182,0.6675050848134967,0.11370622218866878,0.10541686415672302,0.0011566354660317302,0.10426022869069129,0.5575221238938053,0.6504424778761062,1.0,0.0,0.8451327433628318,0.6378549560335418,0.5258215962441315,213,226,191,35
bowphs/LaTa,hidden,mean,8,abtt_optimal,5,0.001,0.20100502512562815,0.7247678920817424,0.15257750477480056,0.13931141793727875,-0.0016076836036518216,0.14091910154093057,0.5530973451327433,0.6194690265486725,1.0,0.0,0.8451327433628318,0.7063360798263425,0.5586854460093896,213,226,191,35
