model,repr,pooling,layer,method,D,tau,dir_acc_at_1,dir_acc_at_2,dir_acc_at_3,dir_acc_at_4,dir_acc_at_5,existing_acc,new_acc,overall_assignment_acc,n_query,n_reference_dirs,n_query_existing,n_query_new,seed
bowphs/LaTa,hidden,mean,1,baseline,10,0.7638190954773869,0.4424778761061947,0.5663716814159292,0.6017699115044248,0.6637168141592921,0.7079646017699115,0.4835164835164835,0.2727272727272727,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,mean,2,baseline,10,0.8241206030150754,0.18584070796460178,0.3274336283185841,0.3805309734513274,0.4424778761061947,0.4778761061946903,0.21978021978021978,0.045454545454545456,0.18584070796460178,113,46,91,22,42
bowphs/LaTa,hidden,mean,3,baseline,10,0.8793969849246231,0.1504424778761062,0.24778761061946902,0.34513274336283184,0.39823008849557523,0.4690265486725664,0.12087912087912088,0.2727272727272727,0.1504424778761062,113,46,91,22,42
bowphs/LaTa,hidden,mean,4,baseline,10,0.9045226130653267,0.17699115044247787,0.26548672566371684,0.35398230088495575,0.4247787610619469,0.4424778761061947,0.15384615384615385,0.2727272727272727,0.17699115044247787,113,46,91,22,42
bowphs/LaTa,hidden,mean,5,baseline,10,0.914572864321608,0.19469026548672566,0.2920353982300885,0.336283185840708,0.3893805309734513,0.4336283185840708,0.16483516483516483,0.3181818181818182,0.19469026548672566,113,46,91,22,42
bowphs/LaTa,hidden,mean,6,baseline,10,0.9195979899497487,0.168141592920354,0.26548672566371684,0.35398230088495575,0.3893805309734513,0.40707964601769914,0.14285714285714285,0.2727272727272727,0.168141592920354,113,46,91,22,42
bowphs/LaTa,hidden,mean,7,baseline,10,0.9296482412060302,0.168141592920354,0.2743362831858407,0.35398230088495575,0.3893805309734513,0.45132743362831856,0.14285714285714285,0.2727272727272727,0.168141592920354,113,46,91,22,42
bowphs/LaTa,hidden,mean,8,baseline,10,0.9346733668341709,0.1592920353982301,0.2743362831858407,0.37168141592920356,0.4336283185840708,0.45132743362831856,0.14285714285714285,0.22727272727272727,0.1592920353982301,113,46,91,22,42
bowphs/LaTa,hidden,mean,9,baseline,10,0.9346733668341709,0.1415929203539823,0.26548672566371684,0.36283185840707965,0.415929203539823,0.46017699115044247,0.14285714285714285,0.13636363636363635,0.1415929203539823,113,46,91,22,42
bowphs/LaTa,hidden,mean,10,baseline,10,0.9396984924623115,0.13274336283185842,0.26548672566371684,0.35398230088495575,0.415929203539823,0.48672566371681414,0.0989010989010989,0.2727272727272727,0.13274336283185842,113,46,91,22,42
