model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.3681503924161508,0.223690164505098,0.0158172832206289,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.3577495726589981,0.3797351790501601,0.0271934009913846,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.6402305525866718,0.4017999034167677,0.0287734887224354,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.8730218789165806,0.2804351239279977,0.020082376344793,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.250744361386411,0.2572075516981146,0.0184190153486286,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.5363338286851899,0.3044972007364518,0.0218054974550744,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.8299458363861163,0.343384528982042,0.0245902768719065,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.4216242925078471,0.2124715444700464,0.0152154033305131,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,0.0051627196220939,0.2215999028748484,0.0156694794033085,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,0.1150622268036874,0.5177310532972843,0.0366091138617363,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,0.2385118074257016,0.5518331389584965,0.0390204954641011,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,0.4085959677392253,0.5699287014408198,0.0403000449581646,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.0431271886618311,0.3423426360251555,0.0242072799422665,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,0.1115548786742806,0.436654479207481,0.030876134328309,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,0.3421816798646305,0.650029781620132,0.0459640466556805,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.5306868691785578,0.3533259718632151,0.0249839190673806,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.105646337512151,0.2087269365173493,0.0147592232227711,200
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.1421946840382912,0.2899771761396609,0.0207656968965563,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.2953717189897828,0.3692015762059976,0.0264390740239918,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.5883427290059151,0.334518218435571,0.0239553471858884,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.1588773847999209,0.1647324115757013,0.0117967330165745,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.3303227434896106,0.2019732762622891,0.01446360672899,195
