model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,rho_LOO,loo_rho,,0.48304261298002266,0.27817055103007654,0.019669628295976568,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.10_ratio,0.1,0.5675271916633247,0.3243825554455387,0.02322951728334713,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.25_ratio,0.25,0.7751682493494633,0.2644345878511148,0.01893655415706704,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.50_ratio,0.5,0.9436061436238974,0.17977586422103417,0.012874017036197607,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.10_ratio,0.1,0.14426851677291877,0.11914080552015532,0.00853185029380226,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.25_ratio,0.25,0.3154879118241507,0.16660349893351953,0.011930724365330613,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.50_ratio,0.5,0.5626240636165588,0.17664981170130034,0.012650155765556623,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.70,0.7,0.215751615024161,0.15674649488697703,0.011224849644211016,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.80,0.8,0.3135827163734664,0.188735318858595,0.013515616909121498,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.90,0.9,0.4364220764878589,0.2346632338457455,0.016804583214713203,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.95,0.95,0.5260623505423504,0.2555476448410241,0.01830014694964037,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,kendall_tau_loo,loo_tau,,0.36048631013114407,0.21724315473784436,0.01536141078814882,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,aopc_sufficiency,aopc_suff_ratio,,0.8680353829545382,0.15077622215783595,0.010797309533870024,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,aopc_comprehensiveness,aopc_comp_ratio,,0.5429562751512682,0.11618755620241403,0.008320363717484125,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,deletion_auc,del_auc,,0.46560260118152313,0.11729881413659762,0.008399942551040446,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,deletion_auc_random,del_auc_random,,0.7916788640091343,0.06087477077985137,0.004359332880919262,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,deletion_auc_gap,del_auc_gap,,0.32607626282761115,0.13662226440850034,0.009783723566787531,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,insertion_auc,ins_auc,,0.8594765066217467,0.15095635003138186,0.010810208758817556,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,insertion_auc_random,ins_auc_random,,0.7918267947012807,0.05558912449554661,0.003980819888609071,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,insertion_auc_gap,ins_auc_gap,,0.06764971192046623,0.1656520990322655,0.011862593203285848,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,randomization_rho_gap,rand_loo_rho_gap,,0.479179280445112,0.2810325862700755,0.01987200474859638,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,randomization_tau_gap,rand_loo_tau_gap,,0.3579778863316197,0.2186127685029021,0.015458257106236696,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,randomization_aopc_suff_gap,rand_aopc_suff_ratio_gap,,0.06919133370986248,0.14747396789038736,0.010560830193992012,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,randomization_aopc_comp_gap,rand_aopc_comp_ratio_gap,,0.3264926911034068,0.1223675552480785,0.008762922641299109,195
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,rho_LOO,loo_rho,,0.04629922629597542,0.2533809307774584,0.01791673743761,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.10_ratio,0.1,0.15172358660504254,0.49160148015468397,0.0347614740258721,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.25_ratio,0.25,0.26786272488971025,0.5118518798591389,0.036193393521147914,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.50_ratio,0.5,0.4294676110248426,0.5325717588711539,0.037658510216623975,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.10_ratio,0.1,0.03398909005941216,0.31101895055953593,0.02199236090181714,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.25_ratio,0.25,0.09113486251892514,0.3816050085782054,0.026983548930039965,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.50_ratio,0.5,0.304781993137531,0.5841825649730255,0.041307945314337714,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.70,0.7,0.5461571323422346,0.351846522203593,0.024879306178706376,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.80,0.8,0.5595450614958127,0.35120611497380183,0.024834022549215753,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.90,0.9,0.5840398281868593,0.3479496508832574,0.024603755765104308,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.95,0.95,0.5995405991053291,0.34613533036119465,0.02447546393066466,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,kendall_tau_loo,loo_tau,,0.04503471412676951,0.19143140236523065,0.013536244274450509,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,aopc_sufficiency,aopc_suff_ratio,,0.45469893644076287,0.38024027964588153,0.026887048021787197,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,aopc_comprehensiveness,aopc_comp_ratio,,0.3592967464091031,0.4002203642370214,0.028299853352094784,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,deletion_auc,del_auc,,0.6491667767036492,0.40019013216964444,0.02829771562210963,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,deletion_auc_random,del_auc_random,,0.7946219719063663,0.19491308767225501,0.013782436603505957,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,deletion_auc_gap,del_auc_gap,,0.1454551952027172,0.4431608580847336,0.03133620479081643,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,insertion_auc,ins_auc,,0.4462354133280107,0.3808146788526857,0.02692766417921114,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,insertion_auc_random,ins_auc_random,,0.8102674201995204,0.15203131699997396,0.010750237520340322,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,insertion_auc_gap,ins_auc_gap,,-0.36403200687150966,0.4043774149848161,0.028593801229445007,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,randomization_rho_gap,rand_loo_rho_gap,,0.03898200029569363,0.25985833260997393,0.01837475891363419,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,randomization_tau_gap,rand_loo_tau_gap,,0.03993011012196607,0.1953765085374506,0.01381520540713827,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,randomization_aopc_suff_gap,rand_aopc_suff_ratio_gap,,-0.35194625555463604,0.40635030801729594,0.028733305833627227,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,randomization_aopc_comp_gap,rand_aopc_comp_ratio_gap,,0.1490920070391098,0.42981144477525357,0.03039225872321691,200
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,rho_LOO,loo_rho,,0.0692224470906192,0.2902289248387511,0.02052228408499617,200
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.10_ratio,0.1,0.27744501736264393,0.3117934291502161,0.022327991224222982,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.25_ratio,0.25,0.46583570792757273,0.22766028032535884,0.016303091296897634,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.50_ratio,0.5,0.7072070513007245,0.17562656852145273,0.012576879799471795,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.10_ratio,0.1,0.05998612475421311,0.07705883303090766,0.005518297650955413,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.25_ratio,0.25,0.16340964510423353,0.1183922505620012,0.008478245159845247,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.50_ratio,0.5,0.29561814020202487,0.16109647321076684,0.011536358062152518,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.70,0.7,0.4676681305964338,0.16876656303551768,0.012085624603024776,195
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.80,0.8,0.5715927885031818,0.17386653949088626,0.01245084150271881,195
