model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,rho_LOO,loo_rho,,0.4830426129800226,0.2781705510300765,0.0196696282959765,200
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.10_ratio,0.1,0.5675271916633247,0.3243825554455387,0.0232295172833471,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.25_ratio,0.25,0.7751682493494633,0.2644345878511148,0.018936554157067,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.50_ratio,0.5,0.9436061436238974,0.1797758642210341,0.0128740170361976,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.10_ratio,0.1,0.1442685167729187,0.1191408055201553,0.0085318502938022,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.25_ratio,0.25,0.3154879118241507,0.1666034989335195,0.0119307243653306,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.50_ratio,0.5,0.5626240636165588,0.1766498117013003,0.0126501557655566,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.70,0.7,0.215751615024161,0.156746494886977,0.011224849644211,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.80,0.8,0.3135827163734664,0.188735318858595,0.0135156169091214,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.90,0.9,0.4364220764878589,0.2346632338457455,0.0168045832147132,195
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.95,0.95,0.5260623505423504,0.2555476448410241,0.0183001469496403,195
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,rho_LOO,loo_rho,,0.0462992262959754,0.2533809307774584,0.01791673743761,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.10_ratio,0.1,0.1517235866050425,0.4916014801546839,0.0347614740258721,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.25_ratio,0.25,0.2678627248897102,0.5118518798591389,0.0361933935211479,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.50_ratio,0.5,0.4294676110248426,0.5325717588711539,0.0376585102166239,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.10_ratio,0.1,0.0339890900594121,0.3110189505595359,0.0219923609018171,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.25_ratio,0.25,0.0911348625189251,0.3816050085782054,0.0269835489300399,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.50_ratio,0.5,0.304781993137531,0.5841825649730255,0.0413079453143377,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.70,0.7,0.5461571323422346,0.351846522203593,0.0248793061787063,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.80,0.8,0.5595450614958127,0.3512061149738018,0.0248340225492157,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.90,0.9,0.5840398281868593,0.3479496508832574,0.0246037557651043,200
