example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot,methods_available
1,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1040,1041,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.19/C1525.5v.3.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.19/Hat42.146r.1.txt,Can.apost.19,Can.apost.19,Can.apost.19,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
2,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,604,607,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.1/C1525.22v.1.txt,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.1/KoeD213.25v.1.txt,CNEO.315.1,CNEO.315.1,CNEO.315.1,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
3,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,848,849,/projects/beto/irowerojas/localLatin/data/canon/CORL.511.25/BAV1341.55r.12.txt,/projects/beto/irowerojas/localLatin/data/canon/CORL.511.25/BN2123.90r.7.txt,CORL.511.25,CORL.511.25,CORL.511.25,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
4,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,742,745,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.3/BN2123.96v.8.txt,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.3/D1723.524.9.txt,CNIC.325.3,CNIC.325.3,CNIC.325.3,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
5,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1170,1168,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.41/KoeD213.9v.1.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.41/Hat42.148r.3.txt,Can.apost.41,Can.apost.41,Can.apost.41,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
6,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1174,1177,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.42/C1525.7r.4.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.42/Vat5845.10r.1.txt,Can.apost.42,Can.apost.42,Can.apost.42,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
7,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1098,1096,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.29/KoeD213.7r.4.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.29/C1525.6r.4.txt,Can.apost.29,Can.apost.29,Can.apost.29,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
8,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,645,639,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.2/KoeD213.25v.2.txt,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.2/BAV1341.12v.17.txt,CNEO.315.2,CNEO.315.2,CNEO.315.2,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
9,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1203,1208,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.48/BAV1341.7v.18.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.48/Vat5845.10r.7.txt,Can.apost.48,Can.apost.48,Can.apost.48,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
10,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,633,635,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.14/BAV1341.13r.7.txt,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.14/C1525.23v.1.txt,CNEO.315.14,CNEO.315.14,CNEO.315.14,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
11,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,656,658,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.5/BAV1341.12v.20.txt,/projects/beto/irowerojas/localLatin/data/canon/CNEO.315.5/Hat42.161r.2.txt,CNEO.315.5,CNEO.315.5,CNEO.315.5,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
12,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,717,716,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.17/C1525.13r.3.txt,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.17/BN2123.86r.1.txt,CNIC.325.17,CNIC.325.17,CNIC.325.17,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
13,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,94,93,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.16/Hat42.159r.1.txt,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.16/D1723.525.3.txt,CANC.314.16,CANC.314.16,CANC.314.16,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
14,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,696,695,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.12/Hat42.153r.2.txt,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.12/D1723.522.3.txt,CNIC.325.12,CNIC.325.12,CNIC.325.12,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
15,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,216,219,/projects/beto/irowerojas/localLatin/data/canon/CANT.328.16/Brn425.64r.3.txt,/projects/beto/irowerojas/localLatin/data/canon/CANT.328.16/Hat42.171r.2.txt,CANT.328.16,CANT.328.16,CANT.328.16,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
16,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1073,1072,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.24/KoeD213.6v.7.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.24/Hat42.146r.6.txt,Can.apost.24,Can.apost.24,Can.apost.24,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
17,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,732,733,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.2/Hat42.150v.2.txt,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.2/KoeD213.11v.1.txt,CNIC.325.2,CNIC.325.2,CNIC.325.2,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
18,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,121,116,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.20/D1723.530.5.txt,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.20/BAV1341.12r.7.txt,CANC.314.20,CANC.314.20,CANC.314.20,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
19,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1037,1036,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.18/KoeD213.6v.1.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.18/Hat42.145v.4.txt,Can.apost.18,Can.apost.18,Can.apost.18,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
20,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,753,751,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.4/KoeD213.12r.2.txt,/projects/beto/irowerojas/localLatin/data/canon/CNIC.325.4/D1723.557.9.txt,CNIC.325.4,CNIC.325.4,CNIC.325.4,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
21,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1144,1141,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.37/KoeD213.8r.3.txt,/projects/beto/irowerojas/localLatin/data/canon/Can.apost.37/BN2123.84v.8.txt,Can.apost.37,Can.apost.37,Can.apost.37,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
22,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,61,60,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.10/Brn425.23v.4.txt,/projects/beto/irowerojas/localLatin/data/canon/CANC.314.10/BAV1341.11v.6.txt,CANC.314.10,CANC.314.10,CANC.314.10,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
