model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,rho_LOO,loo_rho,,0.3962523744509053,0.30526495712043467,0.21585492123848,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,sufficiency,suff@0.10_ratio,0.1,0.21420824545434797,0.4626439681891187,0.3271386871815792,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,sufficiency,suff@0.25_ratio,0.25,0.576375919736734,0.20136811134519364,0.14238875704691417,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,sufficiency,suff@0.50_ratio,0.5,0.8027189523670071,0.14349199120128528,0.10146416002438922,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,comprehensiveness,comp@0.10_ratio,0.1,0.23841554827582478,0.025696263199967134,0.018170001959851093,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,comprehensiveness,comp@0.25_ratio,0.25,0.5085398488226696,0.25068865954487585,0.17726365113074743,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,comprehensiveness,comp@0.50_ratio,0.5,0.7897344712842902,0.3648375344450489,0.25797909463747465,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,min_recovery_fraction,compactness@0.70,0.7,0.3560606060606061,0.20356104306885459,0.14393939393939392,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,min_recovery_fraction,compactness@0.80,0.8,0.4457070707070707,0.11606550701294341,0.08207070707070707,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,min_recovery_fraction,compactness@0.90,0.9,0.5833333333333333,0.11785113019775789,0.0833333333333333,2
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,min_recovery_fraction,compactness@0.95,0.95,0.658459595959596,0.03124840573425402,0.022095959595959613,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,rho_LOO,loo_rho,,0.14272885979375316,0.06607821053051458,0.046724350754799186,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,sufficiency,suff@0.10_ratio,0.1,0.3627807646592027,0.8997299239549182,0.6362051304649794,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,sufficiency,suff@0.25_ratio,0.25,0.049927127934675464,1.34242144495138,0.9492353069353644,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,sufficiency,suff@0.50_ratio,0.5,1.0059248045966744,0.008856346201843874,0.006262382455859528,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,comprehensiveness,comp@0.10_ratio,0.1,-0.0007761760837799885,0.0033339545142963317,0.0023574618452264383,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,comprehensiveness,comp@0.25_ratio,0.25,0.5682623554742339,0.8221807477711306,0.5813695821099928,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,comprehensiveness,comp@0.50_ratio,0.5,1.2652297348663186,0.07183012430117362,0.050791567986832487,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,min_recovery_fraction,compactness@0.70,0.7,0.25441919191919193,0.26159379657532633,0.1849747474747475,2
