model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,deletion_auc,del_auc,,0.22041875217528195,0.1223134904164391,0.028060639166157298,19
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,deletion_auc_random,del_auc_random,,0.5924928357597999,0.09271993194636924,0.02127141123190484,19
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,deletion_auc_gap,del_auc_gap,,0.372074083584518,0.12697689187249372,0.029130496833531114,19
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,insertion_auc,ins_auc,,0.8486307900702099,0.17488886833926715,0.040122258075845026,19
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,insertion_auc_random,ins_auc_random,,0.5799231810373622,0.0712159965434411,0.01633807011033693,19
bowphs/LaTa,ig,abtt,20,77.85,0.5297412753570825,insertion_auc_gap,ins_auc_gap,,0.2687076090328477,0.1726585055111405,0.03961057775083273,19
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,deletion_auc,del_auc,,-0.761626682924518,1.2290329286805683,0.2748201175115402,20
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,deletion_auc_random,del_auc_random,,0.3482497532031744,0.9116115802572463,0.2038425462531208,20
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,deletion_auc_gap,del_auc_gap,,1.1098764361276925,1.0184988320197392,0.22774326234002762,20
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,insertion_auc,ins_auc,,1.0113838527181467,0.47710644990124285,0.10668424544827768,20
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,insertion_auc_random,ins_auc_random,,0.5936955437649647,0.41694515937947396,0.09323177192619878,20
bowphs/LaTa,ig,baseline,20,77.85,-0.0016326703131198882,insertion_auc_gap,ins_auc_gap,,0.4176883089531819,0.5876010710190945,0.1313915938450377,20
