config,knob,schedule,erasure,draws,seed,token_filter,side,pooling_matches_generator,n_cells,wins,ties,losses,sign_wins,gap_base_min,gap_base_max,gap_abtt_min,gap_abtt_max,gap_base_spread,mean_abs_paired,min_pairs
predeclared,-,every_token,drop,5,20260906,tokenizer_empty,query,True,6,4,1,1,4,0.041923583399611095,0.813841781675084,0.1797314848423945,0.5614079124245251,0.7719181982754729,0.3519038729413613,194
sched_frac0.05,schedule,frac_0.05,drop,5,20260906,tokenizer_empty,query,True,6,4,1,1,4,0.03916331472198666,0.8121242272583072,0.1773268666318374,0.5556838074625866,0.7729609125363206,0.3525199341556673,194
sched_frac0.10,schedule,frac_0.10,drop,5,20260906,tokenizer_empty,query,True,6,4,0,2,4,0.03518544341304437,0.801211557296232,0.1736112484083365,0.5458260086239496,0.7660261138831875,0.3516027257941647,194
sched_frac0.20,schedule,frac_0.20,drop,5,20260906,tokenizer_empty,query,True,6,4,0,2,4,0.028205030455941936,0.7402418196060819,0.16062345132006994,0.5176095452135406,0.71203678915014,0.3371172479657716,194
erase_zero,erasure,every_token,zero,5,20260906,tokenizer_empty,query,True,6,3,1,2,3,0.04192358339961109,0.813841781675084,0.07963297689300577,0.2668784738296629,0.7719181982754729,0.2417238514969442,194
erase_centroid,erasure,every_token,centroid,5,20260906,tokenizer_empty,query,True,6,4,1,1,5,0.005242108684492837,0.42683971373590907,0.1797314848423945,0.5614079124245251,0.42159760505141625,0.32618834030370997,194
draws1,draws,every_token,drop,1,20260906,tokenizer_empty,query,True,6,4,1,1,4,0.04126210221375507,0.7556038308198493,0.18435762502629566,0.5556748691105967,0.7143417286060942,0.32714190293696765,194
draws20,draws,every_token,drop,20,20260906,tokenizer_empty,query,True,6,4,0,2,4,0.04195120182265614,0.831259451280308,0.17975952120898656,0.5607587697474367,0.7893082494576519,0.3583119678710356,194
draws50,draws,every_token,drop,50,20260906,tokenizer_empty,query,True,6,4,0,2,4,0.04195457714184594,0.8342935485726976,0.1812817055187192,0.5596358560081305,0.7923389714308516,0.3583746942578629,194
seed20260101,seed,every_token,drop,5,20260101,tokenizer_empty,query,True,6,4,0,2,4,0.0418714709087848,0.8282744819049535,0.1831700710472624,0.558385813391484,0.7864030109961686,0.3560471120940843,194
seed7,seed,every_token,drop,5,7,tokenizer_empty,query,True,6,4,0,2,4,0.041990795282351605,0.8320858236370734,0.18246565446062502,0.5665357916888,0.7900950283547218,0.358638427070712,194
filter_all,token_filter,every_token,drop,5,20260906,all,query,False,6,1,1,4,1,-0.21082208902587438,0.424594213291151,-0.1300761961967119,0.008863940294257213,0.6354163023170254,0.17022639560391725,199
filter_no_empty,token_filter,every_token,drop,5,20260906,no_empty,query,False,6,6,0,0,6,0.015715045226997956,0.1665631357432745,0.1630514620379904,0.4837069831169581,0.15084809051627654,0.2813352980322791,197
side_both,side,every_token,drop,5,20260906,tokenizer_empty,both,True,6,3,1,2,4,-1.614757470427634e-05,1.2990413920321908,0.1279407290857322,0.3876658214837129,1.299057539606895,0.4203455852869861,194
sched0.10_zero,mixed,frac_0.10,zero,5,20260906,tokenizer_empty,query,True,6,3,1,2,3,0.03518544341304437,0.801211557296232,0.07930165849864437,0.26386402946138104,0.7660261138831875,0.24077574777932464,194
sched0.10_centroid,mixed,frac_0.10,centroid,5,20260906,tokenizer_empty,query,True,6,4,1,1,5,0.005202411882690404,0.41403674643109656,0.1736112484083365,0.5458260086239496,0.4088343345484062,0.31630641414974997,194
sched0.10_both,mixed,frac_0.10,drop,5,20260906,tokenizer_empty,both,True,6,3,1,2,3,0.007226211263215052,1.2786637067374083,0.12671158134425425,0.3846442282766134,1.2714374954741932,0.41379952027821526,194
zero_both,mixed,every_token,zero,5,20260906,tokenizer_empty,both,True,6,3,0,3,3,-1.614757470425391e-05,1.2990413920321908,0.051635864989530406,0.09726881801762488,1.299057539606895,0.3648962822661152,194
centroid_both,mixed,every_token,centroid,5,20260906,tokenizer_empty,both,True,6,4,1,1,4,-3.498154367504789e-05,0.38785325732958215,0.1279407290857322,0.3876658214837128,0.3878882388732572,0.18921951481449184,194
sched0.10_zero_both,mixed,frac_0.10,zero,5,20260906,tokenizer_empty,both,True,6,3,0,3,3,0.007226211263215065,1.2786637067374085,0.04861916993200632,0.09335005625215363,1.2714374954741934,0.35890246461704906,194
