model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,rho_LOO,loo_rho,,0.5753854084968044,0.2576104212541332,0.018215807577312,200
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,sufficiency,suff@0.10_ratio,0.1,0.720866764904555,0.4138275262487568,0.0296348046833678,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,sufficiency,suff@0.25_ratio,0.25,0.9052005997134388,0.3506914771440722,0.0251135382981729,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,sufficiency,suff@0.50_ratio,0.5,1.009720951030487,0.1893228652045205,0.0135576919768719,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,comprehensiveness,comp@0.10_ratio,0.1,0.1075074808415548,0.1163275550870646,0.0083303892458488,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,comprehensiveness,comp@0.25_ratio,0.25,0.2745032821311061,0.182237014785819,0.0130502636888669,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,comprehensiveness,comp@0.50_ratio,0.5,0.5534654462353892,0.201251052953141,0.0144118872435841,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,min_recovery_fraction,compactness@0.70,0.7,0.1322826085698406,0.1088462347609042,0.0077946407695471,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,min_recovery_fraction,compactness@0.80,0.8,0.2089635274811395,0.14469106779279,0.0103615425787064,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,min_recovery_fraction,compactness@0.90,0.9,0.341227607838119,0.2170079838164539,0.0155402644996271,195
bowphs/LaTa,attention_standalone,abtt,200,74.815,0.5897392870128426,min_recovery_fraction,compactness@0.95,0.95,0.435933388474637,0.2643956843422158,0.0189337682189295,195
bowphs/LaTa,attention_standalone,baseline,200,74.815,0.0791405286243333,rho_LOO,loo_rho,,0.1438681971661348,0.3142708079860578,0.0222223019455916,200
bowphs/LaTa,attention_standalone,baseline,200,74.815,0.0791405286243333,sufficiency,suff@0.10_ratio,0.1,0.7884421111680329,0.95332106726973,0.0675791386925999,199
bowphs/LaTa,attention_standalone,baseline,200,74.815,0.0791405286243333,sufficiency,suff@0.25_ratio,0.25,0.909785292426422,0.802814816817153,0.0569100334743889,199
bowphs/LaTa,attention_standalone,baseline,200,74.815,0.0791405286243333,sufficiency,suff@0.50_ratio,0.5,0.9623399117434812,0.6880935356396227,0.0487776574702662,199
