example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot,methods_available
1,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,532,529,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.14/Hat42.165v.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.14/BN1454.60r.2.txt,CGAN.355.14,CGAN.355.14,CGAN.355.14,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
2,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,991,992,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORL.511.26/BN2123.90v.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORL.511.26/Brn425.43v.2.txt,CORL.511.26,CORL.511.26,CORL.511.26,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
3,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,803,801,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.11/C1525.12v.1.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.11/BN1454.48r.1.txt,CNIC.325.11,CNIC.325.11,CNIC.325.11,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
4,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,555,553,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.19/KoeD213.30v.4.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.19/C1525.26r.2.txt,CGAN.355.19,CGAN.355.19,CGAN.355.19,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
5,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,228,227,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANT.328.1/C1525.27r.6.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CANT.328.1/BAV1341.16v.26.txt,CANT.328.1,CANT.328.1,CANT.328.1,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
6,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1543,1547,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.46/BAV1341.7v.16.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.46/Vat5845.10r.5.txt,Can.apost.46,Can.apost.46,Can.apost.46,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
7,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,1438,1435,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.27/KoeD213.7r.2.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/Can.apost.27/BAV1341.7r.21.txt,Can.apost.27,Can.apost.27,Can.apost.27,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
8,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,885,887,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.5/BN1454.47r.3.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CNIC.325.5/C1525.11v.2.txt,CNIC.325.5,CNIC.325.5,CNIC.325.5,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
9,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,931,930,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORA.441.2/Brn425.55v.11.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CORA.441.2/BN2123.89r.4.txt,CORA.441.2,CORA.441.2,CORA.441.2,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
10,bowphs/LaTa,LaTa,t5,7,abtt_optimal,hidden,mean,10,0.5025125628140703,0.9949748743718592,0.5025125628140703,,,568,571,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.4/Brn425.57r.6.txt,/projects/beto/irowerojas/localLatin/data/canon_labelled/CGAN.355.4/Hat42.164v.3.txt,CGAN.355.4,CGAN.355.4,CGAN.355.4,pair_example,1,,,,,rand_similar,,,,,,,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
