model,method,projection,silhouette,n_points
LaTa,baseline,tsne,0.3363430202007293,1160
LaTa,sif_only,tsne,0.545498788356781,1160
LaTa,sif_abtt_optimal,tsne,0.5315417051315308,1160
LaTa,whitening,tsne,-0.4799467921257019,1160
PhilTa,baseline,tsne,0.4773913621902466,1160
PhilTa,sif_only,tsne,0.568878173828125,1160
PhilTa,sif_abtt_optimal,tsne,0.5560406446456909,1160
PhilTa,whitening,tsne,-0.4276263117790222,1160
LaBSE,baseline,tsne,0.3968799710273742,1160
LaBSE,sif_only,tsne,0.3544025719165802,1160
LaBSE,sif_abtt_optimal,tsne,0.5381666421890259,1160
LaBSE,whitening,tsne,-0.4514006376266479,1160
Qwen3-0.6B,baseline,tsne,-0.1391814947128296,1160
Qwen3-0.6B,sif_only,tsne,-0.0022934880107641,1160
Qwen3-0.6B,sif_abtt_optimal,tsne,0.4995400905609131,1160
Qwen3-0.6B,whitening,tsne,-0.364208847284317,1160
KaLM-mini,baseline,tsne,0.0619543716311454,1160
KaLM-mini,sif_only,tsne,0.2333432137966156,1160
KaLM-mini,sif_abtt_optimal,tsne,0.4375644624233246,1160
KaLM-mini,whitening,tsne,-0.5875757932662964,1160
mT5-base,baseline,tsne,-0.2689956724643707,1160
mT5-base,sif_only,tsne,-0.0323508828878402,1160
mT5-base,sif_abtt_optimal,tsne,0.5173348188400269,1160
mT5-base,whitening,tsne,-0.4149165451526642,1160
LaTa,baseline,umap,0.07069682329893112,1160
LaTa,sif_only,umap,0.31103816628456116,1160
LaTa,sif_abtt_optimal,umap,0.28376469016075134,1160
LaTa,whitening,umap,-0.6085508465766907,1160
PhilTa,baseline,umap,0.13328570127487183,1160
PhilTa,sif_only,umap,0.31642723083496094,1160
PhilTa,sif_abtt_optimal,umap,0.3207593262195587,1160
PhilTa,whitening,umap,-0.5923388004302979,1160
LaBSE,baseline,umap,0.11147788166999817,1160
LaBSE,sif_only,umap,0.0665319561958313,1160
LaBSE,sif_abtt_optimal,umap,0.3024022579193115,1160
LaBSE,whitening,umap,-0.6348824501037598,1160
Qwen3-0.6B,baseline,umap,-0.3088231086730957,1160
Qwen3-0.6B,sif_only,umap,-0.2575758397579193,1160
Qwen3-0.6B,sif_abtt_optimal,umap,0.2423330396413803,1160
Qwen3-0.6B,whitening,umap,-0.5199923515319824,1160
KaLM-mini,baseline,umap,-0.13764384388923645,1160
KaLM-mini,sif_only,umap,-0.08376161009073257,1160
KaLM-mini,sif_abtt_optimal,umap,0.17256543040275574,1160
KaLM-mini,whitening,umap,-0.6737473011016846,1160
mT5-base,baseline,umap,-0.43702414631843567,1160
mT5-base,sif_only,umap,-0.23575592041015625,1160
mT5-base,sif_abtt_optimal,umap,0.26870959997177124,1160
mT5-base,whitening,umap,-0.5625320672988892,1160
