model,model_display,repr,pooling,layer,split,D,embedding_path,split_csv,token_filter,view,n,dim,anisotropy_mean_cosine,cosine_mean,cosine_std,cosine_p05,cosine_p50,cosine_p95,cosine_iqr,pc1_variance_ratio,pc10_cumulative_variance_ratio,effective_rank_entropy,delta_anisotropy_mean_cosine,delta_pc1_variance_ratio,delta_pc10_cumulative_variance_ratio,delta_effective_rank_entropy,delta_cosine_std,delta_cosine_iqr,D__abtt_optimal,D__baseline,aucroc__abtt_optimal,aucroc__baseline,dir_acc_at_1__abtt_optimal,dir_acc_at_1__baseline,dir_acc_at_3__abtt_optimal,dir_acc_at_3__baseline,existing_acc__abtt_optimal,existing_acc__baseline,gap__abtt_optimal,gap__baseline,new_acc__abtt_optimal,new_acc__baseline,overall_assignment_acc__abtt_optimal,overall_assignment_acc__baseline,tau__abtt_optimal,tau__baseline,train_aucroc__abtt_optimal,train_aucroc__baseline,train_dir_acc_at_1__abtt_optimal,train_dir_acc_at_1__baseline,aucroc_gain__abtt_optimal_minus_baseline,gap_gain__abtt_optimal_minus_baseline,dir_acc_at_1_gain__abtt_optimal_minus_baseline,dir_acc_at_3_gain__abtt_optimal_minus_baseline,overall_assignment_acc_gain__abtt_optimal_minus_baseline,existing_acc_gain__abtt_optimal_minus_baseline,new_acc_gain__abtt_optimal_minus_baseline,mseed_baseline_dir_acc_at_1_mean,mseed_baseline_dir_acc_at_1_std,mseed_baseline_overall_assignment_acc_mean,mseed_baseline_overall_assignment_acc_std,model_group
bowphs/LaTa,LaTa,hidden,mean,1,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer1_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.5017238313866142,0.5017238313866142,0.112371953122353,0.317258315608073,0.5031190706703441,0.6816453964326051,0.1520381011625547,0.0536483507914235,0.324472187534074,133.71391899884014,-0.5002063702385761,-0.0241138332590247,-0.1095310661062698,51.91001229690883,-0.0224215925073854,-0.038325481116219,10,10,0.9692672913963956,0.9326224358287252,0.87995337995338,0.7214452214452215,0.9685314685314684,0.9242424242424242,0.9102803738317756,0.6299065420560748,0.5650471019325778,0.286248505115509,0.9071207430340558,0.9164086687306502,0.9090909090909092,0.7377622377622378,0.4371859296482412,0.8442211055276382,0.9802123590999215,0.9380738435206968,0.8524203069657615,0.731995277449823,0.03664485556767039,0.2787985968170688,0.15850815850815847,0.04428904428904423,0.17132867132867136,0.28037383177570085,-0.009287925696594423,0.7306234136780466,0.0089886776307605,0.7306234136780466,0.0089886776307605,main
bowphs/LaTa,LaTa,hidden,mean,2,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer2_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.302656775439816,0.302656775439816,0.4645856222555038,-0.2640283109290519,0.3550511206155107,0.9420914204120177,0.907369666412032,0.7738957089294096,0.8749644478659785,4.510649150559408,-0.3008569410365205,-0.7396565001624436,-0.6306032598697382,159.07014000385513,-0.3651245708650075,-0.7803633320327731,10,10,0.969013286705634,0.5645577593099911,0.8694638694638694,0.3834498834498834,0.9627039627039627,0.5944055944055944,0.9046728971962616,0.1532710280373831,0.5534266426111571,0.0204535722732543,0.891640866873065,0.913312693498452,0.8997668997668997,0.4393939393939394,0.4623115577889447,0.9798994974874372,0.9763932617925905,0.5781231454982283,0.8382526564344747,0.3955135773317591,0.40445552739564294,0.5329730703379029,0.48601398601398604,0.3682983682983684,0.4603729603729603,0.7514018691588785,-0.021671826625387025,0.4278828216136016,0.0108546275264892,0.4278828216136016,0.0108546275264892,main
bowphs/LaTa,LaTa,hidden,mean,3,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer3_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2673255596906165,0.2673255596906165,0.5641162152026341,-0.3831595778322911,0.2890292135595932,0.9886446841583708,1.1383958477556944,0.9352665218870638,0.9745490200773826,1.5868869787719384,-0.2655287564817623,-0.8995740310559375,-0.7184813114244171,154.857030443765,-0.4616993965807094,-1.0073486097688988,10,10,0.9721150290126566,0.5148019356819986,0.8822843822843823,0.3496503496503496,0.9627039627039627,0.5198135198135199,0.8822429906542056,0.2560747663551402,0.5550300309550948,-0.0463918298482894,0.9504643962848296,0.8421052631578947,0.907925407925408,0.4766899766899767,0.4974874371859296,0.9949748743718592,0.9767904548196984,0.5307634340269143,0.8429752066115702,0.3435655253837072,0.45731309333065795,0.6014218608033842,0.5326340326340328,0.4428904428904429,0.4312354312354313,0.6261682242990654,0.1083591331269349,0.3922193596649377,0.0115977141327729,0.3922193596649377,0.0115977141327729,main
bowphs/LaTa,LaTa,hidden,mean,4,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2336582952194406,0.2336582952194406,0.6082459825862822,-0.4590914261259257,0.2459894243940086,0.9927017288829058,1.2519725434737818,0.9549590245766608,0.9866847423480786,1.3690667091412183,-0.2318820094670988,-0.9193005022993196,-0.7339318671301936,157.3851358927762,-0.5063383787222954,-1.1215615056327937,10,10,0.9704689905210868,0.5018671676506967,0.8811188811188811,0.303030303030303,0.9568764568764568,0.4184149184149184,0.8934579439252337,0.3887850467289719,0.5643124566995539,-0.0650308281183242,0.9195046439628484,0.718266253869969,0.9032634032634032,0.5128205128205128,0.4824120603015075,0.9949748743718592,0.9784601261276434,0.5177051909573394,0.8488783943329398,0.3034238488783943,0.4686018228703901,0.629343284817878,0.5780885780885782,0.5384615384615384,0.3904428904428904,0.5046728971962617,0.20123839009287936,0.3298412143388729,0.0176538465185983,0.3298412143388729,0.0176538465185983,main
bowphs/LaTa,LaTa,hidden,mean,5,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2326424086599741,0.2326424086599741,0.6130276280375775,-0.4703592567196347,0.2573225608418837,0.9925080880179026,1.27324067319522,0.9485658352268472,0.9875536233741036,1.391981014599612,-0.2308070842864293,-0.9126493690044254,-0.7351710694809499,157.57898542614856,-0.5107975736475815,-1.142851246690197,10,10,0.9712460069164074,0.4981521959458609,0.8752913752913752,0.2972027972027972,0.9557109557109555,0.4149184149184149,0.891588785046729,0.3738317757009345,0.5718438005424105,-0.0675935745239257,0.913312693498452,0.7151702786377709,0.8997668997668997,0.5023310023310024,0.4924623115577889,0.9949748743718592,0.9799687115214848,0.5136491948870895,0.8512396694214877,0.3152302243211334,0.4730938109705465,0.6394373750663361,0.578088578088578,0.5407925407925407,0.39743589743589736,0.5177570093457945,0.19814241486068107,0.3260792467402275,0.0203317663129987,0.3260792467402275,0.0203317663129987,main
bowphs/LaTa,LaTa,hidden,mean,6,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2308660150246538,0.2308660150246538,0.6144288215674487,-0.4802840953000695,0.2553979158047129,0.9924988841281128,1.282619873555487,0.9423804354392024,0.9881295042739134,1.4131534881946597,-0.2292231846561263,-0.9087980511835446,-0.7377415988401632,160.66186250044768,-0.5132403406328154,-1.153614675479771,10,10,0.9629303747064268,0.4973279610380078,0.8741258741258742,0.2972027972027972,0.9557109557109555,0.4009324009324009,0.8841121495327103,0.3775700934579439,0.5687836636789143,-0.0674287378787994,0.913312693498452,0.7120743034055728,0.8951048951048951,0.5034965034965035,0.4974874371859296,0.9949748743718592,0.9802329568411268,0.5116618171512339,0.8524203069657615,0.319952774498229,0.46560241366841904,0.6362124015577137,0.576923076923077,0.5547785547785546,0.39160839160839156,0.5065420560747664,0.20123839009287925,0.3214989898439927,0.0180848086713071,0.3214989898439927,0.0180848086713071,main
bowphs/LaTa,LaTa,hidden,mean,7,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2332577270973676,0.2332577270973676,0.6212593310262087,-0.4844437156111609,0.2669273751064178,0.9924288033840424,1.287140970603822,0.9445762178316336,0.9881004433475205,1.404293030160802,-0.2317892763751078,-0.908479665567872,-0.7370255636871538,163.6898373990008,-0.5200511259598142,-1.1589080149203397,10,10,0.9613060945054316,0.4991755476008165,0.8682983682983683,0.3018648018648018,0.958041958041958,0.4055944055944055,0.874766355140187,0.3719626168224299,0.5639965541777201,-0.0702220648527145,0.9164086687306502,0.7151702786377709,0.8904428904428905,0.5011655011655012,0.5025125628140703,0.9949748743718592,0.9796253506885424,0.5119330710465226,0.8583234946871311,0.319952774498229,0.4621305469046151,0.6342186190304346,0.5664335664335665,0.5524475524475525,0.3892773892773893,0.502803738317757,0.20123839009287925,0.3274810234042068,0.0199208750298055,0.3274810234042068,0.0199208750298055,main
bowphs/LaTa,LaTa,hidden,mean,8,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.229998292259341,0.229998292259341,0.6318271331447143,-0.4906067866128385,0.2515522912320221,0.9934843599521224,1.305040747294969,0.955725519455526,0.988970289347882,1.3406149203669435,-0.2285761856779352,-0.920021000690039,-0.7404875637744326,167.0580429635894,-0.5313568460876488,-1.178115681633736,10,10,0.9639321306169596,0.5035157542249066,0.8613053613053613,0.3018648018648018,0.951048951048951,0.4055944055944055,0.8841121495327103,0.3794392523364486,0.5581466378062032,-0.0726764649152755,0.8854489164086687,0.7058823529411765,0.8846153846153846,0.5023310023310024,0.4723618090452261,0.9949748743718592,0.980023971159402,0.5147503626003999,0.859504132231405,0.3152302243211334,0.460416376392053,0.6308231027214787,0.5594405594405595,0.5454545454545455,0.3822843822843822,0.5046728971962617,0.17956656346749222,0.3246585820204388,0.0219722027554267,0.3246585820204388,0.0219722027554267,main
bowphs/LaTa,LaTa,hidden,mean,9,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2308025576617477,0.2308025576617477,0.6302550011845689,-0.4955367348562864,0.2649730219492999,0.9926863000094296,1.2987921116411802,0.9500674349563952,0.9878278828382632,1.3791014206852366,-0.2292987798459139,-0.9142843656022386,-0.7391227788542628,169.52544585363484,-0.5302397678854042,-1.173070467497983,10,10,0.964445684882718,0.5041775345558239,0.8578088578088578,0.3088578088578088,0.9475524475524476,0.4044289044289044,0.8859813084112149,0.3663551401869159,0.5567558242473751,-0.0708053410053253,0.8730650154798761,0.7244582043343654,0.8811188811188811,0.5011655011655012,0.4723618090452261,0.9949748743718592,0.9793056626619406,0.5147451302892481,0.8547815820543093,0.3246753246753247,0.46026815032689405,0.6275611652527004,0.5489510489510491,0.5431235431235433,0.37995337995337997,0.5196261682242991,0.14860681114551078,0.3312061534434726,0.018966192362611,0.3312061534434726,0.018966192362611,main
bowphs/LaTa,LaTa,hidden,mean,10,test,10,/projects/beto/irowerojas/localLatin/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer10_embeddings.npy,/projects/beto/irowerojas/localLatin/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2360619068495198,0.2360619068495198,0.6286564907465071,-0.4928110882655692,0.2893215669881893,0.9918931406743288,1.2893904621558274,0.9485647474588604,0.9861655414263156,1.405261767534015,-0.2346745669887267,-0.9137618844482956,-0.7371220547351058,170.9207703601611,-0.5292544134293585,-1.1643488909583135,10,10,0.9698096850125716,0.5065003465438178,0.8519813519813519,0.317016317016317,0.9463869463869464,0.4242424242424242,0.8728971962616823,0.3439252336448598,0.5513300243183039,-0.0701155811548233,0.8823529411764706,0.7523219814241486,0.8764568764568764,0.4976689976689977,0.4824120603015075,0.9949748743718592,0.9805314088587804,0.5158449695150461,0.8488783943329398,0.3376623376623376,0.4633093384687538,0.6214456054731272,0.534965034965035,0.5221445221445222,0.37878787878787873,0.5289719626168226,0.13003095975232193,0.345617598087666,0.0172885315075763,0.345617598087666,0.0172885315075763,main
