model,layer,aucroc__abtt_optimal,aucroc__baseline,gap__abtt_optimal,gap__baseline,model_display
sentence-transformers/LaBSE,1,0.9767213156898094,0.805692182786087,0.5196645185351372,0.0599545836448669,LaBSE
sentence-transformers/LaBSE,2,0.9787282914364762,0.833455088252939,0.5313990900758654,0.0374430418014526,LaBSE
sentence-transformers/LaBSE,3,0.9776056259791628,0.853328462344226,0.542699150275439,0.0624010562896728,LaBSE
sentence-transformers/LaBSE,4,0.9766282070595512,0.8620640942275978,0.5248695991467685,0.0733954310417175,LaBSE
sentence-transformers/LaBSE,5,0.9677035878322064,0.8642593625118262,0.5006135256844573,0.0660414695739746,LaBSE
sentence-transformers/LaBSE,6,0.9758555091922614,0.8936213855050548,0.5320857402693946,0.0779857635498046,LaBSE
sentence-transformers/LaBSE,7,0.9749244731717234,0.8870614347646352,0.5235368218709482,0.0882545113563537,LaBSE
sentence-transformers/LaBSE,8,0.9745040924371912,0.8790038379460586,0.5224481092009228,0.0798449516296386,LaBSE
sentence-transformers/LaBSE,9,0.9787692393038164,0.9160517774674756,0.5649100666341837,0.0902996659278869,LaBSE
sentence-transformers/LaBSE,10,0.9818649606987324,0.9343121721873636,0.5856027237605304,0.1028808951377868,LaBSE
sentence-transformers/LaBSE,11,0.9866048454738656,0.95992566430761,0.6106886176276021,0.0607584118843078,LaBSE
sentence-transformers/LaBSE,12,0.981195229027666,0.956210413290418,0.5922473012469709,0.1832662224769592,LaBSE
Qwen/Qwen3-Embedding-0.6B,1,0.9779731442877232,0.8577684855851347,0.5642468319856562,0.032669186592102,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,2,0.9725992920873454,0.8633010919083888,0.5527527658268809,0.0239444971084594,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,3,0.9802378040767694,0.8624137761241953,0.5556243328028359,0.0369998812675476,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,4,0.9855854136218224,0.8601710621613492,0.5466596759506501,0.0360112190246582,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,5,0.9811533760835528,0.860876276955906,0.544950742070796,0.0300270915031433,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,6,0.9828674269323748,0.8667113206253119,0.5452347037498839,0.0345253944396972,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,7,0.9798114809189796,0.8756396492960979,0.5440239684539847,0.0325039029121398,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,8,0.9722427009809368,0.8823641114533114,0.5324328638380393,0.0371453166007995,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,9,0.9767460910236988,0.8805952051811788,0.5316172309248941,0.033703863620758,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,10,0.9764427463152268,0.8866936513325755,0.5292853071805439,0.0310989618301391,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,11,0.9765289320223896,0.8945772837102837,0.5300599948568561,0.0301707983016967,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,12,0.9732112405488728,0.901498243520249,0.5300871892031864,0.0267403721809387,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,13,0.9739644358401408,0.9069107328995388,0.5234589127358049,0.0258728861808776,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,14,0.9739937891254862,0.9050135914190528,0.5185860456258524,0.0240241289138793,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,15,0.9710858140223017,0.90066023613581,0.5141841875883983,0.0223162770271301,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,16,0.9754652679713828,0.9101471297373432,0.5089684339764062,0.0261671543121337,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,17,0.9788107745568402,0.9156464493481646,0.5210977550887037,0.0321201086044311,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,18,0.9827782631569412,0.933482829313144,0.5373030730115715,0.0324695706367492,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,19,0.9799282929613936,0.9358559543254744,0.5409493747283705,0.0348482728004455,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,20,0.9816489056168204,0.942896930515318,0.558841998281423,0.0406078696250915,Qwen3-0.6B
