model,layer,aucroc__baseline,aucroc__sif_abtt_fixed,aucroc__sif_abtt_optimal,aucroc__sif_only,model_display
bowphs/LaTa,1,0.9326224358287252,0.9711959793316388,0.9740421120908191,0.944309279814776,LaTa
bowphs/LaTa,2,0.5645577593099911,0.9636592591256272,0.9697500992561752,0.936154639266361,LaTa
bowphs/LaTa,3,0.5148019356819986,0.966074250807614,0.964253108901206,0.9198156740369976,LaTa
bowphs/LaTa,4,0.5018671676506967,0.968869426492761,0.9675446410113284,0.8897009773510939,LaTa
bowphs/LaTa,5,0.4981521959458609,0.9692988734269596,0.9692988734269596,0.8780258527136806,LaTa
bowphs/LaTa,6,0.4973279610380078,0.9638175928141964,0.9638175928141964,0.8651188045247904,LaTa
bowphs/LaTa,7,0.4991755476008165,0.9651107573455636,0.9651107573455636,0.857987886511284,LaTa
bowphs/LaTa,8,0.5035157542249066,0.963701173139079,0.963701173139079,0.8423116127870433,LaTa
bowphs/LaTa,9,0.5041775345558239,0.9638537558989944,0.9638537558989944,0.8536421464498707,LaTa
bowphs/LaTa,10,0.5065003465438178,0.9652351784122593,0.9652351784122593,0.8586193073418525,LaTa
bowphs/LaTa,11,0.5098047335362611,0.965314803133029,0.965314803133029,0.8674063050782486,LaTa
bowphs/LaTa,12,0.9384694842035132,0.9627208595843462,0.9627208595843462,0.94788497922912,LaTa
bowphs/PhilTa,1,0.9388356113985789,0.973000035577003,0.973000035577003,0.9532147874324444,PhilTa
bowphs/PhilTa,2,0.910968117556674,0.9702106314249516,0.9702106314249516,0.9405873369404538,PhilTa
bowphs/PhilTa,3,0.6013418024610037,0.96647029565222,0.96647029565222,0.9291005781102716,PhilTa
bowphs/PhilTa,4,0.5510390224776602,0.96996094908821,0.96996094908821,0.9163968385277054,PhilTa
bowphs/PhilTa,5,0.5428718292454044,0.971294161786352,0.9757493961410444,0.904008234725435,PhilTa
bowphs/PhilTa,6,0.5412272994568531,0.9798456553313696,0.9798456553313696,0.8844840814890107,PhilTa
bowphs/PhilTa,7,0.5422760060221747,0.9801477278955434,0.9801477278955434,0.8914770321600081,PhilTa
bowphs/PhilTa,8,0.5427630606863542,0.9811404292985824,0.9811404292985824,0.8954573844968792,PhilTa
bowphs/PhilTa,9,0.5394841362052506,0.9767851310655412,0.9767851310655412,0.8818722647317294,PhilTa
bowphs/PhilTa,10,0.5387931273289028,0.9770332451753212,0.9770332451753212,0.8741274831614778,PhilTa
bowphs/PhilTa,11,0.5398170238568759,0.9783842005872632,0.9783842005872632,0.8723081979442171,PhilTa
bowphs/PhilTa,12,0.9111287909940824,0.9684957947021036,0.9684957947021036,0.9285268611637452,PhilTa
