model,layer,dir_acc_at_1__abtt_optimal,dir_acc_at_1__baseline,existing_acc__abtt_optimal,existing_acc__baseline,new_acc__abtt_optimal,new_acc__baseline,model_display
bowphs/LaTa,1,0.87995337995338,0.7214452214452215,0.9102803738317756,0.6299065420560748,0.9071207430340558,0.9164086687306502,LaTa
bowphs/LaTa,2,0.8694638694638694,0.3834498834498834,0.9046728971962616,0.1532710280373831,0.891640866873065,0.913312693498452,LaTa
bowphs/LaTa,3,0.8822843822843823,0.3496503496503496,0.8822429906542056,0.2560747663551402,0.9504643962848296,0.8421052631578947,LaTa
bowphs/LaTa,4,0.8811188811188811,0.303030303030303,0.8934579439252337,0.3887850467289719,0.9195046439628484,0.718266253869969,LaTa
bowphs/LaTa,5,0.8752913752913752,0.2972027972027972,0.891588785046729,0.3738317757009345,0.913312693498452,0.7151702786377709,LaTa
bowphs/LaTa,6,0.8741258741258742,0.2972027972027972,0.8841121495327103,0.3775700934579439,0.913312693498452,0.7120743034055728,LaTa
bowphs/LaTa,7,0.8682983682983683,0.3018648018648018,0.874766355140187,0.3719626168224299,0.9164086687306502,0.7151702786377709,LaTa
bowphs/LaTa,8,0.8613053613053613,0.3018648018648018,0.8841121495327103,0.3794392523364486,0.8854489164086687,0.7058823529411765,LaTa
bowphs/LaTa,9,0.8578088578088578,0.3088578088578088,0.8859813084112149,0.3663551401869159,0.8730650154798761,0.7244582043343654,LaTa
bowphs/LaTa,10,0.8519813519813519,0.317016317016317,0.8728971962616823,0.3439252336448598,0.8823529411764706,0.7523219814241486,LaTa
bowphs/LaTa,11,0.8566433566433567,0.331002331002331,0.8672897196261682,0.3102803738317757,0.9009287925696594,0.7863777089783281,LaTa
bowphs/LaTa,12,0.8414918414918415,0.6888111888111889,0.8897196261682243,0.5757009345794393,0.8328173374613003,0.9318885448916407,LaTa
bowphs/PhilTa,1,0.8834498834498834,0.6934731934731935,0.9177570093457944,0.5906542056074766,0.9009287925696594,0.9040247678018576,PhilTa
bowphs/PhilTa,2,0.8694638694638694,0.6025641025641025,0.8953271028037383,0.4785046728971963,0.8854489164086687,0.8668730650154799,PhilTa
bowphs/PhilTa,3,0.8648018648018648,0.3892773892773892,0.897196261682243,0.1925233644859813,0.8792569659442725,0.8885448916408669,PhilTa
bowphs/PhilTa,4,0.8589743589743589,0.3694638694638694,0.8859813084112149,0.1476635514018691,0.8730650154798761,0.9226006191950464,PhilTa
bowphs/PhilTa,5,0.8543123543123543,0.3344988344988345,0.8785046728971962,0.2523364485981308,0.8730650154798761,0.7956656346749226,PhilTa
bowphs/PhilTa,6,0.844988344988345,0.31002331002331,0.9046728971962616,0.3383177570093458,0.8173374613003096,0.6996904024767802,PhilTa
bowphs/PhilTa,7,0.8473193473193473,0.3251748251748251,0.9009345794392524,0.3009345794392523,0.8297213622291022,0.7461300309597523,PhilTa
bowphs/PhilTa,8,0.8566433566433567,0.3496503496503496,0.874766355140187,0.2616822429906542,0.8854489164086687,0.8080495356037152,PhilTa
bowphs/PhilTa,9,0.8566433566433567,0.3368298368298368,0.8897196261682243,0.302803738317757,0.8699690402476781,0.7616099071207431,PhilTa
bowphs/PhilTa,10,0.8333333333333334,0.3438228438228438,0.908411214953271,0.2990654205607476,0.7925696594427245,0.7801857585139319,PhilTa
bowphs/PhilTa,11,0.8286713286713286,0.3554778554778555,0.8691588785046729,0.2560747663551402,0.8359133126934984,0.8235294117647058,PhilTa
bowphs/PhilTa,12,0.8543123543123543,0.527972027972028,0.8803738317757009,0.3383177570093458,0.8761609907120743,0.8978328173374613,PhilTa
google/mt5-base,1,0.8846153846153846,0.451048951048951,0.8766355140186916,0.1345794392523364,0.9473684210526316,0.9814241486068112,mT5-base
google/mt5-base,2,0.8741258741258742,0.4347319347319347,0.8897196261682243,0.1102803738317757,0.9102167182662538,0.9752321981424148,mT5-base
google/mt5-base,3,0.8298368298368298,0.4452214452214452,0.794392523364486,0.1607476635514018,0.9411764705882352,0.9256965944272446,mT5-base
google/mt5-base,4,0.7983682983682984,0.4673659673659673,0.7869158878504673,0.2691588785046729,0.8823529411764706,0.8575851393188855,mT5-base
google/mt5-base,5,0.7564102564102564,0.351981351981352,0.7457943925233644,0.4224299065420561,0.8637770897832817,0.6594427244582043,mT5-base
google/mt5-base,6,0.7750582750582751,0.3461538461538461,0.7663551401869159,0.6355140186915887,0.8761609907120743,0.4891640866873065,mT5-base
google/mt5-base,7,0.7750582750582751,0.351981351981352,0.7925233644859813,0.594392523364486,0.8513931888544891,0.5170278637770898,mT5-base
google/mt5-base,8,0.7843822843822844,0.3659673659673659,0.8093457943925234,0.5570093457943925,0.8421052631578947,0.5603715170278638,mT5-base
google/mt5-base,9,0.7867132867132867,0.3939393939393939,0.8411214953271028,0.3644859813084112,0.8142414860681114,0.7461300309597523,mT5-base
google/mt5-base,10,0.7878787878787878,0.3869463869463869,0.794392523364486,0.314018691588785,0.8761609907120743,0.7832817337461301,mT5-base
google/mt5-base,11,0.7645687645687645,0.3776223776223776,0.7626168224299066,0.297196261682243,0.8544891640866873,0.7801857585139319,mT5-base
google/mt5-base,12,0.7785547785547785,0.4662004662004662,0.8336448598130841,0.1981308411214953,0.7987616099071208,0.9256965944272446,mT5-base
