model,layer,existing_acc__abtt_optimal,existing_acc__baseline,new_acc__abtt_optimal,new_acc__baseline,overall_assignment_acc__abtt_optimal,overall_assignment_acc__baseline,model_display
sentence-transformers/LaBSE,1,0.8785046728971962,0.222429906542056,0.8730650154798761,0.8978328173374613,0.8764568764568764,0.4766899766899767,LaBSE
sentence-transformers/LaBSE,2,0.874766355140187,0.3813084112149533,0.826625386996904,0.8111455108359134,0.8566433566433567,0.5431235431235432,LaBSE
sentence-transformers/LaBSE,3,0.8859813084112149,0.2766355140186916,0.8668730650154799,0.9071207430340558,0.8787878787878788,0.513986013986014,LaBSE
sentence-transformers/LaBSE,4,0.897196261682243,0.3719626168224299,0.8359133126934984,0.8854489164086687,0.8741258741258742,0.5652680652680653,LaBSE
sentence-transformers/LaBSE,5,0.8448598130841122,0.3271028037383177,0.8513931888544891,0.9009287925696594,0.8473193473193473,0.5431235431235432,LaBSE
sentence-transformers/LaBSE,6,0.8598130841121495,0.5476635514018692,0.8513931888544891,0.8823529411764706,0.8566433566433567,0.6736596736596736,LaBSE
sentence-transformers/LaBSE,7,0.8485981308411215,0.3981308411214953,0.8297213622291022,0.891640866873065,0.8414918414918415,0.583916083916084,LaBSE
sentence-transformers/LaBSE,8,0.8691588785046729,0.3850467289719626,0.7430340557275542,0.8699690402476781,0.8216783216783217,0.5675990675990676,LaBSE
sentence-transformers/LaBSE,9,0.8710280373831776,0.4205607476635514,0.8173374613003096,0.9287925696594428,0.8508158508158508,0.6118881118881119,LaBSE
sentence-transformers/LaBSE,10,0.891588785046729,0.6056074766355141,0.804953560371517,0.891640866873065,0.8589743589743589,0.7132867132867133,LaBSE
sentence-transformers/LaBSE,11,0.9233644859813084,0.7850467289719626,0.8823529411764706,0.913312693498452,0.907925407925408,0.8333333333333334,LaBSE
sentence-transformers/LaBSE,12,0.914018691588785,0.7289719626168224,0.8637770897832817,0.9380804953560372,0.8951048951048951,0.8076923076923077,LaBSE
Qwen/Qwen3-Embedding-0.6B,1,0.9214953271028036,0.2635514018691589,0.8854489164086687,0.959752321981424,0.907925407925408,0.5256410256410257,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,2,0.8691588785046729,0.4373831775700935,0.9164086687306502,0.8142414860681114,0.8869463869463869,0.5792540792540792,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,3,0.914018691588785,0.2504672897196262,0.9071207430340558,0.9473684210526316,0.9114219114219114,0.5128205128205128,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,4,0.9364485981308412,0.411214953271028,0.8421052631578947,0.848297213622291,0.9009324009324008,0.5757575757575758,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,5,0.9102803738317756,0.1813084112149532,0.9226006191950464,0.9318885448916407,0.914918414918415,0.4638694638694638,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,6,0.9345794392523364,0.4224299065420561,0.7956656346749226,0.8297213622291022,0.8822843822843823,0.5757575757575758,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,7,0.8897196261682243,0.2504672897196262,0.8761609907120743,0.9473684210526316,0.8846153846153846,0.5128205128205128,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,8,0.930841121495327,0.4093457943925234,0.7987616099071208,0.8947368421052632,0.8811188811188811,0.5920745920745921,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,9,0.9009345794392524,0.4598130841121495,0.8513931888544891,0.8513931888544891,0.8822843822843823,0.6072261072261073,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,10,0.891588785046729,0.5327102803738317,0.8637770897832817,0.8359133126934984,0.8811188811188811,0.6468531468531469,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,11,0.8953271028037383,0.2934579439252336,0.8142414860681114,0.978328173374613,0.8648018648018648,0.5512820512820513,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,12,0.9121495327102804,0.4074766355140187,0.8173374613003096,0.9380804953560372,0.8764568764568764,0.6072261072261073,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,13,0.908411214953271,0.4317757009345794,0.8359133126934984,0.9442724458204336,0.8811188811188811,0.6247086247086248,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,14,0.9065420560747663,0.4560747663551401,0.8111455108359134,0.9256965944272446,0.8706293706293706,0.6328671328671329,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,15,0.9009345794392524,0.4691588785046729,0.8452012383900929,0.9195046439628484,0.87995337995338,0.6386946386946387,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,16,0.897196261682243,0.6392523364485981,0.8080495356037152,0.8297213622291022,0.8636363636363636,0.710955710955711,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,17,0.8859813084112149,0.4803738317757009,0.8513931888544891,0.934984520123839,0.872960372960373,0.6515151515151515,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,18,0.8822429906542056,0.5532710280373832,0.8390092879256966,0.9442724458204336,0.865967365967366,0.7004662004662005,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,19,0.8710280373831776,0.514018691588785,0.8575851393188855,0.9659442724458204,0.865967365967366,0.6841491841491841,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,20,0.8654205607476636,0.6542056074766355,0.891640866873065,0.8978328173374613,0.8752913752913752,0.745920745920746,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,21,0.9121495327102804,0.6467289719626168,0.8978328173374613,0.9504643962848296,0.9067599067599068,0.7610722610722611,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,22,0.8878504672897196,0.7308411214953271,0.9164086687306502,0.9380804953560372,0.8986013986013986,0.8088578088578089,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,23,0.914018691588785,0.6224299065420561,0.8947368421052632,0.9659442724458204,0.9067599067599068,0.7517482517482518,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,24,0.9009345794392524,0.7476635514018691,0.934984520123839,0.934984520123839,0.9137529137529138,0.8181818181818182,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,25,0.8934579439252337,0.5738317757009346,0.9226006191950464,0.9752321981424148,0.9044289044289044,0.7249417249417249,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,26,0.8990654205607477,0.6130841121495327,0.8947368421052632,0.9752321981424148,0.8974358974358975,0.7494172494172494,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,27,0.8766355140186916,0.7925233644859813,0.9226006191950464,0.8328173374613003,0.8939393939393939,0.8076923076923077,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,28,0.8766355140186916,0.7962616822429907,0.913312693498452,0.8668730650154799,0.8904428904428905,0.8228438228438228,Qwen3-0.6B
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,0.9214953271028036,0.3906542056074766,0.9195046439628484,0.9071207430340558,0.9207459207459208,0.585081585081585,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,2,0.9158878504672896,0.4934579439252336,0.8792569659442725,0.848297213622291,0.902097902097902,0.627039627039627,KaLM-mini
