model,layer,overall_assignment_acc__baseline,overall_assignment_acc__sif_abtt_fixed,overall_assignment_acc__sif_abtt_optimal,overall_assignment_acc__sif_only,model_display
bowphs/LaTa,1,0.7377622377622378,0.9195804195804196,0.8986013986013986,0.8321678321678322,LaTa
bowphs/LaTa,2,0.4393939393939394,0.9044289044289044,0.8997668997668997,0.7913752913752914,LaTa
bowphs/LaTa,3,0.4766899766899767,0.9102564102564102,0.9067599067599068,0.7202797202797203,LaTa
bowphs/LaTa,4,0.5128205128205128,0.8997668997668997,0.902097902097902,0.6678321678321678,LaTa
bowphs/LaTa,5,0.5023310023310024,0.9055944055944056,0.9055944055944056,0.6480186480186481,LaTa
bowphs/LaTa,6,0.5034965034965035,0.8951048951048951,0.8951048951048951,0.6678321678321678,LaTa
bowphs/LaTa,7,0.5011655011655012,0.9032634032634032,0.9032634032634032,0.6421911421911422,LaTa
bowphs/LaTa,8,0.5023310023310024,0.8916083916083916,0.8916083916083916,0.6142191142191142,LaTa
bowphs/LaTa,9,0.5011655011655012,0.8892773892773893,0.8892773892773893,0.6177156177156177,LaTa
bowphs/LaTa,10,0.4976689976689977,0.8904428904428905,0.8904428904428905,0.655011655011655,LaTa
bowphs/LaTa,11,0.4895104895104895,0.87995337995338,0.87995337995338,0.6212121212121212,LaTa
bowphs/LaTa,12,0.7097902097902098,0.902097902097902,0.902097902097902,0.8041958041958042,LaTa
bowphs/PhilTa,1,0.7086247086247086,0.9137529137529138,0.9137529137529138,0.7902097902097902,PhilTa
bowphs/PhilTa,2,0.6247086247086248,0.8916083916083916,0.8916083916083916,0.7377622377622378,PhilTa
bowphs/PhilTa,3,0.4545454545454545,0.8916083916083916,0.8916083916083916,0.7132867132867133,PhilTa
bowphs/PhilTa,4,0.4393939393939394,0.8857808857808858,0.8857808857808858,0.6631701631701632,PhilTa
bowphs/PhilTa,5,0.4568764568764569,0.8986013986013986,0.8986013986013986,0.6258741258741258,PhilTa
bowphs/PhilTa,6,0.4743589743589743,0.9055944055944056,0.9055944055944056,0.6118881118881119,PhilTa
bowphs/PhilTa,7,0.4685314685314685,0.9055944055944056,0.9055944055944056,0.6247086247086248,PhilTa
