model,layer,existing_acc__abtt_optimal,existing_acc__baseline,new_acc__abtt_optimal,new_acc__baseline,overall_assignment_acc__abtt_optimal,overall_assignment_acc__baseline,model_display
bowphs/LaTa,1,0.9102803738317756,0.6299065420560748,0.9071207430340558,0.9164086687306502,0.9090909090909092,0.7377622377622378,LaTa
bowphs/LaTa,2,0.9046728971962616,0.1532710280373831,0.891640866873065,0.913312693498452,0.8997668997668997,0.4393939393939394,LaTa
bowphs/LaTa,3,0.8822429906542056,0.2560747663551402,0.9504643962848296,0.8421052631578947,0.907925407925408,0.4766899766899767,LaTa
bowphs/LaTa,4,0.8934579439252337,0.3887850467289719,0.9195046439628484,0.718266253869969,0.9032634032634032,0.5128205128205128,LaTa
bowphs/LaTa,5,0.891588785046729,0.3738317757009345,0.913312693498452,0.7151702786377709,0.8997668997668997,0.5023310023310024,LaTa
bowphs/LaTa,6,0.8841121495327103,0.3775700934579439,0.913312693498452,0.7120743034055728,0.8951048951048951,0.5034965034965035,LaTa
bowphs/LaTa,7,0.874766355140187,0.3719626168224299,0.9164086687306502,0.7151702786377709,0.8904428904428905,0.5011655011655012,LaTa
bowphs/LaTa,8,0.8841121495327103,0.3794392523364486,0.8854489164086687,0.7058823529411765,0.8846153846153846,0.5023310023310024,LaTa
bowphs/LaTa,9,0.8859813084112149,0.3663551401869159,0.8730650154798761,0.7244582043343654,0.8811188811188811,0.5011655011655012,LaTa
bowphs/LaTa,10,0.8728971962616823,0.3439252336448598,0.8823529411764706,0.7523219814241486,0.8764568764568764,0.4976689976689977,LaTa
bowphs/LaTa,11,0.8672897196261682,0.3102803738317757,0.9009287925696594,0.7863777089783281,0.87995337995338,0.4895104895104895,LaTa
bowphs/LaTa,12,0.8897196261682243,0.5757009345794393,0.8328173374613003,0.9318885448916407,0.8682983682983683,0.7097902097902098,LaTa
bowphs/PhilTa,1,0.9177570093457944,0.5906542056074766,0.9009287925696594,0.9040247678018576,0.9114219114219114,0.7086247086247086,PhilTa
bowphs/PhilTa,2,0.8953271028037383,0.4785046728971963,0.8854489164086687,0.8668730650154799,0.8916083916083916,0.6247086247086248,PhilTa
bowphs/PhilTa,3,0.897196261682243,0.1925233644859813,0.8792569659442725,0.8885448916408669,0.8904428904428905,0.4545454545454545,PhilTa
bowphs/PhilTa,4,0.8859813084112149,0.1476635514018691,0.8730650154798761,0.9226006191950464,0.8811188811188811,0.4393939393939394,PhilTa
bowphs/PhilTa,5,0.8785046728971962,0.2523364485981308,0.8730650154798761,0.7956656346749226,0.8764568764568764,0.4568764568764569,PhilTa
bowphs/PhilTa,6,0.9046728971962616,0.3383177570093458,0.8173374613003096,0.6996904024767802,0.8717948717948718,0.4743589743589743,PhilTa
bowphs/PhilTa,7,0.9009345794392524,0.3009345794392523,0.8297213622291022,0.7461300309597523,0.8741258741258742,0.4685314685314685,PhilTa
bowphs/PhilTa,8,0.874766355140187,0.2616822429906542,0.8854489164086687,0.8080495356037152,0.8787878787878788,0.4673659673659673,PhilTa
bowphs/PhilTa,9,0.8897196261682243,0.302803738317757,0.8699690402476781,0.7616099071207431,0.8822843822843823,0.4755244755244755,PhilTa
bowphs/PhilTa,10,0.908411214953271,0.2990654205607476,0.7925696594427245,0.7801857585139319,0.8648018648018648,0.4801864801864802,PhilTa
bowphs/PhilTa,11,0.8691588785046729,0.2560747663551402,0.8359133126934984,0.8235294117647058,0.8566433566433567,0.4696969696969697,PhilTa
bowphs/PhilTa,12,0.8803738317757009,0.3383177570093458,0.8761609907120743,0.8978328173374613,0.8787878787878788,0.548951048951049,PhilTa
google/mt5-base,1,0.8766355140186916,0.1345794392523364,0.9473684210526316,0.9814241486068112,0.9032634032634032,0.4533799533799534,mT5-base
google/mt5-base,2,0.8897196261682243,0.1102803738317757,0.9102167182662538,0.9752321981424148,0.8974358974358975,0.4358974358974359,mT5-base
google/mt5-base,3,0.794392523364486,0.1607476635514018,0.9411764705882352,0.9256965944272446,0.8496503496503497,0.4487179487179487,mT5-base
google/mt5-base,4,0.7869158878504673,0.2691588785046729,0.8823529411764706,0.8575851393188855,0.8228438228438228,0.4906759906759906,mT5-base
google/mt5-base,5,0.7457943925233644,0.4224299065420561,0.8637770897832817,0.6594427244582043,0.7902097902097902,0.5116550116550117,mT5-base
google/mt5-base,6,0.7663551401869159,0.6355140186915887,0.8761609907120743,0.4891640866873065,0.8076923076923077,0.5804195804195804,mT5-base
google/mt5-base,7,0.7925233644859813,0.594392523364486,0.8513931888544891,0.5170278637770898,0.8146853146853147,0.5652680652680653,mT5-base
google/mt5-base,8,0.8093457943925234,0.5570093457943925,0.8421052631578947,0.5603715170278638,0.8216783216783217,0.5582750582750583,mT5-base
google/mt5-base,9,0.8411214953271028,0.3644859813084112,0.8142414860681114,0.7461300309597523,0.831002331002331,0.5081585081585082,mT5-base
google/mt5-base,10,0.794392523364486,0.314018691588785,0.8761609907120743,0.7832817337461301,0.8251748251748252,0.4906759906759906,mT5-base
google/mt5-base,11,0.7626168224299066,0.297196261682243,0.8544891640866873,0.7801857585139319,0.7972027972027972,0.479020979020979,mT5-base
google/mt5-base,12,0.8336448598130841,0.1981308411214953,0.7987616099071208,0.9256965944272446,0.8205128205128205,0.472027972027972,mT5-base
