model,language,resource_level,method,layer,mean_residual,std_residual,frac_overestimated,n_pairs
Qwen/Qwen3-Embedding-8B,english,high,baseline_mean,35,0.45033225417137146,0.290092408657074,0.9478114478114478,3564
Qwen/Qwen3-Embedding-8B,english,high,sif_abtt_optimal,31,0.036888353526592255,0.18739600479602814,0.5589225589225589,3564
Qwen/Qwen3-Embedding-8B,english,high,whitening,36,-0.16836531460285187,0.2253689169883728,0.21885521885521886,3564
Qwen/Qwen3-Embedding-8B,french,high,baseline_mean,35,0.5496985912322998,0.31068921089172363,0.9900990099009901,505
Qwen/Qwen3-Embedding-8B,french,high,sif_abtt_optimal,24,-0.004411052446812391,0.15636663138866425,0.48316831683168315,505
Qwen/Qwen3-Embedding-8B,french,high,whitening,0,-0.18559874594211578,0.2274830937385559,0.15643564356435644,505
Qwen/Qwen3-Embedding-8B,spanish,high,baseline_mean,36,0.3531184792518616,0.2070782631635666,0.960427807486631,935
Qwen/Qwen3-Embedding-8B,spanish,high,sif_abtt_optimal,27,0.008501914329826832,0.15006056427955627,0.5005347593582887,935
Qwen/Qwen3-Embedding-8B,spanish,high,whitening,6,-0.2702009975910187,0.27958840131759644,0.1657754010695187,935
Qwen/Qwen3-Embedding-8B,sinhala,low,baseline_mean,30,0.4018213450908661,0.26804178953170776,0.978021978021978,2548
Qwen/Qwen3-Embedding-8B,sinhala,low,sif_abtt_optimal,32,-0.4248978793621063,0.2537505626678467,0.058084772370486655,2548
Qwen/Qwen3-Embedding-8B,sinhala,low,whitening,0,-0.4036870002746582,0.2563488781452179,0.08594976452119309,2548
Qwen/Qwen3-Embedding-8B,tamil,low,baseline_mean,31,0.43742403388023376,0.30346429347991943,0.8692307692307693,1300
Qwen/Qwen3-Embedding-8B,tamil,low,sif_abtt_optimal,30,-0.1995433121919632,0.2893570065498352,0.25153846153846154,1300
Qwen/Qwen3-Embedding-8B,tamil,low,whitening,0,-0.3318798243999481,0.30375412106513977,0.15846153846153846,1300
Qwen/Qwen3-Embedding-8B,serbian,low,baseline_mean,29,0.4720797836780548,0.24257662892341614,0.9781879194630873,596
Qwen/Qwen3-Embedding-8B,serbian,low,sif_abtt_optimal,24,0.036337096244096756,0.1690051108598709,0.5671140939597316,596
Qwen/Qwen3-Embedding-8B,serbian,low,whitening,24,-0.23437771201133728,0.9266933798789978,0.610738255033557,596
Qwen/Qwen3-Embedding-8B,english,high,baseline_mean,35,0.45033225417137146,0.290092408657074,0.9478114478114478,3564
Qwen/Qwen3-Embedding-8B,english,high,sif_abtt_optimal,31,0.036888353526592255,0.18739600479602814,0.5589225589225589,3564
Qwen/Qwen3-Embedding-8B,english,high,whitening,36,-0.16836531460285187,0.2253689169883728,0.21885521885521886,3564
Qwen/Qwen3-Embedding-8B,french,high,baseline_mean,35,0.5496985912322998,0.31068921089172363,0.9900990099009901,505
Qwen/Qwen3-Embedding-8B,french,high,sif_abtt_optimal,24,-0.004411052446812391,0.15636663138866425,0.48316831683168315,505
Qwen/Qwen3-Embedding-8B,french,high,whitening,0,-0.18559874594211578,0.2274830937385559,0.15643564356435644,505
Qwen/Qwen3-Embedding-8B,spanish,high,baseline_mean,36,0.3531184792518616,0.2070782631635666,0.960427807486631,935
Qwen/Qwen3-Embedding-8B,spanish,high,sif_abtt_optimal,27,0.008501914329826832,0.15006056427955627,0.5005347593582887,935
Qwen/Qwen3-Embedding-8B,spanish,high,whitening,6,-0.2702009975910187,0.27958840131759644,0.1657754010695187,935
Qwen/Qwen3-Embedding-8B,sinhala,low,baseline_mean,30,0.4018213450908661,0.26804178953170776,0.978021978021978,2548
Qwen/Qwen3-Embedding-8B,sinhala,low,sif_abtt_optimal,32,-0.4248978793621063,0.2537505626678467,0.058084772370486655,2548
Qwen/Qwen3-Embedding-8B,sinhala,low,whitening,0,-0.4036870002746582,0.2563488781452179,0.08594976452119309,2548
Qwen/Qwen3-Embedding-8B,tamil,low,baseline_mean,31,0.43742403388023376,0.30346429347991943,0.8692307692307693,1300
Qwen/Qwen3-Embedding-8B,tamil,low,sif_abtt_optimal,30,-0.1995433121919632,0.2893570065498352,0.25153846153846154,1300
Qwen/Qwen3-Embedding-8B,tamil,low,whitening,0,-0.3318798243999481,0.30375412106513977,0.15846153846153846,1300
Qwen/Qwen3-Embedding-8B,serbian,low,baseline_mean,29,0.4720797836780548,0.24257662892341614,0.9781879194630873,596
Qwen/Qwen3-Embedding-8B,serbian,low,sif_abtt_optimal,24,0.036337096244096756,0.1690051108598709,0.5671140939597316,596
Qwen/Qwen3-Embedding-8B,serbian,low,whitening,24,-0.23437771201133728,0.9266933798789978,0.610738255033557,596
tencent/KaLM-Embedding-Gemma3-12B-2511,english,high,baseline_mean,0,0.27909478545188904,0.26640111207962036,0.8375420875420876,3564
tencent/KaLM-Embedding-Gemma3-12B-2511,english,high,sif_abtt_optimal,6,0.0005351451109163463,0.20987895131111145,0.4884960718294052,3564
tencent/KaLM-Embedding-Gemma3-12B-2511,english,high,whitening,6,-0.17485462129116058,0.24657972157001495,0.2309203142536476,3564
