model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,english,0,baseline_mean,0,none,0.001,0.3958231726190582,0.4165061211599288,3564,3564
Qwen/Qwen3-Embedding-8B,english,0,sif_abtt_optimal,2,train_sweep,0.001,0.626426509153612,0.6257650755771594,3564,3564
Qwen/Qwen3-Embedding-8B,english,0,whitening,0,none,0.001,0.5548645347562422,0.5649142821139884,3564,3564
Qwen/Qwen3-Embedding-8B,english,1,baseline_mean,0,none,0.001,0.38348355478945245,0.4300026411874272,3564,3564
Qwen/Qwen3-Embedding-8B,english,1,sif_abtt_optimal,10,train_sweep,0.001,0.6263454606862909,0.6351162004609554,3564,3564
Qwen/Qwen3-Embedding-8B,english,1,whitening,0,none,0.001,0.5759655986709713,0.5875615486688234,3564,3564
Qwen/Qwen3-Embedding-8B,english,2,baseline_mean,0,none,0.001,0.3172024464005584,0.3615507241756413,3564,3564
Qwen/Qwen3-Embedding-8B,english,2,sif_abtt_optimal,10,train_sweep,0.001,0.6271784403608238,0.6463538633957412,3564,3564
Qwen/Qwen3-Embedding-8B,english,2,whitening,0,none,0.001,0.5835654761973772,0.5957481459455102,3564,3564
Qwen/Qwen3-Embedding-8B,english,3,baseline_mean,0,none,0.001,0.29093481222216605,0.32689793170680803,3564,3564
Qwen/Qwen3-Embedding-8B,english,3,sif_abtt_optimal,10,train_sweep,0.001,0.6344479368455026,0.6532744595267247,3564,3564
Qwen/Qwen3-Embedding-8B,english,3,whitening,0,none,0.001,0.5901050035637375,0.6039198348027662,3564,3564
Qwen/Qwen3-Embedding-8B,english,4,baseline_mean,0,none,0.001,0.3193324776988288,0.35280274483351015,3564,3564
Qwen/Qwen3-Embedding-8B,english,4,sif_abtt_optimal,10,train_sweep,0.001,0.6505716737468179,0.6641571994332683,3564,3564
Qwen/Qwen3-Embedding-8B,english,4,whitening,0,none,0.001,0.5980724908667752,0.6107392275799141,3564,3564
Qwen/Qwen3-Embedding-8B,english,5,baseline_mean,0,none,0.001,0.35250871041993304,0.39008069365230696,3564,3564
Qwen/Qwen3-Embedding-8B,english,5,sif_abtt_optimal,10,train_sweep,0.001,0.6648650141246114,0.680046986328929,3564,3564
Qwen/Qwen3-Embedding-8B,english,5,whitening,0,none,0.001,0.6083480911486467,0.6251406998936571,3564,3564
Qwen/Qwen3-Embedding-8B,english,6,baseline_mean,0,none,0.001,0.39830908637501294,0.44464278262146717,3564,3564
Qwen/Qwen3-Embedding-8B,english,6,sif_abtt_optimal,10,train_sweep,0.001,0.6705953721301023,0.6850622270661173,3564,3564
Qwen/Qwen3-Embedding-8B,english,6,whitening,0,none,0.001,0.6152935193371426,0.6321260117842614,3564,3564
Qwen/Qwen3-Embedding-8B,english,7,baseline_mean,0,none,0.001,0.11417114717050394,0.15323716542511281,3564,3564
Qwen/Qwen3-Embedding-8B,english,7,sif_abtt_optimal,10,train_sweep,0.001,0.5846828951023032,0.624180009236589,3564,3564
Qwen/Qwen3-Embedding-8B,english,7,whitening,0,none,0.001,0.6178316337367972,0.6316218775533571,3564,3564
Qwen/Qwen3-Embedding-8B,english,8,baseline_mean,0,none,0.001,0.11989686912262663,0.15809222056785202,3564,3564
Qwen/Qwen3-Embedding-8B,english,8,sif_abtt_optimal,10,train_sweep,0.001,0.5982289133994223,0.6352826598121106,3564,3564
Qwen/Qwen3-Embedding-8B,english,8,whitening,0,none,0.001,0.6185464034297229,0.6318766923214023,3564,3564
Qwen/Qwen3-Embedding-8B,english,9,baseline_mean,0,none,0.001,0.17407018905772945,0.20464016763951018,3564,3564
Qwen/Qwen3-Embedding-8B,english,9,sif_abtt_optimal,10,train_sweep,0.001,0.6240583509885514,0.6600932826156863,3564,3564
Qwen/Qwen3-Embedding-8B,english,9,whitening,0,none,0.001,0.6282361224819581,0.6361189554457988,3564,3564
Qwen/Qwen3-Embedding-8B,english,10,baseline_mean,0,none,0.001,0.18376896107894997,0.2130152735017144,3564,3564
Qwen/Qwen3-Embedding-8B,english,10,sif_abtt_optimal,10,train_sweep,0.001,0.6254740987287587,0.6622074767367093,3564,3564
Qwen/Qwen3-Embedding-8B,english,10,whitening,0,none,0.001,0.6348289449828501,0.6439719920748285,3564,3564
Qwen/Qwen3-Embedding-8B,english,11,baseline_mean,0,none,0.001,0.19365540176397103,0.22252806065953193,3564,3564
Qwen/Qwen3-Embedding-8B,english,11,sif_abtt_optimal,10,train_sweep,0.001,0.6330905020576212,0.6695123877342678,3564,3564
Qwen/Qwen3-Embedding-8B,english,11,whitening,0,none,0.001,0.6405169248963276,0.650408146034608,3564,3564
Qwen/Qwen3-Embedding-8B,english,12,baseline_mean,0,none,0.001,0.19925515229716612,0.22693867210562052,3564,3564
Qwen/Qwen3-Embedding-8B,english,12,sif_abtt_optimal,10,train_sweep,0.001,0.6396457391101787,0.6745420229080832,3564,3564
Qwen/Qwen3-Embedding-8B,english,12,whitening,0,none,0.001,0.6483671203727608,0.6569390566704854,3564,3564
Qwen/Qwen3-Embedding-8B,english,13,baseline_mean,0,none,0.001,0.20147067093333407,0.22929435534864664,3564,3564
Qwen/Qwen3-Embedding-8B,english,13,sif_abtt_optimal,10,train_sweep,0.001,0.6399745465339861,0.6768950335350895,3564,3564
Qwen/Qwen3-Embedding-8B,english,13,whitening,0,none,0.001,0.6529548283535789,0.6580978809754308,3564,3564
Qwen/Qwen3-Embedding-8B,english,14,baseline_mean,0,none,0.001,0.1954993688647655,0.22296938239539796,3564,3564
Qwen/Qwen3-Embedding-8B,english,14,sif_abtt_optimal,10,train_sweep,0.001,0.6417169445398077,0.6784070726596791,3564,3564
Qwen/Qwen3-Embedding-8B,english,14,whitening,0,none,0.001,0.6535789630583612,0.6602617505725973,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,baseline_mean,0,none,0.001,0.18921823224060338,0.21585279551662137,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,sif_abtt_optimal,10,train_sweep,0.001,0.6394138803905427,0.6775728328964388,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,whitening,0,none,0.001,0.6532409613362015,0.6616328550814901,3564,3564
Qwen/Qwen3-Embedding-8B,english,16,baseline_mean,0,none,0.001,0.17858756442367343,0.20495105441908518,3564,3564
Qwen/Qwen3-Embedding-8B,english,16,sif_abtt_optimal,10,train_sweep,0.001,0.6379838884292963,0.6753079942386022,3564,3564
