model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,mean,1,baseline,10,0.001,0.9447236180904522,0.8671459534321055,0.041949178954604656,0.8512058854103088,0.6431891322135925,0.2080167531967163,0.5665101721439749,0.838810641627543,0.3,0.9090909090909091,0.6040688575899843,0.8514377088946483,0.47417840375586856,639,639,320,319
bowphs/LaTa,hidden,mean,1,abtt_fixed,10,0.001,0.4271356783919598,0.9508458187829956,0.05151251636100801,0.5577273964881897,0.0010733436793088913,0.5566540528088808,0.8043818466353677,0.9436619718309859,0.86875,0.7931034482758621,0.8309859154929577,0.987629996705649,0.8294209702660407,639,639,320,319
bowphs/LaTa,hidden,mean,1,abtt_optimal,3,0.001,0.507537688442211,0.9683443075034723,0.053511849944581226,0.6033146381378174,0.0027834938373416662,0.6005311443004757,0.8200312989045383,0.9264475743348983,0.871875,0.8275862068965517,0.8497652582159625,0.991319821697488,0.812206572769953,639,639,320,319
bowphs/LaTa,hidden,mean,1,whitening,10,0.001,0.0,0.5359997224103716,0.0041132415889650175,0.04654180631041527,-0.0012439934071153402,0.04778579971753061,0.081377151799687,0.09233176838810642,1.0,0.0,0.5007824726134585,0.498609237966,0.009389671361502348,639,639,320,319
bowphs/LaTa,hidden,mean,2,baseline,10,0.001,0.9949748743718593,0.5712065180557806,0.008135878771747948,0.9032986164093018,0.8633027076721191,0.03999590873718262,0.48043818466353677,0.596244131455399,0.184375,0.9090909090909091,0.5461658841940532,0.5294795821279241,0.27073552425665104,639,639,320,319
bowphs/LaTa,hidden,mean,2,abtt_fixed,10,0.001,0.4623115577889447,0.9581557084908934,0.05234772608789819,0.5542088150978088,0.001090562785975635,0.5531182523118332,0.8137715179968701,0.9374021909233177,0.853125,0.8244514106583072,0.838810641627543,0.985116980542606,0.7934272300469484,639,639,320,319
bowphs/LaTa,hidden,mean,2,abtt_optimal,5,0.001,0.5175879396984925,0.9632743258485453,0.05293256651315323,0.5844963788986206,0.0018514692783355713,0.582644909620285,0.7949921752738655,0.917057902973396,0.853125,0.7962382445141066,0.8247261345852895,0.990939199480788,0.7762128325508607,639,639,320,319
bowphs/LaTa,hidden,mean,2,whitening,10,0.001,0.0,0.5330204012448794,0.0037728285175631362,0.06756778061389923,-0.0016206040745601058,0.06918838468845934,0.07511737089201878,0.09233176838810642,1.0,0.0,0.5007824726134585,0.5050477114438733,0.0,639,639,320,319
bowphs/LaTa,hidden,mean,3,baseline,10,0.001,0.8492462311557789,0.480323456956286,-0.0022481926265249695,0.9493315815925598,0.9162795543670654,0.033052027225494385,0.04225352112676056,0.06103286384976526,0.99375,0.01567398119122257,0.5054773082942097,0.4768200839768201,0.06416275430359937,639,639,320,319
bowphs/LaTa,hidden,mean,3,abtt_fixed,10,0.001,0.48743718592964824,0.9576650597527824,0.05229166578946215,0.5548163056373596,0.001215852447785437,0.5536004531895742,0.8169014084507042,0.9327073552425665,0.840625,0.8432601880877743,0.8419405320813772,0.9837972714429788,0.7981220657276995,639,639,320,319
bowphs/LaTa,hidden,mean,3,abtt_optimal,5,0.001,0.5326633165829145,0.9583341463249527,0.05236811394881055,0.5765103697776794,0.001707854913547635,0.5748025148641318,0.8012519561815337,0.9233176838810642,0.825,0.8369905956112853,0.8309859154929577,0.989078013255186,0.7574334898278561,639,639,320,319
bowphs/LaTa,hidden,mean,3,whitening,10,0.001,0.0,0.5731484729760923,0.008357761687268903,0.14690597355365753,0.012092884629964828,0.1348130889236927,0.08607198748043818,0.10172143974960876,1.0,0.0,0.5007824726134585,0.49601284412318264,0.004694835680751174,639,639,320,319
bowphs/LaTa,hidden,mean,4,baseline,10,0.001,0.8442211055276382,0.46779672722978605,-0.0036794654544406655,0.9336580634117126,0.9046412706375122,0.02901679277420044,0.03755868544600939,0.051643192488262914,1.0,0.01567398119122257,0.5086071987480438,0.46889349967023103,0.03912363067292645,639,639,320,319
bowphs/LaTa,hidden,mean,4,abtt_fixed,10,0.001,0.47738693467336685,0.9568913571978119,0.05220326446940768,0.5671675205230713,0.001372260507196188,0.5657952600158751,0.8200312989045383,0.9295774647887324,0.865625,0.8244514106583072,0.8450704225352113,0.9861017973542909,0.812206572769953,639,639,320,319
bowphs/LaTa,hidden,mean,4,abtt_optimal,5,0.001,0.577889447236181,0.9663839137120118,0.053287860249990805,0.5975374579429626,0.0025878427550196648,0.594949615187943,0.810641627543036,0.9358372456964006,0.815625,0.8683385579937304,0.8419405320813772,0.9900435168857301,0.7715179968701096,639,639,320,319
bowphs/LaTa,hidden,mean,4,whitening,10,0.001,0.0,0.540605635175641,0.004639498381203616,0.015616409480571747,-0.0014032396720722318,0.01701964915264398,0.07668231611893583,0.08607198748043818,1.0,0.0,0.5007824726134585,0.5441601902365036,0.19561815336463223,639,639,320,319
bowphs/LaTa,hidden,mean,5,baseline,10,0.001,0.8190954773869347,0.46759810286912373,-0.0037021597774242938,0.9325103759765625,0.9031919836997986,0.029318392276763916,0.026604068857589983,0.046948356807511735,1.0,0.009404388714733543,0.5054773082942097,0.4688461579111545,0.03442879499217527,639,639,320,319
bowphs/LaTa,hidden,mean,5,abtt_fixed,10,0.001,0.4824120603015075,0.9575377021268612,0.052277114225456264,0.5762835144996643,0.001326669822447002,0.5749568446772173,0.8278560250391236,0.9327073552425665,0.86875,0.8338557993730408,0.8513302034428795,0.98690427010463,0.8200312989045383,639,639,320,319
bowphs/LaTa,hidden,mean,5,abtt_optimal,5,0.001,0.577889447236181,0.96227543014557,0.052818435186880335,0.5970134139060974,0.0021026162430644035,0.594910797663033,0.8215962441314554,0.945226917057903,0.803125,0.896551724137931,0.8497652582159625,0.9893071522046073,0.7699530516431925,639,639,320,319
bowphs/LaTa,hidden,mean,5,whitening,10,0.001,0.0,0.5849242860351843,0.00970323665363857,0.17049430310726166,-0.00020681590831372887,0.1707011190155754,0.06103286384976526,0.081377151799687,1.0,0.0,0.5007824726134585,0.4708262108662278,0.001564945226917058,639,639,320,319
bowphs/LaTa,hidden,mean,6,baseline,10,0.001,0.8190954773869347,0.46567165562568735,-0.003922270824294118,0.9324175715446472,0.9035477042198181,0.0288698673248291,0.017214397496087636,0.03599374021909233,1.0,0.003134796238244514,0.5023474178403756,0.4685330080629048,0.028169014084507043,639,639,320,319
bowphs/LaTa,hidden,mean,6,abtt_fixed,10,0.001,0.49246231155778897,0.9578899100063627,0.05231735661742137,0.5709931254386902,0.0010779674630612135,0.569915157975629,0.838810641627543,0.9499217527386542,0.88125,0.8495297805642633,0.865414710485133,0.9864034974507407,0.8262910798122066,639,639,320,319
bowphs/LaTa,hidden,mean,6,abtt_optimal,5,0.001,0.5477386934673367,0.9566144091139304,0.05217162107357801,0.5838097929954529,0.0020137205719947815,0.5817960724234581,0.7949921752738655,0.9280125195618153,0.84375,0.8087774294670846,0.8262910798122066,0.9888007266315286,0.7809076682316118,639,639,320,319
bowphs/LaTa,hidden,mean,6,whitening,10,0.001,0.0,0.5598070592803402,0.0068334051053311,0.06439144909381866,-0.00035710245720110834,0.06474855155101977,0.07198748043818466,0.08450704225352113,1.0,0.0,0.5007824726134585,0.5203268784978589,0.001564945226917058,639,639,320,319
bowphs/LaTa,hidden,mean,7,baseline,10,0.001,0.8140703517587939,0.46370158336256784,-0.004147366356881339,0.9326509833335876,0.904167115688324,0.028483867645263672,0.018779342723004695,0.03442879499217527,1.0,0.003134796238244514,0.5023474178403756,0.4685004951427608,0.03129890453834116,639,639,320,319
bowphs/LaTa,hidden,mean,7,abtt_fixed,10,0.001,0.4623115577889447,0.9577557829808356,0.05230203159873609,0.5656023621559143,0.0009399825939908624,0.5646623795619234,0.8200312989045383,0.9405320813771518,0.90625,0.7962382445141066,0.8513302034428795,0.9856130788885711,0.8513302034428795,639,639,320,319
bowphs/LaTa,hidden,mean,7,abtt_optimal,5,0.001,0.542713567839196,0.956947215805672,0.05220964673432274,0.575802743434906,0.0016489726258441806,0.5741537708090618,0.8043818466353677,0.9233176838810642,0.834375,0.8401253918495298,0.837245696400626,0.9884647866538792,0.7683881064162754,639,639,320,319
bowphs/LaTa,hidden,mean,7,whitening,10,0.001,0.010050251256281407,0.5509518881957113,0.005821635392913613,0.1245882511138916,-0.0008396021439693868,0.125427853257861,0.07198748043818466,0.08763693270735524,1.0,0.0,0.5007824726134585,0.5287225687491108,0.13615023474178403,639,639,320,319
