model,layer,target,mean_ig_fa_spearman,median_ig_fa_spearman
LaTa,1,pc1_dot,0.8036449843812744,0.8094062085646938
LaTa,1,abtt_norm,0.1981929210214386,0.18888610411300785
LaTa,2,pc1_dot,0.7570005090522645,0.7736037010493533
LaTa,2,abtt_norm,0.23645821316926866,0.23497529437222053
LaTa,3,pc1_dot,0.6469182780922664,0.6625740433520753
LaTa,3,abtt_norm,0.21887960508789825,0.22314388771155688
LaTa,4,pc1_dot,0.6103592264924793,0.6256880444956441
LaTa,4,abtt_norm,0.2385388862438152,0.23261736023832802
LaTa,5,pc1_dot,0.5946527517029956,0.6099101697227147
LaTa,5,abtt_norm,0.2109134734944724,0.20424673272891652
LaTa,6,pc1_dot,0.5780923883025016,0.5889256000123619
LaTa,6,abtt_norm,0.22896396059620805,0.2254342734547307
LaTa,7,pc1_dot,0.5922977807676804,0.6045666405459236
LaTa,7,abtt_norm,0.23294410691912204,0.24124570990409533
LaTa,8,pc1_dot,0.5999968657197091,0.6124981144493729
LaTa,8,abtt_norm,0.2216169942510726,0.23100957916846196
LaTa,9,pc1_dot,0.5913224528388451,0.6066421350895586
LaTa,9,abtt_norm,0.1943821645743079,0.20377945037864703
LaTa,10,pc1_dot,0.5855829594616526,0.6032517605207584
LaTa,10,abtt_norm,0.1822657849790715,0.18927743802632557
LaTa,11,pc1_dot,0.5847152515321218,0.6026167614526661
LaTa,11,abtt_norm,0.15304352072126018,0.16278800161204174
LaTa,12,pc1_dot,0.33004150381240926,0.32290220436000494
LaTa,12,abtt_norm,0.1987103712889625,0.19259692455450467
PhilTa,1,pc1_dot,0.5826567140345573,0.5917006959017286
PhilTa,1,abtt_norm,-0.08434101704220795,-0.10332490846566733
PhilTa,2,pc1_dot,0.6393539136596709,0.6534959009911572
PhilTa,2,abtt_norm,-0.005853514929010457,-0.010882407721889278
PhilTa,3,pc1_dot,0.5764803328417707,0.5823585939255952
PhilTa,3,abtt_norm,0.04460847993036791,0.038392919185602115
PhilTa,4,pc1_dot,0.5354626212254867,0.5462455752598958
PhilTa,4,abtt_norm,0.07922186099614714,0.0774564933042527
PhilTa,5,pc1_dot,0.5072416493124979,0.5214302214302214
PhilTa,5,abtt_norm,0.07653512575353164,0.07186741343387057
PhilTa,6,pc1_dot,0.488627869865173,0.505167278875841
PhilTa,6,abtt_norm,0.07473289798716033,0.07298017573798107
PhilTa,7,pc1_dot,0.48047726085111786,0.4991705851911452
PhilTa,7,abtt_norm,0.08605918005240992,0.08805591950123247
PhilTa,8,pc1_dot,0.4780212273065519,0.49375003052155114
PhilTa,8,abtt_norm,0.07985551368457205,0.07590276233775195
PhilTa,9,pc1_dot,0.46320163683401316,0.4739853026230735
PhilTa,9,abtt_norm,0.0837901666568019,0.08202684412361833
PhilTa,10,pc1_dot,0.4586332482301793,0.4686579938917456
PhilTa,10,abtt_norm,0.07847265131656048,0.07635751559532927
PhilTa,11,pc1_dot,0.459716053213327,0.4676612901356073
PhilTa,11,abtt_norm,0.0770305848365729,0.07170326459827436
PhilTa,12,pc1_dot,0.20689401599783022,0.20891271701163577
PhilTa,12,abtt_norm,0.06976671864078295,0.0634802584793632
LaBSE,1,pc1_dot,0.7590832985631832,0.7597218261614547
LaBSE,1,abtt_norm,0.2097807687536587,0.23094445215062323
LaBSE,6,pc1_dot,0.5008583629959655,0.48902811903486043
LaBSE,6,abtt_norm,0.14602831866321367,0.1510546089164928
LaBSE,9,pc1_dot,0.2423554423456969,0.25652598370621627
LaBSE,9,abtt_norm,0.15945306437301376,0.15959660244540125
LaBSE,11,pc1_dot,0.4281478334840124,0.4529234322346934
LaBSE,11,abtt_norm,0.28492268173915014,0.2883419510075951
Qwen3-0.6B,1,pc1_dot,0.9313921177649528,0.9323293139710507
Qwen3-0.6B,1,abtt_norm,0.08972579069796023,0.053433787308026656
Qwen3-0.6B,4,pc1_dot,0.09437674039053356,0.11502175338460938
Qwen3-0.6B,4,abtt_norm,0.03490093125544939,0.03238316910774053
Qwen3-0.6B,14,pc1_dot,0.08038273537482549,0.08266799013424356
Qwen3-0.6B,14,abtt_norm,0.025142789341882344,0.04308486196114643
Qwen3-0.6B,28,pc1_dot,0.26719284839660784,0.23181222938424478
Qwen3-0.6B,28,abtt_norm,0.059955600136760386,0.09187727435471407
KaLM-mini,1,pc1_dot,0.8507947177435732,0.8597479732933194
KaLM-mini,1,abtt_norm,0.1891624905997071,0.20216909406459058
KaLM-mini,5,pc1_dot,0.03640387896342415,0.031097904704403753
KaLM-mini,5,abtt_norm,0.02125511716963578,0.026636084527506283
KaLM-mini,13,pc1_dot,-0.030592974585872134,-0.027439145124155982
KaLM-mini,13,abtt_norm,0.053985380157454584,0.07358417183591938
KaLM-mini,23,pc1_dot,0.36637069087392804,0.36308376054964264
KaLM-mini,23,abtt_norm,0.20515237093074648,0.18904320330811936
