model,layer,mean_spearman,median_spearman,std_spearman,n_valid
LaTa,1,-0.1578699390030544,-0.15060769735591356,0.15455899676717771,1278
LaTa,2,0.17501493974139765,0.16375478639619978,0.15087955490642985,1278
LaTa,3,-0.2814318664745879,-0.286747572261591,0.14542792500656773,1278
LaTa,4,-0.20644886551629943,-0.21455109278946904,0.16313212991293544,1278
LaTa,5,-0.20435908843965994,-0.20889212300215582,0.17224871601444314,1278
LaTa,6,-0.12901686148344538,-0.12753838786323424,0.20205109487369405,1278
LaTa,7,-0.09717966764239644,-0.09960762734613371,0.22736493201818153,1278
LaTa,8,-0.09809412221323986,-0.10320250248725005,0.22899013780137226,1278
LaTa,9,-0.14620002165157975,-0.1433791275270428,0.22541834469021155,1278
LaTa,10,-0.16528529648249624,-0.16700887860715524,0.23793486636790356,1278
LaTa,11,-0.1931704876403854,-0.20303193454265459,0.23542197604809822,1278
LaTa,12,-0.006302265285290821,0.007980569049271339,0.24535484823782305,1278
PhilTa,1,0.20301754418784235,0.21296021557995037,0.1556181254299226,1278
PhilTa,2,-0.559446802413331,-0.5602471018310365,0.1310933415732923,1278
PhilTa,3,-0.5672050850374549,-0.5807818044390503,0.13138958813778923,1278
PhilTa,4,-0.5316806739049692,-0.5591796418727519,0.17040651286169337,1278
PhilTa,5,-0.4981332439437681,-0.5184894588246216,0.16955433704061015,1278
PhilTa,6,-0.49445068650985885,-0.519394159940172,0.18378787300348798,1278
PhilTa,7,-0.48884018854978245,-0.5125758860910791,0.18547396672325073,1278
PhilTa,8,-0.47661595810782115,-0.5045351816387365,0.19462167418907464,1278
PhilTa,9,-0.47028140877556807,-0.5011146492983265,0.21321678751029802,1278
PhilTa,10,-0.45211696683740654,-0.4833950472524058,0.22951311911812527,1278
PhilTa,11,-0.4028840522041793,-0.43145850512638406,0.23925378587535612,1278
PhilTa,12,0.1668551986659831,0.19374433725554696,0.2756057648863171,1278
LaBSE,1,0.2508939468248292,0.29709864201911684,0.19125739184197063,60
LaBSE,6,0.07003379989017043,0.09470165446776402,0.17222571692352334,60
LaBSE,9,0.03710434686100937,0.1171617843899938,0.29249599931334064,60
LaBSE,11,-0.18430458080761927,-0.173710407239819,0.1495601702128884,60
Qwen3-0.6B,1,0.2007979672612402,0.2544323763131564,0.20768076651434664,60
Qwen3-0.6B,4,0.9429158675336744,0.9574544072713608,0.044147221617459244,60
Qwen3-0.6B,14,0.9456081038161239,0.9564508612461049,0.038528730548032214,60
Qwen3-0.6B,28,-0.011464077809742759,-0.02016623001810908,0.21488940745354956,60
KaLM-mini,1,0.21705107781990896,0.2033008760077554,0.13655150880303327,60
KaLM-mini,5,-0.9158651120416827,-0.9217093645428722,0.02525947587497321,60
KaLM-mini,13,0.8564620691974236,0.8651402711934573,0.03915157460170616,60
KaLM-mini,23,0.052471739401812524,0.06615182603411415,0.17134028596789397,60
