file_id,path,folder_id,folder_size,is_winnable,split,category
17,/u/irowerojas/localLatin/canon/CAGD.506.32/BN2123.95r.3.txt,CAGD.506.32,1,False,test,dissimilar
70,/u/irowerojas/localLatin/canon/CANC.314.12/BAV1341.11v.8.txt,CANC.314.12,4,True,test,similar
81,/u/irowerojas/localLatin/canon/CANC.314.14/Hat42.158v.1.txt,CANC.314.14,4,True,test,similar
150,/u/irowerojas/localLatin/canon/CANC.314.25/BN2123.99v.1.txt,CANC.314.25,1,False,test,dissimilar
180,/u/irowerojas/localLatin/canon/CANC.314.9/C1525.20r.1.txt,CANC.314.9,6,True,test,similar
220,/u/irowerojas/localLatin/canon/CANT.328.17/BAV1341.17v.7.txt,CANT.328.17,5,True,train,similar
221,/u/irowerojas/localLatin/canon/CANT.328.17/Brn425.58v.2.txt,CANT.328.17,5,True,train,similar
261,/u/irowerojas/localLatin/canon/CANT.328.25/BAV1341.18r.6.txt,CANT.328.25,5,True,test,similar
344,/u/irowerojas/localLatin/canon/CARL.501?.24/BAV1341.46v.10.txt,CARL.501?.24,1,False,test,dissimilar
365,/u/irowerojas/localLatin/canon/CAUX.561.14/Kob58.38r.1.txt,CAUX.561.14,1,False,train,dissimilar
387,/u/irowerojas/localLatin/canon/CAUX.561.4/Kob58.36r.1.txt,CAUX.561.4,1,False,test,dissimilar
388,/u/irowerojas/localLatin/canon/CAUX.561.40/Kob58.41v.1.txt,CAUX.561.40,1,False,train,dissimilar
399,/u/irowerojas/localLatin/canon/CCHA.451.10/BN2123.85r.5.txt,CCHA.451.10,4,True,test,similar
437,/u/irowerojas/localLatin/canon/CCHA.451.7/D1723.524.10.txt,CCHA.451.7,2,True,test,similar
458,/u/irowerojas/localLatin/canon/CEPA.517.37/BN2123.77r.3.txt,CEPA.517.37,1,False,test,dissimilar
463,/u/irowerojas/localLatin/canon/CEPA.517.8/WlfH1062.4r.3.txt,CEPA.517.8,1,False,test,dissimilar
487,/u/irowerojas/localLatin/canon/CGAN.355.15/C1525.25v.5.txt,CGAN.355.15,3,True,train,similar
492,/u/irowerojas/localLatin/canon/CGAN.355.16/KoeD213.30v.1.txt,CGAN.355.16,3,True,train,similar
546,/u/irowerojas/localLatin/canon/CLAO.300.12/D1723.557.7.txt,CLAO.300.12,3,True,train,similar
564,/u/irowerojas/localLatin/canon/CLAO.300.41/BN2123.86v.5.txt,CLAO.300.41,1,False,test,dissimilar
566,/u/irowerojas/localLatin/canon/CLAO.300.42/D1723.555.8.txt,CLAO.300.42,2,True,test,similar
567,/u/irowerojas/localLatin/canon/CLAO.300.45/BN2123.88v.3.txt,CLAO.300.45,1,False,test,dissimilar
570,/u/irowerojas/localLatin/canon/CLAO.300.48/BN2123.90r.2.txt,CLAO.300.48,1,False,test,dissimilar
586,/u/irowerojas/localLatin/canon/CMAC.581.18/BN2123.95r.6.txt,CMAC.581.18,1,False,test,dissimilar
591,/u/irowerojas/localLatin/canon/CMAC.585.2/BN2123.90r.8.txt,CMAC.585.2,1,False,test,dissimilar
593,/u/irowerojas/localLatin/canon/CMAC.585.4/BN2123.92r.3.txt,CMAC.585.4,1,False,test,dissimilar
596,"/u/irowerojas/localLatin/canon/CMEA.845.0 ""Canon extravagans 2"", Conc. Meaux, a. 845; unique to this ms, apud MGH Conc. III p. 129/WlfH1062.219r.2.txt","CMEA.845.0 ""Canon extravagans 2"", Conc. Meaux, a. 845; unique to this ms, apud MGH Conc. III p. 129",1,False,test,dissimilar
599,/u/irowerojas/localLatin/canon/CNEO.315./Brn425.57r.4.txt,CNEO.315.,2,True,train,similar
676,/u/irowerojas/localLatin/canon/CNEO.315.9/C1525.23r.2.txt,CNEO.315.9,4,True,test,similar
701,/u/irowerojas/localLatin/canon/CNIC.325.13/D1723.520.6.txt,CNIC.325.13,6,True,train,similar
709,/u/irowerojas/localLatin/canon/CNIC.325.15/KoeD213.15r.2.txt,CNIC.325.15,3,True,train,similar
734,/u/irowerojas/localLatin/canon/CNIC.325.20/BN2123.97r.10.txt,CNIC.325.20,4,True,test,similar
767,/u/irowerojas/localLatin/canon/CNIC.325.8/Hat42.152r.3.txt,CNIC.325.8,3,True,test,similar
807,/u/irowerojas/localLatin/canon/CORA.441.4/BAV1341.49v.14.txt,CORA.441.4,1,False,train,dissimilar
812,/u/irowerojas/localLatin/canon/CORA.441.8/BAV1341.49v.19.txt,CORA.441.8,1,False,test,dissimilar
816,/u/irowerojas/localLatin/canon/CORL.511.11/BAV1341.54v.22.txt,CORL.511.11,1,False,test,dissimilar
832,/u/irowerojas/localLatin/canon/CORL.511.17/D1723.540.1.txt,CORL.511.17,4,True,test,similar
872,/u/irowerojas/localLatin/canon/CORL.511.9/BAV1341.54v.21.txt,CORL.511.9,1,False,test,dissimilar
879,/u/irowerojas/localLatin/canon/CORL.538.29/BN2123.78v.1.txt,CORL.538.29,1,False,test,dissimilar
888,/u/irowerojas/localLatin/canon/CORL.541.19/BN2123.94v.3.txt,CORL.541.19,1,False,test,dissimilar
889,/u/irowerojas/localLatin/canon/CORL.541.29/BN2123.99v.2.txt,CORL.541.29,1,False,test,dissimilar
919,/u/irowerojas/localLatin/canon/CTOL.397.4/BAVPal575.3v.4.txt,CTOL.397.4,1,False,test,dissimilar
929,/u/irowerojas/localLatin/canon/CTOL.527.4/BAVPal575.6r.3.txt,CTOL.527.4,2,True,test,similar
