model,target,n_layers,mean_spearman_avg,median_spearman_avg,min_layer,min_mean_spearman,max_layer,max_mean_spearman
LaTa,pc1_dot,12,0.6062187460130167,0.6185487819679273,12,0.3300415038124092,1,0.8036449843812744
LaTa,abtt_norm,12,0.20957583352890816,0.21083339635523635,11,0.1530435207212601,4,0.2385388862438152
PhilTa,pc1_dot,12,0.4897305452810146,0.5010446821465998,12,0.2068940159978302,2,0.6393539136596709
PhilTa,abtt_norm,12,0.05498988732364071,0.05033468750914325,1,-0.0843410170422079,7,0.0860591800524099
LaBSE,pc1_dot,4,0.48261123434721453,0.48954984028430615,9,0.2423554423456969,1,0.7590832985631832
LaBSE,abtt_norm,4,0.20004620838225906,0.20748440363002807,6,0.1460283186632136,11,0.2849226817391501
Qwen3-0.6B,pc1_dot,4,0.34333611048172985,0.34045782171853706,14,0.0803827353748254,1,0.9313921177649528
Qwen3-0.6B,abtt_norm,4,0.05243127785801303,0.05519477318290687,14,0.0251427893418823,1,0.0897257906979602
KaLM-mini,pc1_dot,4,0.3057440782487633,0.3066226233558024,13,-0.0305929745858721,1,0.8507947177435732
KaLM-mini,abtt_norm,4,0.11738883971438593,0.12285813843403383,5,0.0212551171696357,23,0.2051523709307464
