model,focus_layer,target,rank,token,category,mean_abs_attr,count
LaTa,8,pc1_dot,1,singul,content,2261.724365234375,1
LaTa,8,pc1_dot,2,gradib,content,2144.2099609375,1
LaTa,8,pc1_dot,3,insidiatur,content,1722.588665008545,2
LaTa,8,pc1_dot,4,utile,content,1411.0704345703125,1
LaTa,8,pc1_dot,5,solempni,content,1090.872314453125,1
LaTa,8,pc1_dot,6,substancia,content,999.7424926757812,1
LaTa,8,pc1_dot,7,sociari,content,835.2354736328125,1
LaTa,8,pc1_dot,8,exstiti,content,779.9964599609375,1
LaTa,8,pc1_dot,9,coniungend,content,749.1492919921875,1
LaTa,8,pc1_dot,10,scens,content,747.9475345611572,2
LaTa,8,pc1_dot,11,sacre,content,664.1478881835938,1
LaTa,8,pc1_dot,12,coniungere,content,662.0967178344727,4
LaTa,8,abtt_norm,1,nulli,content,272.78458682696026,6
LaTa,8,abtt_norm,2,singul,content,239.84140014648438,1
LaTa,8,abtt_norm,3,insidiatur,content,219.85904026031494,2
LaTa,8,abtt_norm,4,utile,content,158.18312072753906,1
LaTa,8,abtt_norm,5,gant,content,156.66259765625,1
LaTa,8,abtt_norm,6,quinquagesimi,content,142.96865844726562,1
LaTa,8,abtt_norm,7,exstiti,content,121.07111358642578,1
LaTa,8,abtt_norm,8,tenuisse,content,117.50052881240845,4
LaTa,8,abtt_norm,9,previ,content,115.65284729003906,1
LaTa,8,abtt_norm,10,totum,content,108.36293005943298,2
LaTa,8,abtt_norm,11,tractus,content,92.88816833496094,1
LaTa,8,abtt_norm,12,baptisteri,content,90.83085632324219,1
PhilTa,6,pc1_dot,1,fractus,content,19351.02734375,1
PhilTa,6,pc1_dot,2,evangelium,content,17945.501953125,1
PhilTa,6,pc1_dot,3,celebritate,content,17449.546875,1
PhilTa,6,pc1_dot,4,legi,content,17317.09375,1
PhilTa,6,pc1_dot,5,roget,content,14081.623046875,1
PhilTa,6,pc1_dot,6,exstiti,content,13447.19921875,1
PhilTa,6,pc1_dot,7,nen,content,13445.630859375,1
PhilTa,6,pc1_dot,8,portent,content,13314.2841796875,1
PhilTa,6,pc1_dot,9,uerant,content,12086.29296875,1
PhilTa,6,pc1_dot,10,diuisa,content,11890.7744140625,1
PhilTa,6,pc1_dot,11,praeuaricationi,content,11246.556640625,1
PhilTa,6,pc1_dot,12,missarum,content,9744.10546875,2
PhilTa,6,abtt_norm,1,amissi,content,1375.6788330078125,1
PhilTa,6,abtt_norm,2,iniquitatis,content,1365.1285400390625,1
PhilTa,6,abtt_norm,3,detenti,content,1305.81884765625,1
PhilTa,6,abtt_norm,4,fugerit,content,1174.29052734375,1
PhilTa,6,abtt_norm,5,licuisse,content,1036.074951171875,1
PhilTa,6,abtt_norm,6,ullam,content,994.165771484375,1
PhilTa,6,abtt_norm,7,admonitione,content,979.4730834960938,1
PhilTa,6,abtt_norm,8,roget,content,945.8370361328125,1
PhilTa,6,abtt_norm,9,vocabantur,content,886.9410400390625,1
PhilTa,6,abtt_norm,10,aduers,content,831.05712890625,1
PhilTa,6,abtt_norm,11,optinu,content,824.6898193359375,1
PhilTa,6,abtt_norm,12,incontinen,content,759.0205688476562,1
LaBSE,1,pc1_dot,1,duobus,content,0.3498413562774658,1
LaBSE,1,pc1_dot,2,desidera,content,0.31725820899009705,1
LaBSE,1,pc1_dot,3,accipere,content,0.21331345289945602,2
LaBSE,1,pc1_dot,4,praeter,content,0.1895060787598292,3
LaBSE,1,pc1_dot,5,melius,content,0.1889367550611496,1
LaBSE,1,pc1_dot,6,licet,content,0.17601434886455536,4
LaBSE,1,pc1_dot,7,quisque,content,0.16734620928764343,1
LaBSE,1,pc1_dot,8,ribus,content,0.1511356234550476,1
LaBSE,1,pc1_dot,9,tamquam,content,0.14854943752288818,2
LaBSE,1,pc1_dot,10,ipsum,content,0.14527960121631622,1
LaBSE,1,pc1_dot,11,dominus,content,0.14502966403961182,1
LaBSE,1,pc1_dot,12,filii,content,0.1415855586528778,1
LaBSE,1,abtt_norm,1,desidera,content,0.6184347867965698,1
LaBSE,1,abtt_norm,2,Pae,content,0.5604063272476196,1
LaBSE,1,abtt_norm,3,duobus,content,0.5588072538375854,1
LaBSE,1,abtt_norm,4,nega,content,0.4610612690448761,1
LaBSE,1,abtt_norm,5,tiste,content,0.46059420704841614,1
LaBSE,1,abtt_norm,6,gione,content,0.4576672613620758,1
LaBSE,1,abtt_norm,7,ndam,content,0.44296592473983765,1
LaBSE,1,abtt_norm,8,llir,content,0.4061870872974396,1
LaBSE,1,abtt_norm,9,mortu,content,0.40292172133922577,2
LaBSE,1,abtt_norm,10,corpora,content,0.39727258682250977,1
LaBSE,1,abtt_norm,11,UNE,content,0.3907383382320404,1
LaBSE,1,abtt_norm,12,sepe,content,0.3829221725463867,1
Qwen3-0.6B,4,pc1_dot,1,NIC,content,2200.1650390625,1
Qwen3-0.6B,4,pc1_dot,2,innoc,content,1820.387451171875,1
Qwen3-0.6B,4,pc1_dot,3,TEM,content,1738.3590087890625,1
Qwen3-0.6B,4,pc1_dot,4,UN,short_subword,1455.678466796875,1
Qwen3-0.6B,4,pc1_dot,5,ila,content,1450.481689453125,1
Qwen3-0.6B,4,pc1_dot,6,Pa,short_subword,1322.500732421875,1
Qwen3-0.6B,4,pc1_dot,7,entes,content,1010.7562688191732,3
Qwen3-0.6B,4,pc1_dot,8,URE,content,997.2427368164062,3
