model,layer,same_base_mean,same_abtt_mean,diff_base_mean,diff_abtt_mean,gap_base,gap_abtt,cgs
LaTa,1,0.8512058854103088,0.5577273964881897,0.6417293548583984,0.000935433607082814,0.2094765305519104,0.5567919611930847,0.3473154306411743
LaTa,4,0.9336580634117126,0.5671675205230713,0.9035365581512451,0.0010620441753417253,0.03012150526046753,0.5661054849624634,0.5359839797019958
LaTa,8,0.9147970080375671,0.5561272501945496,0.8902700543403625,0.0006136398878879845,0.02452695369720459,0.5555136203765869,0.5309866666793823
LaTa,12,0.8139119148254395,0.5378729104995728,0.5648599863052368,0.00040686194552108645,0.24905192852020264,0.5374660491943359,0.2884141206741333
PhilTa,1,0.9576357007026672,0.5629788041114807,0.9123940467834473,0.0011574464151635766,0.04524165391921997,0.5618213415145874,0.5165796875953674
PhilTa,6,0.9501833319664001,0.5576426386833191,0.9448263049125671,0.0013324770843610168,0.005357027053833008,0.5563101768493652,0.5509531497955322
PhilTa,9,0.9457254409790039,0.541406512260437,0.9411720037460327,0.0005477662780322134,0.004553437232971191,0.5408587455749512,0.53630530834198
PhilTa,12,0.826721727848053,0.48915737867355347,0.6313334107398987,0.0009719568770378828,0.1953883171081543,0.48818543553352356,0.29279711842536926
LaBSE,1,0.9401420950889587,0.5128792524337769,0.8687690496444702,0.000720526441000402,0.07137304544448853,0.5121587514877319,0.4407857060432434
LaBSE,6,0.9433489441871643,0.5235720276832581,0.8615811467170715,0.002020034706220031,0.08176779747009277,0.5215519666671753,0.4397841691970825
LaBSE,9,0.952743411064148,0.5567020177841187,0.8611149787902832,0.0010030170669779181,0.09162843227386475,0.5556989908218384,0.46407055854797363
LaBSE,11,0.9721193313598633,0.6000434756278992,0.9125549793243408,0.001194783952087164,0.05956435203552246,0.5988487005233765,0.539284348487854
Qwen3-0.6B,1,0.9754723906517029,0.5477727055549622,0.9411704540252686,0.0014638151042163372,0.034301936626434326,0.5463088750839233,0.512006938457489
Qwen3-0.6B,4,0.9974666833877563,0.5252311825752258,0.9918433427810669,0.001421310706064105,0.005623340606689453,0.5238098502159119,0.5181865096092224
Qwen3-0.6B,14,0.9931408166885376,0.5017126798629761,0.9795759916305542,0.0011271281400695443,0.013564825057983398,0.5005855560302734,0.48702073097229004
Qwen3-0.6B,28,0.9427138566970825,0.5489004850387573,0.84300696849823,0.00025835257838480175,0.09970688819885254,0.5486421585083008,0.44893527030944824
KaLM-mini,1,0.9554323554039001,0.5523415803909302,0.8875787258148193,0.0015300442464649677,0.06785362958908081,0.5508115291595459,0.4829578995704651
KaLM-mini,5,0.9474700093269348,0.5245805382728577,0.885169267654419,0.0012630020501092076,0.06230074167251587,0.5233175158500671,0.46101677417755127
KaLM-mini,13,0.9412868022918701,0.45563650131225586,0.8768213987350464,0.0007599435630254447,0.06446540355682373,0.454876571893692,0.3904111683368683
KaLM-mini,23,0.9672902822494507,0.5354633331298828,0.9115561842918396,0.0012085773050785065,0.055734097957611084,0.5342547297477722,0.47852063179016113
