model,layer,layer_label,category,mean_delta_ig,median_delta_ig,std_delta_ig,n_tokens
LaTa,1,"L1
early",content,4.655164100170401,3.806055188179016,3.239810648628522,60268
LaTa,1,"L1
early",short_subword,3.8252263194906266,3.263136863708496,3.3377002625973566,22078
LaTa,1,"L1
early",empty,-6.244268179132481,-4.925718307495117,4.562878496172545,9900
LaTa,4,"L4
max dip",content,-11.340917923957804,-2.83871328830719,26.880833266855642,60268
LaTa,4,"L4
max dip",short_subword,-22.19238561986851,-5.441373348236084,52.09607868766,22078
LaTa,4,"L4
max dip",empty,-556.1393074155095,-416.56761169433594,454.0507629278993,9900
LaTa,8,"L8
mid dip",content,-21.96256432911376,-5.7109973430633545,60.88943813371054,60268
LaTa,8,"L8
mid dip",short_subword,-39.60054162077978,-11.104541301727295,110.38589139663198,22078
LaTa,8,"L8
mid dip",empty,-1103.9952451886072,-514.3638916015625,2615.140438935691,9900
LaTa,12,"L12
best",content,0.016076242150734818,0.014530994463711977,0.02936865884297064,60268
LaTa,12,"L12
best",short_subword,0.014158095143108744,0.011371748056262732,0.014622492723283705,22078
LaTa,12,"L12
best",empty,0.03547387757349608,0.008967177011072636,0.6610507033019469,9900
PhilTa,1,"L1
early",content,17.623143808263073,11.092020034790039,24.14242377904333,62327
PhilTa,1,"L1
early",short_subword,3.366891635808693,1.7407785654067993,14.622676433875348,26982
PhilTa,1,"L1
early",empty,-279.8353316031868,-230.9622802734375,186.7584962179092,11914
PhilTa,6,"L6
worst",content,-406.4063416745506,-135.88829040527344,1027.2104088503952,62327
PhilTa,6,"L6
worst",short_subword,-391.9776908704892,-152.8069076538086,1269.782699961911,26982
PhilTa,6,"L6
worst",empty,-6933.375302737244,-4139.95947265625,10184.744190255487,11914
PhilTa,9,"L9
mid dip",content,-498.8021713955953,-156.48440551757812,1431.0854544126748,62327
PhilTa,9,"L9
mid dip",short_subword,-509.90085968550824,-177.2016830444336,1821.6111407737314,26982
PhilTa,9,"L9
mid dip",empty,-7895.533857092634,-4121.134521484375,14421.755586034542,11914
PhilTa,12,"L12
best",content,0.0018899374398023052,0.0014072791673243046,0.012528077999235464,62327
PhilTa,12,"L12
best",short_subword,0.0009210241805550139,0.0009496296697761863,0.008414190829320706,26982
PhilTa,12,"L12
best",empty,-0.002050304442026729,-0.0008980103011708707,0.12359444599771602,11914
LaBSE,1,"L1
worst",content,0.08584069211306573,0.06994317471981049,0.07271115393826619,3772
LaBSE,1,"L1
worst",short_subword,0.0840006125006543,0.06949478387832642,0.06040480497489467,1692
LaBSE,6,"L6
mid",content,0.05017879177093524,0.04319445975124836,0.08331178539948224,3772
LaBSE,6,"L6
mid",short_subword,0.04128326420605086,0.03275507129728794,0.032444019307623376,1692
LaBSE,9,"L9
late",content,0.03237401444581214,0.02717183716595173,0.054746613276814,3772
LaBSE,9,"L9
late",short_subword,0.02129870078004357,0.01603158377110958,0.022410676890768835,1692
LaBSE,11,"L11
best",content,0.0023175883091687303,0.0014299522736109793,0.0616987908566339,3772
LaBSE,11,"L11
best",short_subword,0.0020751560760471238,0.0009581426857039332,0.00860445102781259,1692
Qwen3-0.6B,1,"L1
early",content,0.03785198119216682,0.030761776491999626,0.028896765678687052,3503
Qwen3-0.6B,1,"L1
early",short_subword,0.03602394954330968,0.029175452888011932,0.028848726131643472,3057
Qwen3-0.6B,1,"L1
early",empty,0.05504888602868821,0.04115484654903412,0.04860653986384964,407
Qwen3-0.6B,4,"L4
worst",content,-56.69490420207532,-10.019148826599121,163.71122924659412,3503
Qwen3-0.6B,4,"L4
worst",short_subword,-49.78765604382647,-9.520122528076172,151.41818727523565,3057
Qwen3-0.6B,4,"L4
worst",empty,-135.52087255662963,-33.79027557373047,307.9708524050458,407
Qwen3-0.6B,14,"L14
mid",content,-54.76908529011568,-9.714067459106445,158.20928179188587,3503
Qwen3-0.6B,14,"L14
mid",short_subword,-48.280446173353894,-9.239407539367676,146.54529574038455,3057
Qwen3-0.6B,14,"L14
mid",empty,-131.28228096927103,-32.711307525634766,298.96367708478334,407
Qwen3-0.6B,28,"L28
best",content,1.2129553409469829,0.2744874954223633,4.607181326402632,3503
Qwen3-0.6B,28,"L28
best",short_subword,0.7590726340009222,0.16776259243488312,3.3028101328136112,3057
Qwen3-0.6B,28,"L28
best",empty,2.343234959522981,0.11449921131134033,7.981674355184461,407
KaLM-mini,1,"L1
early",content,0.020570245639495752,0.016237132251262665,0.020615117902242675,3503
KaLM-mini,1,"L1
early",short_subword,0.032684487229140614,0.026563331484794617,0.027600095991613883,3057
KaLM-mini,1,"L1
early",empty,0.028037864983731686,0.02269519679248333,0.023599955367889277,407
KaLM-mini,5,"L5
worst",content,-0.9348180497776639,-0.5405592918395996,1.3942602965828255,3503
KaLM-mini,5,"L5
worst",short_subword,-1.0934333302317347,-0.5490235686302185,1.7139219275342163,3057
KaLM-mini,5,"L5
worst",empty,-0.9444963044557876,-0.6702147722244263,0.9323638174032989,407
KaLM-mini,13,"L13
mid",content,-0.956895137904943,-0.5419716835021973,1.4877514390374131,3503
KaLM-mini,13,"L13
mid",short_subword,-1.164383995981316,-0.5920217633247375,1.8735834749676175,3057
KaLM-mini,13,"L13
mid",empty,-0.9709800132790567,-0.6706045866012573,1.0009521406547235,407
KaLM-mini,23,"L23
best",content,0.4066413883598377,0.19207151234149933,0.8863556344438482,3503
KaLM-mini,23,"L23
best",short_subword,0.4200754382453815,0.2000347375869751,0.7176722822757163,3057
KaLM-mini,23,"L23
best",empty,0.2233859738357896,0.1261797994375229,0.470686991813453,407
