model,layer,layer_label,d_eff_baseline,d_eff_abtt,dim_gain
LaTa,1,"L1
early",10.80179465430049,101.80773677271745,9.425076112901758
LaTa,4,"L4
max dip",1.4772321181730068,74.2092813659963,50.235356010114344
LaTa,8,"L8
mid dip",1.4512575491038247,77.32100576063198,53.278624327142325
LaTa,12,"L12
best",47.05679970369262,107.90237681642776,2.293024121824428
PhilTa,1,"L1
early",1.545977632362531,111.67955871940491,72.23879335740358
PhilTa,6,"L6
worst",1.0382104147473907,76.12097523529434,73.31941016389774
PhilTa,9,"L9
mid dip",1.043385585725108,80.93788859289681,77.5723660554966
PhilTa,12,"L12
best",45.99415932357825,118.94281922818767,2.5860418143834476
LaBSE,1,"L1
worst",11.026714673830392,106.80320797940345,9.68585940043217
LaBSE,6,"L6
mid",13.742904072933015,85.18206227291108,6.198257793320353
LaBSE,9,"L9
late",7.575742394416487,73.63276819930661,9.71954487966431
LaBSE,11,"L11
best",20.148422999368883,80.72817078751638,4.006674407721391
Qwen3-0.6B,1,"L1
early",43.85579239453923,97.93877371952664,2.233200413720529
Qwen3-0.6B,4,"L4
worst",1.003494514545924,103.64000162832954,103.2790913413474
Qwen3-0.6B,14,"L14
mid",1.0402024767359441,87.59813197388895,84.21257777501502
Qwen3-0.6B,28,"L28
best",37.067696508101726,102.21906166706438,2.7576318815689778
KaLM-mini,1,"L1
early",47.53664363782687,94.29540968089852,1.9836362533147747
KaLM-mini,5,"L5
worst",4.933242299192927,95.15850897576034,19.289242896366183
KaLM-mini,13,"L13
mid",12.239812773708278,88.13284652531482,7.200506098804756
KaLM-mini,23,"L23
best",44.496836603109514,115.94353852228829,2.6056580056791265
