model,layer,layer_label,mean_rank_base,mean_rank_abtt,median_rank_base,median_rank_abtt,mean_improvement,pct_improved,pct_at_rank1_base,pct_at_rank1_abtt,n_queries
LaTa,1,"L1
early",42.6375,24.11875,2.0,2.0,18.51875,25.0,0.0,0.0,320
LaTa,4,"L4
max dip",272.25,21.334375,243.5,2.0,250.915625,90.9375,0.0,0.0,320
LaTa,8,"L8
mid dip",275.509375,23.18125,246.0,2.0,252.328125,93.4375,0.0,0.0,320
LaTa,12,"L12
best",20.615625,18.7375,2.0,2.0,1.878125,13.4375,0.0,0.0,320
PhilTa,1,"L1
early",58.65625,17.890625,2.0,2.0,40.765625,35.625,0.0,0.0,320
PhilTa,6,"L6
worst",270.4875,14.178125,266.5,2.0,256.309375,92.1875,0.0,0.0,320
PhilTa,9,"L9
mid dip",269.078125,16.56875,268.5,2.0,252.509375,91.5625,0.0,0.0,320
PhilTa,12,"L12
best",24.49375,15.91875,2.0,2.0,8.575,26.5625,0.0,0.0,320
LaBSE,1,"L1
worst",55.61875,14.95,2.0,2.0,40.66875,47.1875,0.0,0.0,320
LaBSE,6,"L6
mid",31.365625,16.603125,2.0,2.0,14.7625,27.187499999999996,0.0,0.0,320
LaBSE,9,"L9
late",28.146875,15.85625,2.0,2.0,12.290625,15.937499999999998,0.0,0.0,320
LaBSE,11,"L11
best",20.8,15.29375,2.0,2.0,5.50625,9.6875,0.0,0.0,320
Qwen3-0.6B,1,"L1
early",24.79375,15.078125,2.0,2.0,9.715625,30.312499999999996,0.0,0.0,320
Qwen3-0.6B,4,"L4
worst",74.3875,14.475,3.0,2.0,59.9125,48.4375,0.0,0.0,320
Qwen3-0.6B,14,"L14
mid",55.565625,15.671875,2.0,2.0,39.89375,37.1875,0.0,0.0,320
Qwen3-0.6B,28,"L28
best",15.71875,13.834375,2.0,2.0,1.884375,10.9375,0.0,0.0,320
KaLM-mini,1,"L1
early",20.084375,16.259375,2.0,2.0,3.825,17.8125,0.0,0.0,320
KaLM-mini,5,"L5
worst",39.75,15.253125,2.0,2.0,24.496875,31.5625,0.0,0.0,320
KaLM-mini,13,"L13
mid",32.79375,12.503125,2.0,2.0,20.290625,35.0,0.0,0.0,320
KaLM-mini,23,"L23
best",16.584375,16.628125,2.0,2.0,-0.04375,5.625,0.0,0.0,320
