model,layer,layer_label,category,mean_snr,median_snr,mean_noise,mean_signal,n
LaTa,1,"L1
early",Similar,18.285215377807617,2.465003490447998,34.287532806396484,69.45137023925781,439
LaTa,1,"L1
early",Dissimilar,6.510930061340332,2.155869483947754,42.43966293334961,79.64574432373047,200
LaTa,4,"L4
max dip",Similar,5.648989200592041,0.7836130857467651,1538.974609375,1030.417724609375,439
LaTa,4,"L4
max dip",Dissimilar,1.8630359172821045,0.6325966119766235,1930.5054931640625,925.2167358398438,200
LaTa,8,"L8
mid dip",Similar,3.9925858974456787,0.7219223976135254,3102.693115234375,1994.8175048828125,439
LaTa,8,"L8
mid dip",Dissimilar,3.559852361679077,0.6136497259140015,3886.7822265625,1697.0238037109375,200
LaTa,12,"L12
best",Similar,34.38336944580078,5.035811901092529,0.11600762605667114,0.501228928565979,439
LaTa,12,"L12
best",Dissimilar,28.789823532104492,4.962656021118164,0.1402290165424347,0.5734349489212036,200
PhilTa,1,"L1
early",Similar,6.438370704650879,0.7279134392738342,642.5310668945312,395.1151428222656,439
PhilTa,1,"L1
early",Dissimilar,2.635516405105591,0.7107321619987488,758.3336181640625,464.0556945800781,200
PhilTa,6,"L6
worst",Similar,0.7042512893676758,0.20391236245632172,19513.62109375,3529.549072265625,439
PhilTa,6,"L6
worst",Dissimilar,0.8530662655830383,0.2098475992679596,27304.6171875,3980.4296875,200
PhilTa,9,"L9
mid dip",Similar,1.0258631706237793,0.22702305018901825,22667.19140625,4450.1787109375,439
PhilTa,9,"L9
mid dip",Dissimilar,3.490432024002075,0.21560481190681458,31869.5390625,4890.412109375,200
PhilTa,12,"L12
best",Similar,16.093076705932617,4.398217678070068,0.029602302238345146,0.11821308732032776,439
PhilTa,12,"L12
best",Dissimilar,14.273747444152832,4.675108909606934,0.0360378734767437,0.14134366810321808,200
LaBSE,1,"L1
worst",Similar,11.160111427307129,2.143083095550537,0.9857971668243408,2.0443432331085205,439
LaBSE,1,"L1
worst",Dissimilar,4.4778523445129395,1.8073551654815674,1.2947136163711548,2.312784194946289,200
LaBSE,6,"L6
mid",Similar,14.171823501586914,2.3148202896118164,0.6597139835357666,1.4542325735092163,439
LaBSE,6,"L6
mid",Dissimilar,4.021368980407715,1.7282452583312988,0.8954921960830688,1.6135427951812744,200
LaBSE,9,"L9
late",Similar,14.964341163635254,1.869284749031067,0.9801568388938904,1.6010926961898804,439
LaBSE,9,"L9
late",Dissimilar,2.583549737930298,1.3800241947174072,1.251003623008728,1.7853894233703613,200
LaBSE,11,"L11
best",Similar,10.25634765625,2.711574077606201,0.5033695101737976,1.2945621013641357,439
LaBSE,11,"L11
best",Dissimilar,4.549126625061035,2.044055938720703,0.6356436014175415,1.3966144323349,200
Qwen3-0.6B,1,"L1
early",Similar,17.88755989074707,4.948710918426514,0.2208259403705597,0.8745916485786438,439
Qwen3-0.6B,1,"L1
early",Dissimilar,25.147994995117188,6.648006439208984,0.20381790399551392,1.0585769414901733,200
Qwen3-0.6B,4,"L4
worst",Similar,0.47994759678840637,0.07687998563051224,30.424760818481445,2.022448778152466,439
Qwen3-0.6B,4,"L4
worst",Dissimilar,0.20282241702079773,0.06004445254802704,52.28696823120117,2.3860082626342773,200
Qwen3-0.6B,14,"L14
mid",Similar,4.309931755065918,0.26284074783325195,30.932655334472656,7.020132064819336,439
Qwen3-0.6B,14,"L14
mid",Dissimilar,1.4906331300735474,0.19610412418842316,52.9501838684082,8.046607971191406,200
Qwen3-0.6B,28,"L28
best",Similar,27.28862953186035,3.4939053058624268,7.791009902954102,25.317224502563477,439
Qwen3-0.6B,28,"L28
best",Dissimilar,77.0350112915039,4.229363918304443,7.33035135269165,26.394350051879883,200
KaLM-mini,1,"L1
early",Similar,25.952606201171875,5.049790859222412,0.20102694630622864,0.874996542930603,439
KaLM-mini,1,"L1
early",Dissimilar,13.927270889282227,4.664145469665527,0.24509911239147186,1.055679202079773,200
KaLM-mini,5,"L5
worst",Similar,18.342575073242188,6.957866191864014,0.8312612771987915,2.691704034805298,439
KaLM-mini,5,"L5
worst",Dissimilar,22.942955017089844,8.920974731445312,0.4128584563732147,3.206663131713867,200
KaLM-mini,13,"L13
mid",Similar,13.600512504577637,3.651766777038574,2.077577829360962,5.503109455108643,439
KaLM-mini,13,"L13
mid",Dissimilar,27.91704559326172,2.8444647789001465,2.384661912918091,6.123952865600586,200
KaLM-mini,23,"L23
best",Similar,10.7439546585083,3.991966962814331,7.280502796173096,26.094661712646484,439
KaLM-mini,23,"L23
best",Dissimilar,10.895342826843262,3.5560970306396484,8.341689109802246,28.46826934814453,200
