model,layer,rpr,cgs,isotropy_baseline,isotropy_abtt,isotropy_gain,pc1_var_explained,aucroc_baseline,aucroc_abtt,delta_aucroc
LaTa,1,0.4484380781650543,0.34863728284835815,2.6285397325409576e-07,6.397866769702887e-08,0.24340004035313534,0.2866164445877075,0.8671459534321055,0.9683443075034724,0.1011983540713669
LaTa,2,0.8729669451713562,0.5131223201751709,3.679005544654501e-07,6.326995105609967e-08,0.1719756882346352,0.5500010251998901,0.5712065180557806,0.9632743258485452,0.3920678077927646
LaTa,3,0.982867956161499,0.520548403263092,2.2342757688420534e-07,6.484493297875815e-08,0.2902279740175717,0.8302409052848816,0.480323456956286,0.9583341463249528,0.47801068936866686
LaTa,4,0.9889020919799805,0.536778450012207,1.6966653504368878e-07,5.0105132487487936e-08,0.2953153518139919,0.8001129627227783,0.467796727229786,0.9663839137120118,0.49858718648222583
LaTa,5,0.9895528554916382,0.5456384420394897,3.2926234894148365e-07,5.8070593667025605e-08,0.17636572737123335,0.807275652885437,0.4675981028691237,0.96227543014557,0.49467732727644637
LaTa,6,0.9901748895645142,0.5410453081130981,2.3055582687447895e-07,5.5995389658392014e-08,0.24287128379053058,0.8239261507987976,0.4656716556256873,0.9566144091139304,0.49094275348824307
LaTa,7,0.9904718399047852,0.536178708076477,1.8689192415877187e-07,5.186142004731664e-08,0.2774941736019496,0.843473494052887,0.4637015833625678,0.956947215805672,0.4932456324431042
LaTa,8,0.9900117516517639,0.5316390991210938,1.59126017251765e-07,5.6565276906894724e-08,0.35547472301401617,0.809308648109436,0.46344200122212,0.956677523810257,0.49323552258813697
LaTa,9,0.9890710711479187,0.5261072516441345,2.6098575744981645e-07,5.7781399220857566e-08,0.22139675277861873,0.8126965761184692,0.4644981049884324,0.9579827569676256,0.49348465197919317
LaTa,10,0.9879691004753113,0.518985390663147,2.574384154740983e-07,4.8076721270717826e-08,0.18675037749195197,0.8210516571998596,0.4658709878974196,0.9549371244448815,0.48906613654746195
LaTa,11,0.9862127304077148,0.5174347758293152,1.6569313743275416e-07,5.050656426419664e-08,0.30481989204106,0.8225600719451904,0.4678096908512537,0.9573503269155444,0.48954063606429077
LaTa,12,0.34610146284103394,0.289168119430542,6.46815692562086e-07,6.024426113526715e-08,0.09313976427602592,0.07648523896932602,0.929178286916268,0.9567833565152086,0.0276050695989406
PhilTa,1,0.7011324167251587,0.5164286494255066,3.696473243053333e-07,6.745376879280229e-08,0.18248142041759954,0.8033687472343445,0.7816515888245441,0.9683387658871284,0.1866871770625843
PhilTa,2,0.8348799347877502,0.5295701622962952,3.040638034690346e-07,5.3398480304167606e-08,0.17561603747289053,0.9445838928222656,0.7561523666197101,0.9690922487321644,0.2129398821124543
PhilTa,3,0.9530090689659119,0.527448296546936,4.042356920308521e-07,6.016325215796314e-08,0.1488321129084548,0.926199197769165,0.5679295202853908,0.964613450248386,0.3966839299629952
PhilTa,4,0.9864796996116638,0.5392113924026489,2.164081109867766e-07,5.507758515932437e-08,0.2545079521658494,0.9774894118309021,0.4778421733506966,0.9687163700762628,0.49087419672556615
PhilTa,5,0.9891999363899231,0.5477719306945801,1.8792616174323484e-07,5.992954754674429e-08,0.3188994389648981,0.9804543852806091,0.4682678641690325,0.9669086417314726,0.49864077756244013
PhilTa,6,0.9901694059371948,0.5502389669418335,1.6013252945867862e-07,5.4572904417682366e-08,0.34079836621680687,0.9810799360275269,0.4641328892430214,0.9703239697493672,0.5061910805063459
PhilTa,7,0.9887558817863464,0.5528532266616821,1.8218402431102731e-07,5.818464288154246e-08,0.3193729148402648,0.9804712533950806,0.4663525333416159,0.970533113226084,0.5041805798844681
PhilTa,8,0.9870278835296631,0.5456271171569824,2.079455470038738e-07,5.669290459309195e-08,0.27263341490085297,0.9795936942100525,0.4688584832235474,0.9707487606357555,0.5018902774122082
PhilTa,9,0.9873812794685364,0.5354791879653931,1.6443591732695495e-07,5.7990622082115806e-08,0.3526639618934991,0.9785541296005249,0.4665881018112391,0.9682024708839494,0.5016143690727103
PhilTa,10,0.9864551424980164,0.5245999693870544,1.7487158743278997e-07,5.950809978116922e-08,0.3402959889298227,0.977998673915863,0.4683481899532464,0.9678839993913736,0.4995358094381272
PhilTa,11,0.9842622876167297,0.5087838768959045,1.7839286670096044e-07,6.444509637049123e-08,0.3612537741126185,0.9776874780654907,0.472152681020714,0.96814568314281,0.495993002122096
PhilTa,12,0.323845237493515,0.29344937205314636,6.943938046788389e-07,6.696299692521279e-08,0.09643374764292945,0.08537466078996658,0.9132151356342124,0.9761319818780076,0.06291684624379523
LaBSE,1,0.5743240118026733,0.4416426420211792,9.67132109508384e-07,4.9608196661665716e-08,0.05129412639073966,0.24732337892055511,0.842996407926498,0.9703642764359104,0.1273678685094124
LaBSE,2,0.620144248008728,0.4890787601470947,6.812505830566806e-07,4.9598227747083e-08,0.07280467566654014,0.3217257559299469,0.8545136343450843,0.9714802539931826,0.11696661964809829
LaBSE,3,0.5582027435302734,0.47130292654037476,6.74487637297716e-07,5.575908446076028e-08,0.08266880129064316,0.30871957540512085,0.8743432189132246,0.9648980083762692,0.09055478946304452
LaBSE,4,0.5755143165588379,0.4413195252418518,8.054042837102315e-07,5.414299053541072e-08,0.06722461207431359,0.3235108256340027,0.8765529080123986,0.9574902499629564,0.0809373419505578
LaBSE,5,0.5287138223648071,0.42343026399612427,7.31995498881588e-07,5.670985814276719e-08,0.07747296018816219,0.28739532828330994,0.8793530502494302,0.956283106733212,0.07693005648378182
LaBSE,6,0.49219369888305664,0.44036972522735596,9.72691395872971e-07,6.435721644493242e-08,0.06616406469512677,0.24046967923641205,0.90387943672755,0.9684670968907706,0.0645876601632206
LaBSE,7,0.5958911776542664,0.4211829900741577,3.89121538546533e-07,5.101483679936791e-08,0.1311025778473255,0.40261489152908325,0.8958175131800874,0.9634656830596304,0.06764816987954303
LaBSE,8,0.6499621272087097,0.4284517168998718,6.612688707718917e-07,6.079829262262137e-08,0.09194186405849139,0.4968452453613281,0.8889159111817606,0.9603958709494048,0.07147995976764421
LaBSE,9,0.5639231204986572,0.46475452184677124,3.6301148043094145e-07,5.090170418498019e-08,0.14022064570672338,0.3451903164386749,0.9162712209063482,0.9693436677730874,0.05307244686673929
LaBSE,10,0.5466964840888977,0.48145437240600586,4.4675331878352154e-07,5.7185129520576083e-08,0.12800157741701224,0.3206980228424072,0.929038784191054,0.9679432869434784,0.03890450275242441
LaBSE,11,0.4509231448173523,0.5399454236030579,8.468203986922163e-07,5.974247585527337e-08,0.07054916951402733,0.17833030223846436,0.9479274222139572,0.9757917199978108,0.027864297783853575
LaBSE,12,0.4110124707221985,0.39958322048187256,7.105944632712635e-07,6.840284072495706e-08,0.09626143216773819,0.14825208485126495,0.9429969211620236,0.979774892243768,0.03677797108174441
Qwen3-0.6B,1,0.34217602014541626,0.5127655267715454,2.127464085788233e-06,9.037763248898045e-08,0.04248139044636103,0.08598189055919647,0.9095484217587264,0.9669443138127298,0.05739589205400342
Qwen3-0.6B,2,0.4050317704677582,0.5137714743614197,1.926132199514541e-06,8.221334013569503e-08,0.04268312432366581,0.12621016800403595,0.895177793856208,0.969325549674142,0.07414775581793398
Qwen3-0.6B,3,0.9587730765342712,0.5348614454269409,8.540671814216694e-08,8.932936168548622e-08,1.0459289810994692,0.9988017678260803,0.795024405012913,0.9659175109280452,0.17089310591513218
Qwen3-0.6B,4,0.9520879983901978,0.5186468362808228,4.961129462799363e-08,8.207543089611136e-08,1.654369867014104,0.9982487559318542,0.7837470055914798,0.9653581505717111,0.18161114498023134
