model,layer,category,mean_delta,median_delta,std_delta,mean_abs_pc1,mean_abs_abtt,n_tokens
LaTa,1,content,-0.7998962243283194,-0.8249658346176147,0.14501358146385734,0.6482599376406717,5.3034240379964155,60268
LaTa,1,short_subword,-0.6903136828311301,-0.7553141415119171,0.28264200901066605,1.1747087345146663,4.999935053839007,22078
LaTa,1,punctuation,-0.6548464043528106,-0.6609856486320496,0.09255945128767293,1.1079915440626644,5.246787835103336,9821
LaTa,1,number,-0.8742408310063183,-0.890781819820404,0.0796438008177268,0.3181213281537306,4.212370957647051,448
LaTa,1,empty,0.3635860625867064,0.3737936168909073,0.05529071551459516,11.719370007539036,5.4751018280392945,9900
LaTa,2,content,-0.5410323689641428,-0.6114545166492462,0.34577668724449623,2.1324097186501847,5.499605424216077,60268
LaTa,2,short_subword,-0.37552158003562136,-0.5018215775489807,0.47135519503326523,3.768060534609685,4.9055549161504794,22078
LaTa,2,punctuation,0.14772559456355933,0.09235450625419617,0.5828700601744005,18.37613665495588,5.373652626881591,9821
LaTa,2,number,-0.7013087303369373,-0.7308153808116913,0.19107753753913295,0.7735310562753251,4.179308163002133,448
LaTa,2,empty,0.544263375007143,0.551538735628128,0.1024445167183529,22.942231328740263,6.016841597183786,9900
LaTa,3,content,0.06408692828335137,0.12638011574745178,0.487603536144668,12.778755372577566,5.805863078151289,60268
LaTa,3,short_subword,0.2206431507262745,0.3096902370452881,0.5118112398509974,20.52114298170501,4.822358931557447,22078
LaTa,3,punctuation,0.2438223167682923,0.37326034903526306,0.4393504596235324,15.739176551392724,6.073213466281816,9821
LaTa,3,number,-0.18480265304866147,-0.12276943027973175,0.4075470617685182,4.044402115113501,4.3102783145649095,448
LaTa,3,empty,0.9593057675855329,0.9594947993755341,0.006919681816153404,367.3528483057504,7.399443046468677,9900
LaTa,4,content,0.15802069521869783,0.25069575011730194,0.4861937311076564,17.582847356880823,6.241929432178308,60268
LaTa,4,short_subword,0.3094233873130384,0.4256651699542999,0.5013087453935515,27.177682019311867,4.9852964170051015,22078
LaTa,4,punctuation,0.13457498230825643,0.20127065479755402,0.4462012834236723,19.80408008019886,9.671834652456146,9821
LaTa,4,number,0.040775982559353,0.09852871671319008,0.40018377776079567,7.125940600742719,4.607868815107005,448
LaTa,4,empty,0.9605699693193339,0.9637743830680847,0.024024776486727864,567.4741775296915,11.334870130756888,9900
LaTa,5,content,0.2034382643896017,0.30463753640651703,0.4874404299256983,21.90224121710079,6.954639291075659,60268
LaTa,5,short_subword,0.3629550773233498,0.5001901984214783,0.49536542909977843,32.38357235049431,5.0669338587276345,22078
LaTa,5,punctuation,0.15154349815083212,0.16958753764629364,0.47376026550646577,31.668005206084594,16.638404546880015,9821
LaTa,5,number,0.12108052159133617,0.23306803405284882,0.4376371193347751,9.219236933892327,4.567364596096533,448
LaTa,5,empty,0.9475099320634447,0.9570389688014984,0.04820450968337752,738.1844417098074,20.9991325245252,9900
LaTa,6,content,0.22482273944272682,0.32928504049777985,0.49255206652105554,26.45524718994332,7.989565046162196,60268
LaTa,6,short_subword,0.4000968137979341,0.550883948802948,0.49331734118232323,38.34586517240497,5.277523995553028,22078
LaTa,6,punctuation,0.12464741850732301,0.19352038204669952,0.5513817907631416,40.45476652138491,22.80296119308808,9821
LaTa,6,number,0.2171792861799986,0.33611592650413513,0.4451419595864468,12.141732903064362,4.462339978132929,448
LaTa,6,empty,0.9400456419248473,0.9518704414367676,0.06097696651603277,925.6773826788892,29.95382795173863,9900
LaTa,7,content,0.25209584515214845,0.3648572266101837,0.4974061338842881,30.574056422379428,8.510973949304041,60268
LaTa,7,short_subword,0.4374793720853786,0.5934374630451202,0.48247515232882027,43.969434224707605,5.267056712217778,22078
LaTa,7,punctuation,0.21468556007207332,0.3225276470184326,0.548709015330046,58.75080653417864,25.642761935291702,9821
LaTa,7,number,0.2824821502791955,0.40612320601940155,0.4562759741347335,13.549212774261832,4.201444258514259,448
LaTa,7,empty,0.938698835634824,0.9528189599514008,0.07227748273344366,1103.5577163173214,35.29264189726927,9900
LaTa,8,content,0.244810498251579,0.3548218011856079,0.5047467631868805,30.95593594034548,8.99337161556178,60268
LaTa,8,short_subword,0.452719630814441,0.6099004447460175,0.47673931458535584,44.9428980161358,5.342356416562746,22078
LaTa,8,punctuation,0.2925695847570782,0.41002362966537476,0.5201455253018114,75.2259115023151,32.277661271997175,9821
LaTa,8,number,0.31900465230968883,0.43535344302654266,0.4661268539377179,13.825415521061846,3.84214084861534,448
LaTa,8,empty,0.9352310537076508,0.9512381851673126,0.08578447758940023,1145.379243268774,41.38399744740302,9900
LaTa,9,content,0.24469802912395636,0.3525903671979904,0.5084871039453982,33.91810989216773,9.778537830178406,60268
LaTa,9,short_subword,0.4777766060274751,0.6424697637557983,0.47307165079478425,48.12897386251584,5.394133934285281,22078
LaTa,9,punctuation,0.2914669522003526,0.41545239090919495,0.5395480088478696,88.32182275243282,38.84855660688742,9821
LaTa,9,number,0.3389034976784647,0.4694107621908188,0.4860932084628116,15.388562486640044,3.6196403355736817,448
LaTa,9,empty,0.9263577884176012,0.9442579746246338,0.0928113886770433,1254.3536053729779,53.90571947659582,9900
LaTa,10,content,0.18578630322305495,0.2741118520498276,0.5174339937283786,35.986297607698546,11.670569507929452,60268
LaTa,10,short_subword,0.41237277116906373,0.5704152286052704,0.497846411200317,50.85414476352173,6.665003019370613,22078
LaTa,10,punctuation,0.24229553078965135,0.3539867699146271,0.5555526689423231,95.14966485025367,42.68217768219772,9821
LaTa,10,number,0.27746863388581133,0.38748911023139954,0.4958057323589798,16.519515641831926,4.066117899492383,448
LaTa,10,empty,0.9122468067664945,0.9322147071361542,0.1050403284564625,1349.3228635853468,64.80741124619438,9900
LaTa,11,content,0.1293646675960583,0.19546883553266525,0.5226001755972945,35.98498350725403,13.838484837419372,60268
LaTa,11,short_subword,0.36009395344159517,0.5082192122936249,0.5118543817394915,50.61898203466882,7.778000002613693,22078
LaTa,11,punctuation,0.23936873004405515,0.34040576219558716,0.5525483319613068,100.56813991413001,43.474967044152194,9821
LaTa,11,number,0.20563513299930491,0.2811019569635391,0.48971476266509384,16.022654689582332,4.786671476305595,448
LaTa,11,empty,0.8940286212660034,0.9140996336936951,0.11066577896968186,1339.9403734079515,77.27801313428867,9900
LaTa,12,content,-0.6634981970718566,-0.740301251411438,0.30833323163797965,0.00963852118965487,0.025714763341734764,60268
LaTa,12,short_subword,-0.7238496329409237,-0.7744956910610199,0.24272664781649744,0.003607313371643695,0.017765408514946218,22078
LaTa,12,punctuation,-0.41532021326032315,-0.5153684616088867,0.46326822293467357,0.03727447313026247,0.06360612380686971,9821
LaTa,12,number,-0.7144920585965987,-0.8228762447834015,0.3111834497353056,0.003129932788137272,0.016556627401379437,448
LaTa,12,empty,-0.3528892487307365,-0.4531719535589218,0.4691898573001679,0.04406787850286969,0.0795417561661724,9900
PhilTa,1,content,-0.560993501085017,-0.6708044409751892,0.38929103509131613,5.483110890010723,23.106254691284043,62327
PhilTa,1,short_subword,-0.21063620998119886,-0.24646859616041183,0.5247791512473639,7.707811084423043,11.074702720351578,26982
PhilTa,1,punctuation,-0.0681749772021107,-0.09099084138870239,0.3677271306352414,9.015156642188304,8.724175755831821,9819
PhilTa,1,number,-0.3838837921612789,-0.5151917338371277,0.4639015456734834,5.4203432484396865,14.637431043865424,448
PhilTa,1,empty,0.981067021791219,0.9832525849342346,0.01420598928250913,282.6463905435011,2.81105905262835,11914
PhilTa,2,content,-0.2920802297476759,-0.41372495889663696,0.5099179690589621,22.99880709813356,47.619396014342726,62327
PhilTa,2,short_subword,0.3015632223810362,0.43944980204105377,0.5221333694248862,44.53947715840106,17.344749489685515,26982
PhilTa,2,punctuation,0.005239029749677345,0.028065569698810577,0.4997690929843211,16.435348821667915,14.037281775832092,9819
PhilTa,2,number,0.21260496423305345,0.26331257820129395,0.4233239828198054,23.898127975208418,14.621070984351848,448
PhilTa,2,empty,0.8667225119014784,0.8791939318180084,0.05351097758969118,691.3615534950347,51.970223417893656,11914
PhilTa,3,content,0.05599027184004908,0.07727465778589249,0.5265840715376873,69.61247653195274,50.607645642496436,62327
PhilTa,3,short_subword,0.474334004023087,0.6146120131015778,0.447385839884433,80.54991522542157,20.270131129120077,26982
PhilTa,3,punctuation,0.2786865482854977,0.3879075050354004,0.5080956795919465,50.06106013126997,17.415814496428823,9819
PhilTa,3,number,0.5093066974441172,0.576461672782898,0.32681711858629026,49.435047956449644,14.476686343018498,448
PhilTa,3,empty,0.896068606457495,0.9046625196933746,0.04322958794377526,1480.2732498978376,82.51848261568877,11914
PhilTa,4,content,0.44493357426133096,0.5874724984169006,0.4682027983762664,240.38618860117447,51.80015888809919,62327
PhilTa,4,short_subword,0.6810320928696492,0.8002693355083466,0.3505933877834223,186.36358778103474,21.347855151007778,26982
PhilTa,4,punctuation,0.7244113713390233,0.8545145392417908,0.34086877100854723,252.66667731352888,18.623693435048725,9819
PhilTa,4,number,0.6263835581048625,0.7388003766536713,0.34864539115858884,113.78711536100933,15.776737952471844,448
PhilTa,4,empty,0.9442454651736044,0.9547728598117828,0.04057443866065078,4311.569766364963,122.41895776181607,11914
PhilTa,5,content,0.5258923371696105,0.6745410561561584,0.4427106914360096,360.1454170428437,56.710551540421385,62327
PhilTa,5,short_subword,0.7345369644582287,0.8428352177143097,0.31746864090170446,301.0113729819137,23.7580528443435,26982
PhilTa,5,punctuation,0.7851397070853338,0.8897829651832581,0.2906822726915787,431.4001150237578,21.247609986378347,9819
PhilTa,5,number,0.6225848729955032,0.7400474846363068,0.3681603568905425,190.07475553665842,16.676800774410367,448
PhilTa,5,empty,0.9502866642838239,0.9638729691505432,0.05067861031844422,5922.314084757289,150.07909190017384,11914
PhilTa,6,content,0.5614591271031392,0.7121613621711731,0.43227077963509936,465.70769346034047,59.30135176280036,62327
PhilTa,6,short_subword,0.7609900117712928,0.8662494719028473,0.30428822209212847,417.42761070911564,25.44991995978745,26982
PhilTa,6,punctuation,0.8036044650368928,0.9015383124351501,0.2770931046371676,602.7353931366881,23.6334590243946,9819
PhilTa,6,number,0.6478256825227747,0.7500941753387451,0.3305433081960075,245.3426442965865,17.95219403611762,448
PhilTa,6,empty,0.9473900380091758,0.9609344005584717,0.051675223812186345,7128.034118145169,194.6588179515986,11914
PhilTa,7,content,0.5631984442522929,0.7132049798965454,0.43271034051366547,485.8338973163413,61.66735526788588,62327
