model,label,category,mean,std,count
KaLM-mini,L1 early,content,-0.00057643355,0.004347218,19694
KaLM-mini,L1 early,empty,-0.00081056764,0.002648642,3543
KaLM-mini,L1 early,short_subword,-0.0023195462,0.0035402544,15236
KaLM-mini,L13 mid,content,0.0026855797,0.009735763,19694
KaLM-mini,L13 mid,empty,0.002002391,0.0062006153,3543
KaLM-mini,L13 mid,short_subword,0.001054715,0.004207513,15236
KaLM-mini,L23 best,content,0.0061091315,0.011010019,19694
KaLM-mini,L23 best,empty,0.0013451393,0.0038140747,3543
KaLM-mini,L23 best,short_subword,0.0028139448,0.005842895,15236
KaLM-mini,L5 worst,content,0.00084001856,0.010872078,19694
KaLM-mini,L5 worst,empty,0.0011145617,0.0032454177,3543
KaLM-mini,L5 worst,short_subword,0.00019911083,0.0037505573,15236
LaBSE,L1 worst,content,-0.0008985201,0.004264636,20762
LaBSE,L1 worst,short_subword,-0.00062177435,0.0029432403,8661
LaBSE,L11 best,content,0.0071527273,0.010554405,20762
LaBSE,L11 best,short_subword,0.003623871,0.005900146,8661
LaBSE,L6 mid,content,0.0010320283,0.006329988,20762
LaBSE,L6 mid,short_subword,0.00014484368,0.003063541,8661
LaBSE,L9 late,content,0.002696435,0.008192759,20762
LaBSE,L9 late,short_subword,0.0013740155,0.0037996753,8661
LaTa,L1 early,content,0.00073779817,0.005087547,15576
LaTa,L1 early,empty,-0.03101288,0.022841105,2352
LaTa,L1 early,short_subword,-0.0009530578,0.005328897,5622
LaTa,L12 best,content,-0.0029471654,0.010847453,15576
LaTa,L12 best,empty,-0.015559047,0.44884795,2352
LaTa,L12 best,short_subword,-0.0021289517,0.0068962257,5622
LaTa,L4 max dip,content,0.005781233,0.009249806,15576
LaTa,L4 max dip,empty,-0.100954644,0.17354,2352
LaTa,L4 max dip,short_subword,0.003346653,0.0050328267,5622
LaTa,L8 mid dip,content,0.0032163973,0.035089474,15576
LaTa,L8 mid dip,empty,-0.16351385,1.8737205,2352
LaTa,L8 mid dip,short_subword,0.0014657389,0.025157621,5622
PhilTa,L1 early,content,0.0030370776,0.0094233705,16092
PhilTa,L1 early,empty,-0.075173505,0.05875353,2939
PhilTa,L1 early,short_subword,0.00076854374,0.0057314686,6713
PhilTa,L12 best,content,-0.0012087078,0.066395335,16092
PhilTa,L12 best,empty,-0.01978923,0.70511466,2939
PhilTa,L12 best,short_subword,-0.00087516615,0.018364338,6713
PhilTa,L6 worst,content,0.00021456381,0.058052093,16092
PhilTa,L6 worst,empty,-0.086841166,0.59688705,2939
PhilTa,L6 worst,short_subword,0.00509481,0.014523948,6713
PhilTa,L9 mid dip,content,0.00046141108,0.060832277,16092
PhilTa,L9 mid dip,empty,-0.077666186,0.6277606,2939
PhilTa,L9 mid dip,short_subword,0.0068788407,0.020034969,6713
Qwen3-0.6B,L1 early,content,0.0009550451,0.003667141,19694
Qwen3-0.6B,L1 early,empty,0.0004850637,0.002264003,3543
Qwen3-0.6B,L1 early,short_subword,0.00013476127,0.0024827824,15236
Qwen3-0.6B,L14 mid,content,0.0021838243,0.0074636713,19694
Qwen3-0.6B,L14 mid,empty,0.01566377,0.060887862,3543
Qwen3-0.6B,L14 mid,short_subword,0.0015537577,0.007574425,15236
Qwen3-0.6B,L28 best,content,-0.005057636,0.022695284,19694
Qwen3-0.6B,L28 best,empty,0.0054095257,0.10668635,3543
Qwen3-0.6B,L28 best,short_subword,-0.0036515365,0.02017567,15236
Qwen3-0.6B,L4 worst,content,0.003233452,0.009342327,19694
Qwen3-0.6B,L4 worst,empty,0.0067535327,0.025103679,3543
Qwen3-0.6B,L4 worst,short_subword,0.0023502368,0.007700369,15236
