model,label,selectivity_baseline,selectivity_abtt,selectivity_gain
KaLM-mini,L1 early,0.5212,0.6627,0.1415
KaLM-mini,L13 mid,0.5241,0.5883,0.0643
KaLM-mini,L23 best,0.5293,0.6205,0.0912
KaLM-mini,L5 worst,0.5245,0.6421,0.1176
LaBSE,L1 worst,0.5189,0.7386,0.2197
LaBSE,L11 best,0.5951,0.6659,0.0709
LaBSE,L6 mid,0.5276,0.6888,0.1612
LaBSE,L9 late,0.5419,0.6696,0.1277
LaTa,L1 early,0.5669,0.748,0.1811
LaTa,L12 best,0.5623,0.6549,0.0926
LaTa,L4 max dip,0.4993,0.6831,0.1838
LaTa,L8 mid dip,0.496,0.6462,0.1502
PhilTa,L1 early,0.5054,0.666,0.1606
PhilTa,L12 best,0.5378,0.5853,0.0474
PhilTa,L6 worst,0.5001,0.5982,0.0981
PhilTa,L9 mid dip,0.4949,0.5841,0.0892
Qwen3-0.6B,L1 early,0.5155,0.7546,0.239
Qwen3-0.6B,L14 mid,0.4956,0.6114,0.1158
Qwen3-0.6B,L28 best,0.4975,0.5966,0.0991
Qwen3-0.6B,L4 worst,0.4881,0.6722,0.1842
