model,layer,label,category,share_baseline,share_abtt
LaTa,1,L1 early,content,0.49750655774983094,0.7496433976202418
LaTa,1,L1 early,short_subword,0.14997199471369896,0.17624736720075707
LaTa,1,L1 early,empty,0.35252144753647013,0.07410923517900118
LaTa,4,L4 max dip,content,0.13781674561021698,0.7263797287068975
LaTa,4,L4 max dip,short_subword,0.0389547161191007,0.16906403042846985
LaTa,4,L4 max dip,empty,0.8232285382706823,0.10455624086463268
LaTa,8,L8 mid dip,content,0.14773639401454006,0.5995620558054124
LaTa,8,L8 mid dip,short_subword,0.04251294381691282,0.14414260526727427
LaTa,8,L8 mid dip,empty,0.8097506621685471,0.2562953389273133
LaTa,12,L12 best,content,0.5758590220256892,0.6155324730721965
LaTa,12,L12 best,short_subword,0.13859443414203124,0.14384282453470115
LaTa,12,L12 best,empty,0.2855465438322796,0.24062470239310235
PhilTa,1,L1 early,content,0.25762412023562165,0.7306074575931997
PhilTa,1,L1 early,short_subword,0.08571486515019254,0.18592902345193854
PhilTa,1,L1 early,empty,0.6566610146141858,0.08346351895486182
PhilTa,6,L6 worst,content,0.2902124709067001,0.6014159267783316
PhilTa,6,L6 worst,short_subword,0.046331531699504,0.2532646247605966
PhilTa,6,L6 worst,empty,0.6634559973937959,0.14531944846107184
PhilTa,9,L9 mid dip,content,0.2989130141869272,0.5385725904736902
PhilTa,9,L9 mid dip,short_subword,0.04739847478193561,0.2662542306058214
PhilTa,9,L9 mid dip,empty,0.6536885110311372,0.19517317892048844
PhilTa,12,L12 best,content,0.4518611281165699,0.5222171672679057
PhilTa,12,L12 best,short_subword,0.22127638970310481,0.2697825259655861
PhilTa,12,L12 best,empty,0.32686248218032526,0.2080003067665082
LaBSE,1,L1 worst,content,0.7500338427569241,0.7462481207112401
LaBSE,1,L1 worst,short_subword,0.24996615724307591,0.25375187928875986
LaBSE,1,L1 worst,empty,0.0,0.0
LaBSE,6,L6 mid,content,0.7806436717454265,0.80075352235077
LaBSE,6,L6 mid,short_subword,0.2193563282545735,0.19924647764922995
LaBSE,6,L6 mid,empty,0.0,0.0
LaBSE,9,L9 late,content,0.8034355581378071,0.8106596273150372
LaBSE,9,L9 late,short_subword,0.19656444186219293,0.18934037268496287
LaBSE,9,L9 late,empty,0.0,0.0
LaBSE,11,L11 best,content,0.8215044946089001,0.8247637912605762
LaBSE,11,L11 best,short_subword,0.1784955053910999,0.17523620873942386
LaBSE,11,L11 best,empty,0.0,0.0
Qwen3-0.6B,1,L1 early,content,0.5310389265202892,0.5701454693645476
Qwen3-0.6B,1,L1 early,short_subword,0.3884733100678116,0.34993390184079043
Qwen3-0.6B,1,L1 early,empty,0.08048776341189927,0.07992062879466204
Qwen3-0.6B,4,L4 worst,content,0.44357608882526484,0.4894896054713087
Qwen3-0.6B,4,L4 worst,short_subword,0.32071326242803155,0.3013271470811736
Qwen3-0.6B,4,L4 worst,empty,0.23571064874670358,0.20918324744751768
Qwen3-0.6B,14,L14 mid,content,0.4312596315188513,0.3883728262196543
Qwen3-0.6B,14,L14 mid,short_subword,0.3171676974576514,0.2503811452409892
Qwen3-0.6B,14,L14 mid,empty,0.2515726710234973,0.3612460285393565
Qwen3-0.6B,28,L28 best,content,0.45938754262294323,0.34145360401400915
Qwen3-0.6B,28,L28 best,short_subword,0.28054832056786316,0.22503950216315444
Qwen3-0.6B,28,L28 best,empty,0.2600641368091936,0.4335068938228364
KaLM-mini,1,L1 early,content,0.526416675119364,0.6022481321396567
KaLM-mini,1,L1 early,short_subword,0.4239022689031913,0.35017716299832335
KaLM-mini,1,L1 early,empty,0.04968105597744469,0.04757470486201998
KaLM-mini,5,L5 worst,content,0.6209113537179184,0.6308851694206058
KaLM-mini,5,L5 worst,short_subword,0.3317098137437115,0.3071333717883784
KaLM-mini,5,L5 worst,empty,0.04737883253837017,0.06198145879101581
KaLM-mini,13,L13 mid,content,0.6218638511038793,0.6473029495043591
KaLM-mini,13,L13 mid,short_subword,0.297057334843195,0.26739806398389376
KaLM-mini,13,L13 mid,empty,0.08107881405292568,0.08529898651174712
KaLM-mini,23,L23 best,content,0.6224748115052031,0.6842642642840213
KaLM-mini,23,L23 best,short_subword,0.29374861060931884,0.26842288914617896
KaLM-mini,23,L23 best,empty,0.08377657788547803,0.047312846569799755
