model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,baseline,0.926087757346137,0.75,0.81875,0.9554323554039001,0.8876996636390686,0.06773269176483154
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,filter_no_empty,0.9243447254364703,0.81875,0.859375,0.9548487067222595,0.8733733296394348,0.08147537708282471
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,filter_content_only,0.9195405643882946,0.85,0.871875,0.9234062433242798,0.7871248126029968,0.13628143072128296
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,abtt_D10,0.9659070692397641,0.875,0.9,0.5523415803909302,0.0009576205629855394,0.5513839598279446
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,baseline,0.8645979492081772,0.64375,0.725,0.9474700093269348,0.885345995426178,0.062124013900756836
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,filter_no_empty,0.8628552270096035,0.71875,0.79375,0.9438868165016174,0.8727344274520874,0.07115238904953003
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,filter_content_only,0.8548877542844217,0.775,0.80625,0.9257387518882751,0.8335134983062744,0.09222525358200073
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,abtt_D10,0.9655430702165043,0.853125,0.896875,0.5245805978775024,0.0008581220172345638,0.5237224758602679
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,baseline,0.8840351740658197,0.615625,0.70625,0.9412868022918701,0.8770431876182556,0.0642436146736145
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,filter_no_empty,0.8873335972071846,0.690625,0.775,0.9395421147346497,0.8685061931610107,0.07103592157363892
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,filter_content_only,0.8803401658697578,0.7625,0.821875,0.9299376606941223,0.8473886251449585,0.08254903554916382
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,abtt_D10,0.9716403967505289,0.821875,0.896875,0.45563650131225586,0.0007668734178878367,0.454869627894368
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,baseline,0.9583953474491685,0.890625,0.909375,0.9672902822494507,0.9116742014884949,0.05561608076095581
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,filter_no_empty,0.9563322733692394,0.89375,0.90625,0.9677591323852539,0.9110110402107239,0.05674809217453003
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,filter_content_only,0.9519320751364421,0.8875,0.915625,0.9662374258041382,0.904238224029541,0.06199920177459717
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,abtt_D10,0.9709984098990037,0.89375,0.91875,0.5354633331298828,0.0011205780319869518,0.5343427550978959
