model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
Qwen/Qwen3-Embedding-0.6B,1,baseline,0.909548488125389,0.6375,0.725,0.9754723906517029,0.9412217140197754,0.03425067663192749
Qwen/Qwen3-Embedding-0.6B,1,filter_no_empty,0.9103594666226347,0.734375,0.81875,0.9731177091598511,0.9290421605110168,0.04407554864883423
Qwen/Qwen3-Embedding-0.6B,1,filter_content_only,0.9145279014078095,0.834375,0.884375,0.9567602872848511,0.8812798261642456,0.07548046112060547
Qwen/Qwen3-Embedding-0.6B,1,abtt_D10,0.9683383345038201,0.865625,0.896875,0.5477727055549622,0.0007565504056401551,0.547016155149322
Qwen/Qwen3-Embedding-0.6B,4,baseline,0.7837485430858349,0.496875,0.575,0.9974666833877563,0.9918377995491028,0.0056288838386535645
Qwen/Qwen3-Embedding-0.6B,4,filter_no_empty,0.8887335355923749,0.825,0.846875,0.9695578217506409,0.9227927923202515,0.046765029430389404
Qwen/Qwen3-Embedding-0.6B,4,filter_content_only,0.8903980446788338,0.85,0.878125,0.9598454833030701,0.8946630358695984,0.06518244743347168
Qwen/Qwen3-Embedding-0.6B,4,abtt_D10,0.9658795491969214,0.865625,0.9,0.525231122970581,0.0009554504067637026,0.5242756725638174
Qwen/Qwen3-Embedding-0.6B,14,baseline,0.857282108622848,0.603125,0.671875,0.9931407570838928,0.9795939326286316,0.01354682445526123
Qwen/Qwen3-Embedding-0.6B,14,filter_no_empty,0.9129363071615514,0.821875,0.853125,0.9818926453590393,0.9546788334846497,0.02721381187438965
Qwen/Qwen3-Embedding-0.6B,14,filter_content_only,0.9094032336227318,0.85,0.878125,0.9783421158790588,0.9445090293884277,0.033833086490631104
Qwen/Qwen3-Embedding-0.6B,14,abtt_D10,0.9719106639236882,0.865625,0.903125,0.5017127394676208,0.0007103655370883644,0.5010023739305325
Qwen/Qwen3-Embedding-0.6B,28,baseline,0.9519012478215697,0.83125,0.884375,0.9427138566970825,0.8430415987968445,0.09967225790023804
Qwen/Qwen3-Embedding-0.6B,28,filter_no_empty,0.9527088969245645,0.859375,0.884375,0.946785569190979,0.8477607369422913,0.09902483224868774
Qwen/Qwen3-Embedding-0.6B,28,filter_content_only,0.9429267384161083,0.865625,0.896875,0.9421319365501404,0.8337042927742004,0.10842764377593994
Qwen/Qwen3-Embedding-0.6B,28,abtt_D10,0.9706264911206492,0.86875,0.903125,0.5489004850387573,0.0002361197111895308,0.5486643653275678
