model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,baseline,0.926087757346137,0.75,0.81875,0.9554323554039,0.8876996636390686,0.0677326917648315
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,filter_no_empty,0.9243447254364704,0.81875,0.859375,0.9548487067222596,0.8733733296394348,0.0814753770828247
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,filter_content_only,0.9195405643882946,0.85,0.871875,0.9234062433242798,0.7871248126029968,0.1362814307212829
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,abtt_D10,0.965907069239764,0.875,0.9,0.5523415803909302,0.0009576205629855,0.5513839598279446
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,baseline,0.8645979492081772,0.64375,0.725,0.9474700093269348,0.885345995426178,0.0621240139007568
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,filter_no_empty,0.8628552270096035,0.71875,0.79375,0.9438868165016174,0.8727344274520874,0.07115238904953
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,filter_content_only,0.8548877542844217,0.775,0.80625,0.9257387518882751,0.8335134983062744,0.0922252535820007
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,abtt_D10,0.9655430702165044,0.853125,0.896875,0.5245805978775024,0.0008581220172345,0.5237224758602679
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,baseline,0.8840351740658197,0.615625,0.70625,0.94128680229187,0.8770431876182556,0.0642436146736145
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,filter_no_empty,0.8873335972071846,0.690625,0.775,0.9395421147346495,0.8685061931610107,0.0710359215736389
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,filter_content_only,0.8803401658697578,0.7625,0.821875,0.9299376606941224,0.8473886251449585,0.0825490355491638
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,abtt_D10,0.9716403967505288,0.821875,0.896875,0.4556365013122558,0.0007668734178878,0.454869627894368
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,baseline,0.9583953474491684,0.890625,0.909375,0.9672902822494508,0.9116742014884948,0.0556160807609558
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,filter_no_empty,0.9563322733692394,0.89375,0.90625,0.967759132385254,0.911011040210724,0.05674809217453
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,filter_content_only,0.951932075136442,0.8875,0.915625,0.9662374258041382,0.904238224029541,0.0619992017745971
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,abtt_D10,0.9709984098990035,0.89375,0.91875,0.5354633331298828,0.0011205780319869,0.5343427550978959
Qwen/Qwen3-Embedding-0.6B,1,baseline,0.909548488125389,0.6375,0.725,0.9754723906517028,0.9412217140197754,0.0342506766319274
Qwen/Qwen3-Embedding-0.6B,1,filter_no_empty,0.9103594666226348,0.734375,0.81875,0.9731177091598512,0.9290421605110168,0.0440755486488342
Qwen/Qwen3-Embedding-0.6B,1,filter_content_only,0.9145279014078096,0.834375,0.884375,0.9567602872848512,0.8812798261642456,0.0754804611206054
Qwen/Qwen3-Embedding-0.6B,1,abtt_D10,0.96833833450382,0.865625,0.896875,0.5477727055549622,0.0007565504056401,0.547016155149322
Qwen/Qwen3-Embedding-0.6B,4,baseline,0.7837485430858349,0.496875,0.575,0.9974666833877563,0.9918377995491028,0.0056288838386535
Qwen/Qwen3-Embedding-0.6B,4,filter_no_empty,0.8887335355923749,0.825,0.846875,0.9695578217506408,0.9227927923202516,0.0467650294303894
Qwen/Qwen3-Embedding-0.6B,4,filter_content_only,0.8903980446788338,0.85,0.878125,0.95984548330307,0.8946630358695984,0.0651824474334716
Qwen/Qwen3-Embedding-0.6B,4,abtt_D10,0.9658795491969214,0.865625,0.9,0.525231122970581,0.0009554504067637,0.5242756725638174
Qwen/Qwen3-Embedding-0.6B,14,baseline,0.857282108622848,0.603125,0.671875,0.9931407570838928,0.9795939326286316,0.0135468244552612
Qwen/Qwen3-Embedding-0.6B,14,filter_no_empty,0.9129363071615514,0.821875,0.853125,0.9818926453590392,0.9546788334846495,0.0272138118743896
Qwen/Qwen3-Embedding-0.6B,14,filter_content_only,0.9094032336227318,0.85,0.878125,0.9783421158790588,0.9445090293884276,0.0338330864906311
Qwen/Qwen3-Embedding-0.6B,14,abtt_D10,0.9719106639236882,0.865625,0.903125,0.5017127394676208,0.0007103655370883,0.5010023739305325
Qwen/Qwen3-Embedding-0.6B,28,baseline,0.9519012478215696,0.83125,0.884375,0.9427138566970824,0.8430415987968445,0.099672257900238
Qwen/Qwen3-Embedding-0.6B,28,filter_no_empty,0.9527088969245644,0.859375,0.884375,0.946785569190979,0.8477607369422913,0.0990248322486877
Qwen/Qwen3-Embedding-0.6B,28,filter_content_only,0.9429267384161084,0.865625,0.896875,0.9421319365501404,0.8337042927742004,0.1084276437759399
Qwen/Qwen3-Embedding-0.6B,28,abtt_D10,0.9706264911206492,0.86875,0.903125,0.5489004850387573,0.0002361197111895,0.5486643653275678
bowphs/LaTa,1,baseline,0.8671458428210008,0.690625,0.75625,0.8512058854103088,0.6431891918182373,0.2080166935920715
bowphs/LaTa,1,filter_no_empty,0.9287383533696502,0.88125,0.9125,0.8082449436187744,0.4873705506324768,0.3208743929862976
bowphs/LaTa,1,filter_content_only,0.9307484226082195,0.903125,0.915625,0.7940912842750549,0.4278149306774139,0.366276353597641
bowphs/LaTa,1,abtt_D10,0.950845829844106,0.896875,0.93125,0.5577273964881897,0.0010733447270467,0.5566540517611429
bowphs/LaTa,4,baseline,0.4677970590631001,0.059375,0.078125,0.9336580634117126,0.9046412706375122,0.0290167927742004
bowphs/LaTa,4,filter_no_empty,0.9131944292354176,0.83125,0.85625,0.8877729773521423,0.7175449132919312,0.1702280640602111
bowphs/LaTa,4,filter_content_only,0.9249044176261184,0.834375,0.875,0.8879696726799011,0.7017841339111328,0.1861855387687683
bowphs/LaTa,4,abtt_D10,0.9568913350755908,0.89375,0.91875,0.5671676397323608,0.0013722860021516,0.5657953537302092
bowphs/LaTa,8,baseline,0.4634420565276723,0.034375,0.046875,0.9147970080375672,0.8912863731384277,0.0235106348991394
bowphs/LaTa,8,filter_no_empty,0.8826638507734083,0.765625,0.796875,0.90558123588562,0.7837953567504883,0.1217858791351318
bowphs/LaTa,8,filter_content_only,0.8944366220271218,0.7875,0.8125,0.9085273146629332,0.7769507765769958,0.1315765380859375
bowphs/LaTa,8,abtt_D10,0.9541500600684664,0.896875,0.9125,0.5561272501945496,0.0009777358500286,0.5551495143445209
bowphs/LaTa,12,baseline,0.9291783422218204,0.8125,0.875,0.8139119148254395,0.5657724738121033,0.2481394410133361
bowphs/LaTa,12,filter_no_empty,0.9281388964878718,0.828125,0.878125,0.8246299028396606,0.5699113011360168,0.2547186017036438
bowphs/LaTa,12,filter_content_only,0.933716737968797,0.85625,0.8875,0.8235007524490356,0.5435339212417603,0.2799668312072754
bowphs/LaTa,12,abtt_D10,0.9629464745342928,0.8875,0.91875,0.5378729104995728,0.0005653278785757,0.537307582620997
bowphs/PhilTa,1,baseline,0.7816515335189919,0.609375,0.659375,0.9576357007026672,0.9122490882873536,0.0453866124153137
bowphs/PhilTa,1,filter_no_empty,0.9389795479625014,0.859375,0.896875,0.8522822856903076,0.5894064903259277,0.2628757953643799
bowphs/PhilTa,1,filter_content_only,0.9391514929247164,0.884375,0.90625,0.8327045440673828,0.5263978242874146,0.3063067197799682
bowphs/PhilTa,1,abtt_D10,0.9644283093813836,0.903125,0.925,0.5629788041114807,0.0011636742856353,0.5618151298258454
