model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
bowphs/LaTa,1,baseline,0.8671458428210008,0.690625,0.75625,0.8512058854103088,0.6431891918182373,0.20801669359207153
bowphs/LaTa,1,filter_no_empty,0.9287383533696502,0.88125,0.9125,0.8082449436187744,0.4873705506324768,0.3208743929862976
bowphs/LaTa,1,filter_content_only,0.9307484226082195,0.903125,0.915625,0.7940912842750549,0.42781493067741394,0.366276353597641
bowphs/LaTa,1,abtt_D10,0.950845829844106,0.896875,0.93125,0.5577273964881897,0.0010733447270467877,0.5566540517611429
bowphs/LaTa,4,baseline,0.4677970590631001,0.059375,0.078125,0.9336580634117126,0.9046412706375122,0.02901679277420044
bowphs/LaTa,4,filter_no_empty,0.9131944292354175,0.83125,0.85625,0.8877729773521423,0.7175449132919312,0.17022806406021118
bowphs/LaTa,4,filter_content_only,0.9249044176261185,0.834375,0.875,0.8879696726799011,0.7017841339111328,0.1861855387687683
bowphs/LaTa,4,abtt_D10,0.9568913350755909,0.89375,0.91875,0.5671676397323608,0.001372286002151668,0.5657953537302092
bowphs/LaTa,8,baseline,0.4634420565276723,0.034375,0.046875,0.9147970080375671,0.8912863731384277,0.023510634899139404
bowphs/LaTa,8,filter_no_empty,0.8826638507734083,0.765625,0.796875,0.9055812358856201,0.7837953567504883,0.12178587913513184
bowphs/LaTa,8,filter_content_only,0.8944366220271218,0.7875,0.8125,0.9085273146629333,0.7769507765769958,0.1315765380859375
bowphs/LaTa,8,abtt_D10,0.9541500600684665,0.896875,0.9125,0.5561272501945496,0.0009777358500286937,0.5551495143445209
bowphs/LaTa,12,baseline,0.9291783422218205,0.8125,0.875,0.8139119148254395,0.5657724738121033,0.24813944101333618
bowphs/LaTa,12,filter_no_empty,0.9281388964878718,0.828125,0.878125,0.8246299028396606,0.5699113011360168,0.2547186017036438
bowphs/LaTa,12,filter_content_only,0.933716737968797,0.85625,0.8875,0.8235007524490356,0.5435339212417603,0.2799668312072754
bowphs/LaTa,12,abtt_D10,0.9629464745342928,0.8875,0.91875,0.5378729104995728,0.000565327878575772,0.537307582620997
