model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
google/mt5-base,1,baseline,0.8539009041307452,0.53125,0.615625,0.9615192413330078,0.9063603281974792,0.055158913135528564
google/mt5-base,1,filter_no_empty,0.8816012873185828,0.703125,0.753125,0.9821781516075134,0.9509779810905457,0.031200170516967773
google/mt5-base,1,filter_content_only,0.8889131459041438,0.76875,0.803125,0.9733509421348572,0.9278351068496704,0.04551583528518677
google/mt5-base,1,abtt_D10,0.967781861097318,0.8875,0.90625,0.5457661747932434,0.0009642181103117764,0.5448019566829316
google/mt5-base,4,baseline,0.7096496331317247,0.2375,0.3,0.9760338068008423,0.952301025390625,0.023732781410217285
google/mt5-base,4,filter_no_empty,0.843432270984464,0.60625,0.684375,0.9608054161071777,0.9162399172782898,0.04456549882888794
google/mt5-base,4,filter_content_only,0.853839813617634,0.690625,0.74375,0.9655725955963135,0.9246847033500671,0.04088789224624634
google/mt5-base,4,abtt_D10,0.9715484125558823,0.83125,0.890625,0.49939653277397156,0.0011927532032132149,0.49820377957075834
google/mt5-base,8,baseline,0.6910223359658334,0.18125,0.234375,0.9997831583023071,0.9995424151420593,0.00024074316024780273
google/mt5-base,8,filter_no_empty,0.7036294357209891,0.409375,0.478125,0.6755280494689941,0.43522462248802185,0.2403034269809723
google/mt5-base,8,filter_content_only,0.738295332003434,0.5375,0.575,0.7879961729049683,0.5810616612434387,0.20693451166152954
google/mt5-base,8,abtt_D10,0.9531148286176058,0.78125,0.83125,0.4540310502052307,0.0016537966439500451,0.45237725356128067
google/mt5-base,12,baseline,0.845710030157454,0.5375,0.625,0.9066778421401978,0.816295862197876,0.09038197994232178
google/mt5-base,12,filter_no_empty,0.852013137590613,0.609375,0.6875,0.9129173755645752,0.8227987885475159,0.09011858701705933
google/mt5-base,12,filter_content_only,0.8586965591849713,0.671875,0.734375,0.9046486020088196,0.8008086085319519,0.10383999347686768
google/mt5-base,12,abtt_D10,0.9507062496911185,0.778125,0.8375,0.42681923508644104,0.001204814063385129,0.4256144210230559
