example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot
1,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,66,67,133,135,/u/irowerojas/localLatin/canon/CANC.314.22/Brn425.27r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.22/D1723.530.7.txt,CANC.314.22,CANC.314.22,CANC.314.22,pair_example,1,-0.2766897,0.9018514,0,1,correct_similar,1,-1.2063379494389097,0.3390373452823965,1.2063379494389097,0.3390373452823965,1
2,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,101,102,211,213,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,CANT.328.15,CANT.328.15,CANT.328.15,pair_example,1,-0.28620812,0.87674725,0,1,correct_similar,1,-1.2158563641747038,0.313933180205187,1.2158563641747038,0.313933180205187,2
3,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,72,73,145,146,/u/irowerojas/localLatin/canon/CANC.314.24/Brn425.21v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.24/C1525.21v.1.txt,CANC.314.24,CANC.314.24,CANC.314.24,pair_example,1,-0.510594,0.8559413,0,1,correct_similar,1,-1.4402422515591184,0.2931272252720205,1.4402422515591184,0.2931272252720205,3
4,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,559,560,1120,1123,/u/irowerojas/localLatin/canon/Can.apost.33/BAV1341.7v.3.txt,/u/irowerojas/localLatin/canon/Can.apost.33/KoeD213.7v.3.txt,Can.apost.33,Can.apost.33,Can.apost.33,pair_example,1,-0.23792318,0.85254014,0,1,correct_similar,1,-1.167571416302542,0.28972606503184717,1.167571416302542,0.28972606503184717,4
5,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,323,324,652,655,/u/irowerojas/localLatin/canon/CNEO.315.4/BAV1341.12v.19.txt,/u/irowerojas/localLatin/canon/CNEO.315.4/KoeD213.25v.4.txt,CNEO.315.4,CNEO.315.4,CNEO.315.4,pair_example,1,-0.35706517,0.8432014,0,1,correct_similar,1,-1.2867134122093717,0.2803873284977285,1.2867134122093717,0.2803873284977285,5
6,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,101,102,211,213,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,CANT.328.15,CANT.328.15,CANT.328.15,pair_example,1,0.7850884,0.8958514,0,1,correct_similar,1,-0.18978595194505077,0.4335398158835406,0.18978595194505077,0.4335398158835406,1
7,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,262,263,532,535,/u/irowerojas/localLatin/canon/CGAN.355.8/Brn425.36r.6.txt,/u/irowerojas/localLatin/canon/CGAN.355.8/Hat42.165r.1.txt,CGAN.355.8,CGAN.355.8,CGAN.355.8,pair_example,1,0.9434382,0.86850476,0,1,correct_similar,1,-0.03143619951890331,0.4061932048605914,0.03143619951890331,0.4061932048605914,2
8,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,526,527,1040,1041,/u/irowerojas/localLatin/canon/Can.apost.19/C1525.5v.3.txt,/u/irowerojas/localLatin/canon/Can.apost.19/Hat42.146r.1.txt,Can.apost.19,Can.apost.19,Can.apost.19,pair_example,1,0.8956453,0.8367031,0,1,correct_similar,1,-0.07922905144379955,0.37439156387319517,0.07922905144379955,0.37439156387319517,3
9,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,378,379,769,772,/u/irowerojas/localLatin/canon/CNIC.325.9/Brn425.20r.2.txt,/u/irowerojas/localLatin/canon/CNIC.325.9/Hat42.152v.1.txt,CNIC.325.9,CNIC.325.9,CNIC.325.9,pair_example,1,0.957208,0.8317381,0,1,correct_similar,1,-0.01766639408753734,0.3694265565680499,0.01766639408753734,0.3694265565680499,4
10,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,66,67,133,135,/u/irowerojas/localLatin/canon/CANC.314.22/Brn425.27r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.22/D1723.530.7.txt,CANC.314.22,CANC.314.22,CANC.314.22,pair_example,1,0.8887751,0.8305083,0,1,correct_similar,1,-0.0860992616145454,0.36819673393239927,0.0860992616145454,0.36819673393239927,5
