model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/LaTa,hidden,mean,0,baseline,0,0.001,clean,943,335,0.8567164179104477,0.8955223880597015,0.8955223880597015,0.8567164179104477,0.8955223880597015,0.8955223880597015,0.8665947914123535,0.6736811399459839,0.19291365146636963,0.6740915179252625
bowphs/LaTa,hidden,mean,0,abtt,10,0.001,clean,943,335,0.9402985074626866,0.9671641791044776,0.9761194029850746,0.9402985074626866,0.9671641791044776,0.9761194029850746,0.590143084526062,-0.001261865021660924,0.5914049495477229,-2.9598686523968354e-06
bowphs/LaTa,hidden,mean,1,baseline,0,0.001,clean,943,335,0.7731343283582089,0.8208955223880597,0.8417910447761194,0.7731343283582089,0.8208955223880597,0.8417910447761194,0.8588610887527466,0.6615082025527954,0.19735288619995117,0.6619284749031067
bowphs/LaTa,hidden,mean,1,abtt,10,0.001,clean,943,335,0.9283582089552239,0.9552238805970149,0.9641791044776119,0.9283582089552239,0.9552238805970149,0.9641791044776119,0.5848523378372192,-0.0010131227318197489,0.585865460569039,0.00023399059136863798
bowphs/LaTa,hidden,mean,2,baseline,0,0.001,clean,943,335,0.208955223880597,0.2626865671641791,0.2716417910447761,0.208955223880597,0.2626865671641791,0.2716417910447761,0.8925982713699341,0.8680230379104614,0.024575233459472656,0.8680753707885742
bowphs/LaTa,hidden,mean,2,abtt,10,0.001,clean,943,335,0.9223880597014925,0.9462686567164179,0.9582089552238806,0.9223880597014925,0.9462686567164179,0.9582089552238806,0.5741721987724304,-0.0008146924083121121,0.5749868911807425,0.0004092640010640025
bowphs/LaTa,hidden,mean,3,baseline,0,0.001,clean,943,335,0.09253731343283582,0.10149253731343283,0.11641791044776119,0.09253731343283582,0.10149253731343283,0.11641791044776119,0.9394413232803345,0.9185057282447815,0.02093559503555298,0.9185504913330078
bowphs/LaTa,hidden,mean,3,abtt,10,0.001,clean,943,335,0.8985074626865671,0.9313432835820895,0.9313432835820895,0.8985074626865671,0.9313432835820895,0.9313432835820895,0.5687490105628967,-0.0008412109455093741,0.5695902215084061,0.00037125806557014585
bowphs/LaTa,hidden,mean,4,baseline,0,0.001,clean,943,335,0.07761194029850746,0.09850746268656717,0.11044776119402985,0.07761194029850746,0.09850746268656717,0.11044776119402985,0.9256196618080139,0.906440019607544,0.01917964220046997,0.9064804911613464
bowphs/LaTa,hidden,mean,4,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9313432835820895,0.9432835820895522,0.9044776119402985,0.9313432835820895,0.9432835820895522,0.5850992202758789,-0.0010837774025276303,0.5861829976784065,0.00016401206084992737
bowphs/LaTa,hidden,mean,5,baseline,0,0.001,clean,943,335,0.06865671641791045,0.09253731343283582,0.0955223880597015,0.06865671641791045,0.09253731343283582,0.0955223880597015,0.9244971871376038,0.904842734336853,0.019654452800750732,0.904884397983551
bowphs/LaTa,hidden,mean,5,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9313432835820895,0.9373134328358209,0.9104477611940298,0.9313432835820895,0.9373134328358209,0.5964128375053406,-0.001225474406965077,0.5976383119123057,4.669975896831602e-05
bowphs/LaTa,hidden,mean,6,baseline,0,0.001,clean,943,335,0.06567164179104477,0.07462686567164178,0.08059701492537313,0.06567164179104477,0.07462686567164178,0.08059701492537313,0.92461758852005,0.9049186110496521,0.01969897747039795,0.9049607515335083
bowphs/LaTa,hidden,mean,6,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9283582089552239,0.9402985074626866,0.9104477611940298,0.9283582089552239,0.9402985074626866,0.5920562744140625,-0.0012085121124982834,0.5932647865265608,5.435206549009308e-05
