model,language,layer,method,pooling,D,spearman_test,baseline_spearman,performance_delta,labse_spearman,recovery_rate,n_test_pairs
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,english,23,baseline,lasttok,0,0.234504114607831,0.8406618664311964,-0.6061577518233654,0.7457104708331895,6.383874065312727,3564
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,english,23,abtt_optimal,lasttok,10,0.4886785238126589,0.8406618664311964,-0.3519833426185375,0.7457104708331895,3.70698440398622,3564
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,english,23,optimal_transport,none,0,0.445982725727259,0.8406618664311964,-0.3946791407039374,0.7457104708331895,4.156643914691676,3564
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,french,23,baseline,lasttok,0,0.1992154620077526,0.8667994637709916,-0.667584001763239,0.8823995291779473,-42.79366684357487,505
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,french,23,abtt_optimal,lasttok,10,0.6166137402686257,0.8667994637709916,-0.2501857235023659,0.8823995291779473,-16.037479137158886,505
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,french,23,optimal_transport,none,0,0.3617181874339421,0.8667994637709916,-0.5050812763370495,0.8823995291779473,-32.37686914516692,505
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,serbian,0,baseline,lasttok,0,0.1260679676826666,0.5326664405208587,-0.406598472838192,0.7570294256777488,-1.81223508215435,596
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,serbian,0,abtt_optimal,lasttok,3,0.150307561718568,0.5326664405208587,-0.3823588788022906,0.7570294256777488,-1.7041976800893373,596
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,serbian,0,optimal_transport,none,0,0.2874456066049882,0.5326664405208587,-0.2452208339158704,0.7570294256777488,-1.0929647497085808,596
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sinhala,23,baseline,lasttok,0,0.0960165845608504,0.4678800788715301,-0.3718634943106796,0.6388178916200952,-2.175431452709993,2548
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sinhala,23,abtt_optimal,lasttok,10,0.3047058172515646,0.4678800788715301,-0.1631742616199654,0.6388178916200952,-0.9545825993455344,2548
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sinhala,23,optimal_transport,none,0,0.2169866111707277,0.4678800788715301,-0.2508934677008023,0.6388178916200952,-1.4677470342377974,2548
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,tamil,19,baseline,lasttok,0,-0.0179706896981245,0.3297072283945736,-0.3476779180926981,0.4498233912935167,-2.89451402460474,1300
