model,repr,layer,method,D,D_source,sif_a,spearman_test,auc_roc_test,acc_at_1_test,acc_at_3_test,acc_at_5_test,spearman_train,n_train_files,n_test_files,n_pos_test_pairs,n_neg_test_pairs
bowphs/LaTa,hidden,0,baseline_mean,0,none,0.001,0.0626536413926569,0.9157014538733476,0.8178571428571428,0.8553571428571428,0.8625,nan,578,700,464,244186
bowphs/LaTa,hidden,0,sif_abtt_optimal,5,train_sweep,0.001,0.07223953522682779,0.9793030245880967,0.9410714285714286,0.9642857142857143,0.9678571428571429,0.06526051453419474,578,700,464,244186
bowphs/LaTa,hidden,0,whitening,0,none,0.001,0.015597586677419537,0.6034856360908601,0.23214285714285715,0.2642857142857143,0.2857142857142857,nan,578,700,464,244186
bowphs/LaTa,hidden,1,baseline_mean,0,none,0.001,0.05452103876467552,0.8617423437390999,0.7392857142857143,0.7767857142857143,0.7982142857142858,nan,578,700,464,244186
bowphs/LaTa,hidden,1,sif_abtt_optimal,5,train_sweep,0.001,0.07279810454726031,0.9830090833810405,0.9321428571428572,0.9607142857142857,0.9660714285714286,0.0658638856598829,578,700,464,244186
bowphs/LaTa,hidden,1,whitening,0,none,0.001,0.013077619945729658,0.5867687341997918,0.28035714285714286,0.3125,0.32142857142857145,nan,578,700,464,244186
bowphs/LaTa,hidden,2,baseline_mean,0,none,0.001,0.004596685434425513,0.530498607512871,0.18928571428571428,0.21964285714285714,0.22857142857142856,nan,578,700,464,244186
bowphs/LaTa,hidden,2,sif_abtt_optimal,1,train_sweep,0.001,0.07195831575022094,0.9774371578533831,0.9053571428571429,0.9482142857142857,0.9589285714285715,0.06551915277548372,578,700,464,244186
bowphs/LaTa,hidden,2,whitening,0,none,0.001,0.014133916894166503,0.5937773074764657,0.2857142857142857,0.3196428571428571,0.32857142857142857,nan,578,700,464,244186
bowphs/LaTa,hidden,3,baseline_mean,0,none,0.001,-0.002731010961145895,0.48187998012820643,0.08571428571428572,0.11071428571428571,0.12142857142857143,nan,578,700,464,244186
bowphs/LaTa,hidden,3,sif_abtt_optimal,2,train_sweep,0.001,0.0727545129810003,0.9827198571354736,0.925,0.95,0.9571428571428572,0.06620845720579803,578,700,464,244186
bowphs/LaTa,hidden,3,whitening,0,none,0.001,0.01485226518195652,0.5985434859294654,0.2857142857142857,0.32142857142857145,0.325,nan,578,700,464,244186
bowphs/LaTa,hidden,4,baseline_mean,0,none,0.001,-0.003804820755771851,0.47475534566357985,0.0625,0.08571428571428572,0.09821428571428571,nan,578,700,464,244186
bowphs/LaTa,hidden,4,sif_abtt_optimal,2,train_sweep,0.001,0.07285443703575636,0.9833828445359769,0.9142857142857143,0.9482142857142857,0.9553571428571429,0.06615293145985336,578,700,464,244186
bowphs/LaTa,hidden,4,whitening,0,none,0.001,0.010413963989359764,0.5690957440724241,0.2625,0.30357142857142855,0.325,nan,578,700,464,244186
bowphs/LaTa,hidden,5,baseline_mean,0,none,0.001,-0.0038567475296642285,0.47441081604130486,0.060714285714285714,0.07321428571428572,0.08214285714285714,nan,578,700,464,244186
bowphs/LaTa,hidden,5,sif_abtt_optimal,2,train_sweep,0.001,0.07280791497756786,0.9830741747316983,0.9196428571428571,0.9464285714285714,0.9535714285714286,0.0660332942299038,578,700,464,244186
bowphs/LaTa,hidden,5,whitening,0,none,0.001,0.01402858810621267,0.5930784602579662,0.2839285714285714,0.3125,0.31607142857142856,nan,578,700,464,244186
bowphs/LaTa,hidden,6,baseline_mean,0,none,0.001,-0.003971100565785755,0.4736520936061459,0.05,0.0625,0.07142857142857142,nan,578,700,464,244186
bowphs/LaTa,hidden,6,sif_abtt_optimal,2,train_sweep,0.001,0.07273110762218613,0.9825645646182093,0.9196428571428571,0.9446428571428571,0.95,0.06587642577251414,578,700,464,244186
bowphs/LaTa,hidden,6,whitening,0,none,0.001,0.013780142116810003,0.5914300427641789,0.3,0.3267857142857143,0.3357142857142857,nan,578,700,464,244186
bowphs/LaTa,hidden,7,baseline_mean,0,none,0.001,-0.004080492517191154,0.47292628753604166,0.05178571428571429,0.06428571428571428,0.06785714285714285,nan,578,700,464,244186
bowphs/LaTa,hidden,7,sif_abtt_optimal,2,train_sweep,0.001,0.07277127917267413,0.9828310993569911,0.9142857142857143,0.9392857142857143,0.95,0.06602341778398176,578,700,464,244186
bowphs/LaTa,hidden,7,whitening,0,none,0.001,0.01750278073545578,0.6161294257528956,0.2839285714285714,0.31785714285714284,0.3267857142857143,nan,578,700,464,244186
bowphs/LaTa,hidden,8,baseline_mean,0,none,0.001,-0.004052171301384743,0.47311419633620166,0.05714285714285714,0.06607142857142857,0.07142857142857142,nan,578,700,464,244186
bowphs/LaTa,hidden,8,sif_abtt_optimal,2,train_sweep,0.001,0.07274023032470055,0.9826250929548617,0.9053571428571429,0.9339285714285714,0.9446428571428571,0.06604388562674883,578,700,464,244186
bowphs/LaTa,hidden,8,whitening,0,none,0.001,0.010122147253749903,0.5671595654400814,0.2571428571428571,0.2910714285714286,0.3,nan,578,700,464,244186
bowphs/LaTa,hidden,9,baseline_mean,0,none,0.001,-0.00392446277776347,0.4739615312677137,0.0625,0.06785714285714285,0.07678571428571429,nan,578,700,464,244186
bowphs/LaTa,hidden,9,sif_abtt_optimal,2,train_sweep,0.001,0.07282241313077684,0.9831703687155382,0.9071428571428571,0.9392857142857143,0.9482142857142857,0.06632692394087546,578,700,464,244186
bowphs/LaTa,hidden,9,whitening,0,none,0.001,0.014601789265193453,0.5968816000423082,0.2732142857142857,0.29642857142857143,0.30178571428571427,nan,578,700,464,244186
bowphs/LaTa,hidden,10,baseline_mean,0,none,0.001,-0.003779443334170524,0.4749237226455695,0.06607142857142857,0.07321428571428572,0.08214285714285714,nan,578,700,464,244186
bowphs/LaTa,hidden,10,sif_abtt_optimal,2,train_sweep,0.001,0.0726211124124663,0.9818347559816611,0.9,0.9339285714285714,0.9446428571428571,0.06635916000235875,578,700,464,244186
bowphs/LaTa,hidden,10,whitening,0,none,0.001,0.010426377676209901,0.5691781077991142,0.24285714285714285,0.2857142857142857,0.2982142857142857,nan,578,700,464,244186
bowphs/LaTa,hidden,11,baseline_mean,0,none,0.001,-0.0035253565147724546,0.4766095665627418,0.06607142857142857,0.07678571428571429,0.08571428571428572,nan,578,700,464,244186
bowphs/LaTa,hidden,11,sif_abtt_optimal,2,train_sweep,0.001,0.07272875977005092,0.9825489868237808,0.8982142857142857,0.9375,0.9482142857142857,0.06652834712740567,578,700,464,244186
bowphs/LaTa,hidden,11,whitening,0,none,0.001,0.013358346822736566,0.5886314677237278,0.2571428571428571,0.2910714285714286,0.3125,nan,578,700,464,244186
bowphs/LaTa,hidden,12,baseline_mean,0,none,0.001,0.06688634123947884,0.9437850487135725,0.7892857142857143,0.8625,0.8839285714285714,nan,578,700,464,244186
bowphs/LaTa,hidden,12,sif_abtt_optimal,10,train_sweep,0.001,0.07332084418086961,0.9864774153224634,0.9375,0.9553571428571429,0.9607142857142857,0.06546080518784769,578,700,464,244186
bowphs/LaTa,hidden,12,whitening,0,none,0.001,0.009488932949538512,0.5629580577637681,0.22857142857142856,0.25357142857142856,0.2732142857142857,nan,578,700,464,244186
bowphs/LaTa,ff1,0,baseline_mean,0,none,0.001,0.048048283791494235,0.8187961782312918,0.5982142857142857,0.6571428571428571,0.6857142857142857,nan,578,700,464,244186
bowphs/LaTa,ff1,0,sif_abtt_optimal,5,train_sweep,0.001,0.07219545812740562,0.9790105768722939,0.9303571428571429,0.9553571428571429,0.9625,0.06582467091815887,578,700,464,244186
bowphs/LaTa,ff1,0,whitening,0,none,0.001,0.010122229012590838,0.5671599361298072,0.3125,0.3375,0.34464285714285714,nan,578,700,464,244186
bowphs/LaTa,ff1,1,baseline_mean,0,none,0.001,0.004542046991080168,0.5301360861999771,0.10892857142857143,0.1375,0.16071428571428573,nan,578,700,464,244186
bowphs/LaTa,ff1,1,sif_abtt_optimal,5,train_sweep,0.001,0.07221071650582457,0.9791118148841882,0.8964285714285715,0.925,0.9392857142857143,0.06539942064054471,578,700,464,244186
bowphs/LaTa,ff1,1,whitening,0,none,0.001,0.009722476801274712,0.5645077835310393,0.2910714285714286,0.32321428571428573,0.3410714285714286,nan,578,700,464,244186
bowphs/LaTa,ff1,2,baseline_mean,0,none,0.001,-0.003253169285227803,0.4784155051251208,0.06964285714285715,0.09285714285714286,0.10714285714285714,nan,578,700,464,244186
bowphs/LaTa,ff1,2,sif_abtt_optimal,3,train_sweep,0.001,0.0722337114893514,0.979264384597157,0.9053571428571429,0.9464285714285714,0.9535714285714286,0.06552931077287473,578,700,464,244186
