model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,english,0,baseline_mean,0,none,0.001,0.4406203931786938,0.46741845238332325,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,0,sif_abtt_optimal,2,train_sweep,0.001,0.6676279699024573,0.6683142774140718,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,0,whitening,0,none,0.001,0.6610175411393258,0.6632181988962426,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,1,baseline_mean,0,none,0.001,0.4644253679753111,0.5034584109978891,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,1,sif_abtt_optimal,10,train_sweep,0.001,0.6703153512380016,0.6758019069316193,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,1,whitening,0,none,0.001,0.6430098890543914,0.6558123675218319,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,2,baseline_mean,0,none,0.001,0.4497554799216759,0.4968611407705504,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,2,sif_abtt_optimal,10,train_sweep,0.001,0.6563885188176011,0.6670180820626065,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,2,whitening,0,none,0.001,0.6315897484749845,0.6472374220154973,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,3,baseline_mean,0,none,0.001,0.12226306960101278,0.1424998827572988,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,3,sif_abtt_optimal,10,train_sweep,0.001,0.6280585306420172,0.6506847439244771,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,3,whitening,0,none,0.001,0.6235011482283789,0.6419977147560961,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,4,baseline_mean,0,none,0.001,0.1372343998076745,0.15163739807830043,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,4,sif_abtt_optimal,10,train_sweep,0.001,0.6394194205914663,0.6585966921804809,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,4,whitening,0,none,0.001,0.6287828551956776,0.6448136789322023,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,5,baseline_mean,0,none,0.001,0.14746608384370882,0.16209361890505342,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,5,sif_abtt_optimal,10,train_sweep,0.001,0.6403407664898864,0.6655708760658914,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,5,whitening,0,none,0.001,0.6284937083641583,0.6455414512403045,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,6,baseline_mean,0,none,0.001,0.17888344419543245,0.19269190665884878,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,6,sif_abtt_optimal,10,train_sweep,0.001,0.6575369756963448,0.6817609185383616,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,6,whitening,0,none,0.001,0.6318574011206365,0.6508307252543318,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,7,baseline_mean,0,none,0.001,0.1997095593832207,0.21215225749548908,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,7,sif_abtt_optimal,10,train_sweep,0.001,0.6607380255432768,0.6867252345218081,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,7,whitening,0,none,0.001,0.635370791577735,0.6527403370418522,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,8,baseline_mean,0,none,0.001,0.1863511212416901,0.19620441572336283,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,8,sif_abtt_optimal,10,train_sweep,0.001,0.6579960057919214,0.6868849457127333,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,8,whitening,0,none,0.001,0.6348182725839473,0.6538579360156136,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,9,baseline_mean,0,none,0.001,0.18602250835581471,0.19207029645097423,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,9,sif_abtt_optimal,10,train_sweep,0.001,0.6616560908181858,0.68993830369668,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,9,whitening,0,none,0.001,0.6324477482731553,0.6521382255547481,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,10,baseline_mean,0,none,0.001,0.18195402298235458,0.18613238917774927,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,10,sif_abtt_optimal,10,train_sweep,0.001,0.6688991897712065,0.6948620547647851,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,10,whitening,0,none,0.001,0.6340050819329439,0.654129385233802,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,11,baseline_mean,0,none,0.001,0.18884005725539446,0.19480197246047595,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,11,sif_abtt_optimal,10,train_sweep,0.001,0.6672252815843015,0.6974377967300154,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,11,whitening,0,none,0.001,0.6367038149134604,0.6578982698402969,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,12,baseline_mean,0,none,0.001,0.19181073421172987,0.20048077471308234,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,12,sif_abtt_optimal,10,train_sweep,0.001,0.6751870675093911,0.7004177694840892,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,12,whitening,0,none,0.001,0.6341612256988177,0.6565352630020558,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,13,baseline_mean,0,none,0.001,0.18360399920247428,0.19371800694760108,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,13,sif_abtt_optimal,10,train_sweep,0.001,0.6735059687182258,0.6987422267261132,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,13,whitening,0,none,0.001,0.6300974466927372,0.6535427292168687,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,baseline_mean,0,none,0.001,0.17635639393441288,0.18719774000456382,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,sif_abtt_optimal,10,train_sweep,0.001,0.6712747154669457,0.6965094640678745,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,whitening,0,none,0.001,0.6252808221228269,0.6509262053761217,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,baseline_mean,0,none,0.001,0.17635128533400335,0.18554911403224908,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,sif_abtt_optimal,10,train_sweep,0.001,0.6746739899141476,0.6986255398496678,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,whitening,0,none,0.001,0.6204419015033953,0.6464458340280215,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,16,baseline_mean,0,none,0.001,0.17113692430723354,0.1817595534203278,3564,3564
