folder_id,filename,path,folder_size,is_singleton,is_winnable,file_id,split,is_test_query
CAGD.506.12,BN2123.91r.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.12/BN2123.91r.6.txt,1,True,False,0,train,False
CAGD.506.14,BN2123.88r.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.14/BN2123.88r.9.txt,1,True,False,1,test,False
CAGD.506.15,Brn425.14v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.15/Brn425.14v.1.txt,2,False,True,2,train,False
CAGD.506.15,D1723.519.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.15/D1723.519.6.txt,2,False,True,3,train,False
CAGD.506.18,Brn425.28v.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.18/Brn425.28v.2.txt,2,False,True,4,test,True
CAGD.506.18,D1723.531.10.txt,/u/irowerojas/localLatin/canon/CAGD.506.18/D1723.531.10.txt,2,False,True,5,test,True
CAGD.506.2,Brn425.53r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.2/Brn425.53r.1.txt,2,False,True,6,test,True
CAGD.506.2,D1723.552.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.2/D1723.552.5.txt,2,False,True,7,test,True
CAGD.506.21,BN2123.92r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.21/BN2123.92r.1.txt,1,True,False,8,train,False
CAGD.506.25,Brn425.24v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.25/Brn425.24v.1.txt,2,False,True,9,test,True
CAGD.506.25,D1723.527.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.25/D1723.527.9.txt,2,False,True,10,test,True
CAGD.506.26,Brn425.53v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.26/Brn425.53v.1.txt,2,False,True,11,train,False
CAGD.506.26,D1723.553.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.26/D1723.553.1.txt,2,False,True,12,train,False
CAGD.506.27; anno 506,WlfH1062.3v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.27; anno 506/WlfH1062.3v.1.txt,1,True,False,13,train,False
CAGD.506.28,WlfH1062.3v.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.28/WlfH1062.3v.2.txt,1,True,False,14,train,False
CAGD.506.31,Brn425.27v.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.31/Brn425.27v.6.txt,2,False,True,15,test,True
CAGD.506.31,D1723.531.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.31/D1723.531.2.txt,2,False,True,16,test,True
CAGD.506.32,BN2123.95r.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.32/BN2123.95r.3.txt,1,True,False,17,test,False
CAGD.506.35,Brn425.36v.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.35/Brn425.36v.5.txt,2,False,True,18,train,False
CAGD.506.35,D1723.539.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.35/D1723.539.3.txt,2,False,True,19,train,False
CAGD.506.37,Brn425.27v.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.37/Brn425.27v.2.txt,2,False,True,20,train,False
CAGD.506.37,D1723.530.11.txt,/u/irowerojas/localLatin/canon/CAGD.506.37/D1723.530.11.txt,2,False,True,21,train,False
CAGD.506.38,BN2123.86v.7.txt,/u/irowerojas/localLatin/canon/CAGD.506.38/BN2123.86v.7.txt,3,False,True,22,test,True
CAGD.506.38,Brn425.65r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.38/Brn425.65r.1.txt,3,False,True,23,test,True
CAGD.506.38,D1723.563.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.38/D1723.563.9.txt,3,False,True,24,train,False
CAGD.506.39,Brn425.53v.4.txt,/u/irowerojas/localLatin/canon/CAGD.506.39/Brn425.53v.4.txt,2,False,True,25,test,True
CAGD.506.39,D1723.553.4.txt,/u/irowerojas/localLatin/canon/CAGD.506.39/D1723.553.4.txt,2,False,True,26,test,True
CAGD.506.4,BN2123.94v.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.4/BN2123.94v.6.txt,3,False,True,27,test,True
CAGD.506.4,Brn425.36v.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.4/Brn425.36v.3.txt,3,False,True,28,test,True
CAGD.506.4,D1723.539.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.4/D1723.539.1.txt,3,False,True,29,train,False
CAGD.506.41,Brn425.53v.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.41/Brn425.53v.3.txt,2,False,True,30,test,True
CAGD.506.41,D1723.553.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.41/D1723.553.3.txt,2,False,True,31,test,True
CAGD.506.44,BN2123.88r.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.44/BN2123.88r.6.txt,3,False,True,32,test,True
CAGD.506.44,Brn425.56v.4.txt,/u/irowerojas/localLatin/canon/CAGD.506.44/Brn425.56v.4.txt,3,False,True,33,train,False
CAGD.506.44,D1723.556.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.44/D1723.556.5.txt,3,False,True,34,test,True
CAGD.506.45,Brn425.42v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.45/Brn425.42v.1.txt,1,True,False,35,test,False
CAGD.506.46,Brn425.42v.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.46/Brn425.42v.2.txt,1,True,False,36,train,False
CAGD.506.5,Brn425.53r.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.5/Brn425.53r.2.txt,2,False,True,37,test,True
CAGD.506.5,D1723.552.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.5/D1723.552.6.txt,2,False,True,38,test,True
CAGD.506.50 (addit.),WlfH1062.15v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.50 (addit.)/WlfH1062.15v.1.txt,1,True,False,39,train,False
CAGD.506.51,BN2123.94v.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.51/BN2123.94v.5.txt,2,False,True,40,test,True
CAGD.506.51,Brn425.42v.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.51/Brn425.42v.3.txt,2,False,True,41,test,True
CAGD.506.52,Brn425.64v.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.52/Brn425.64v.5.txt,2,False,True,42,train,False
CAGD.506.52,D1723.563.8.txt,/u/irowerojas/localLatin/canon/CAGD.506.52/D1723.563.8.txt,2,False,True,43,train,False
CAGD.506.54,BN2123.94v.4.txt,/u/irowerojas/localLatin/canon/CAGD.506.54/BN2123.94v.4.txt,1,True,False,44,train,False
CAGD.506.55,Brn425.55v.8.txt,/u/irowerojas/localLatin/canon/CAGD.506.55/Brn425.55v.8.txt,2,False,True,45,train,False
CAGD.506.55,D1723.555.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.55/D1723.555.9.txt,2,False,True,46,train,False
CAGD.506.56,Brn425.42v.4.txt,/u/irowerojas/localLatin/canon/CAGD.506.56/Brn425.42v.4.txt,1,True,False,47,test,False
CAGD.506.61,Brn425.26r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.61/Brn425.26r.1.txt,2,False,True,48,train,False
CAGD.506.61,D1723.529.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.61/D1723.529.2.txt,2,False,True,49,train,False
CAGD.506.62,Brn425.27v.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.62/Brn425.27v.3.txt,2,False,True,50,test,True
CAGD.506.62,D1723.530.12.txt,/u/irowerojas/localLatin/canon/CAGD.506.62/D1723.530.12.txt,2,False,True,51,test,True
CAGD.506.63,Brn425.28v.3.txt,/u/irowerojas/localLatin/canon/CAGD.506.63/Brn425.28v.3.txt,2,False,True,52,test,True
CAGD.506.63,D1723.531.11.txt,/u/irowerojas/localLatin/canon/CAGD.506.63/D1723.531.11.txt,2,False,True,53,test,True
CAGD.506.8,Brn425.53r.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.8/Brn425.53r.6.txt,2,False,True,54,train,False
CAGD.506.8,D1723.552.10.txt,/u/irowerojas/localLatin/canon/CAGD.506.8/D1723.552.10.txt,2,False,True,55,train,False
CANC.314.1,BAV1341.11r.9.txt,/u/irowerojas/localLatin/canon/CANC.314.1/BAV1341.11r.9.txt,4,False,True,56,train,False
CANC.314.1,C1525.18v.16.txt,/u/irowerojas/localLatin/canon/CANC.314.1/C1525.18v.16.txt,4,False,True,57,train,False
CANC.314.1,Hat42.156r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.1/Hat42.156r.1.txt,4,False,True,58,test,True
CANC.314.1,KoeD213.20r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.1/KoeD213.20r.1.txt,4,False,True,59,test,True
CANC.314.10,BAV1341.11v.6.txt,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,6,False,True,60,test,True
CANC.314.10,Brn425.23v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.10/Brn425.23v.4.txt,6,False,True,61,train,False
CANC.314.10,C1525.20r.2.txt,/u/irowerojas/localLatin/canon/CANC.314.10/C1525.20r.2.txt,6,False,True,62,test,True
CANC.314.10,D1723.527.3.txt,/u/irowerojas/localLatin/canon/CANC.314.10/D1723.527.3.txt,6,False,True,63,test,True
CANC.314.10,Hat42.158r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.10/Hat42.158r.1.txt,6,False,True,64,train,False
CANC.314.10,KoeD213.22v.1.txt,/u/irowerojas/localLatin/canon/CANC.314.10/KoeD213.22v.1.txt,6,False,True,65,train,False
CANC.314.11,BAV1341.11v.7.txt,/u/irowerojas/localLatin/canon/CANC.314.11/BAV1341.11v.7.txt,4,False,True,66,train,False
CANC.314.11,C1525.20r.3.txt,/u/irowerojas/localLatin/canon/CANC.314.11/C1525.20r.3.txt,4,False,True,67,test,True
CANC.314.11,Hat42.158r.2.txt,/u/irowerojas/localLatin/canon/CANC.314.11/Hat42.158r.2.txt,4,False,True,68,train,False
CANC.314.11,KoeD213.22v.2.txt,/u/irowerojas/localLatin/canon/CANC.314.11/KoeD213.22v.2.txt,4,False,True,69,test,True
CANC.314.12,BAV1341.11v.8.txt,/u/irowerojas/localLatin/canon/CANC.314.12/BAV1341.11v.8.txt,4,False,True,70,train,False
CANC.314.12,C1525.20r.4.txt,/u/irowerojas/localLatin/canon/CANC.314.12/C1525.20r.4.txt,4,False,True,71,test,True
CANC.314.12,Hat42.158r.3.txt,/u/irowerojas/localLatin/canon/CANC.314.12/Hat42.158r.3.txt,4,False,True,72,test,True
CANC.314.12,KoeD213.22v.3.txt,/u/irowerojas/localLatin/canon/CANC.314.12/KoeD213.22v.3.txt,4,False,True,73,train,False
CANC.314.13,BAV1341.11v.9.txt,/u/irowerojas/localLatin/canon/CANC.314.13/BAV1341.11v.9.txt,5,False,True,74,test,True
CANC.314.13,BN2123.101v.8.txt,/u/irowerojas/localLatin/canon/CANC.314.13/BN2123.101v.8.txt,5,False,True,75,test,True
CANC.314.13,C1525.20r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.13/C1525.20r.5.txt,5,False,True,76,train,False
CANC.314.13,Hat42.158r.4.txt,/u/irowerojas/localLatin/canon/CANC.314.13/Hat42.158r.4.txt,5,False,True,77,train,False
CANC.314.13,KoeD213.22v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.13/KoeD213.22v.4.txt,5,False,True,78,test,True
CANC.314.14,BAV1341.12r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.14/BAV1341.12r.1.txt,4,False,True,79,train,False
CANC.314.14,C1525.20v.1.txt,/u/irowerojas/localLatin/canon/CANC.314.14/C1525.20v.1.txt,4,False,True,80,train,False
CANC.314.14,Hat42.158v.1.txt,/u/irowerojas/localLatin/canon/CANC.314.14/Hat42.158v.1.txt,4,False,True,81,test,True
CANC.314.14,KoeD213.23r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.14/KoeD213.23r.1.txt,4,False,True,82,test,True
CANC.314.15,BAV1341.12r.2.txt,/u/irowerojas/localLatin/canon/CANC.314.15/BAV1341.12r.2.txt,6,False,True,83,train,False
CANC.314.15,Brn425.21r.2.txt,/u/irowerojas/localLatin/canon/CANC.314.15/Brn425.21r.2.txt,6,False,True,84,test,True
CANC.314.15,C1525.20v.2.txt,/u/irowerojas/localLatin/canon/CANC.314.15/C1525.20v.2.txt,6,False,True,85,test,True
CANC.314.15,D1723.525.2.txt,/u/irowerojas/localLatin/canon/CANC.314.15/D1723.525.2.txt,6,False,True,86,test,True
CANC.314.15,Hat42.158v.2.txt,/u/irowerojas/localLatin/canon/CANC.314.15/Hat42.158v.2.txt,6,False,True,87,train,False
